text,url
tourism,https://en.wikipedia.org/wiki/Tourism
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
hurricanes,https://en.wikipedia.org/wiki/Hurricane
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
United States,https://en.wikipedia.org/wiki/United_States
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Eastern Caribbean Currency Union,https://en.wikipedia.org/wiki/Eastern_Caribbean_Currency_Union
Eastern Caribbean Central Bank,https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
East Caribbean dollar,https://en.wikipedia.org/wiki/East_Caribbean_dollar
Caribbean Basin Initiative,https://en.wikipedia.org/wiki/Caribbean_Basin_Initiative
Caribbean Community (CARICOM),https://en.wikipedia.org/wiki/Caribbean_Community
colonization,https://en.wikipedia.org/wiki/Colonization
Amerindian,https://en.wikipedia.org/wiki/Amerindian
subsistence,https://en.wikipedia.org/wiki/Subsistence_economy
British,https://en.wikipedia.org/wiki/England
Caribs,https://en.wikipedia.org/wiki/Island_Caribs
Dutch,https://en.wikipedia.org/wiki/Netherlands
French,https://en.wikipedia.org/wiki/France
tobacco,https://en.wikipedia.org/wiki/Tobacco
indigo,https://en.wikipedia.org/wiki/Indigo_plant
cotton,https://en.wikipedia.org/wiki/Cotton
ginger,https://en.wikipedia.org/wiki/Ginger
sugar,https://en.wikipedia.org/wiki/Sugar
rainforests,https://en.wikipedia.org/wiki/Rainforest
plantation economy,https://en.wikipedia.org/wiki/Plantation_economy
slaves,https://en.wikipedia.org/wiki/Slave
Africa,https://en.wikipedia.org/wiki/Africa
cotton,https://en.wikipedia.org/wiki/Cotton
squash,https://en.wikipedia.org/wiki/Squash_(plant)
sugar,https://en.wikipedia.org/wiki/Sugar
Agriculture,https://en.wikipedia.org/wiki/Agriculture
Mango,https://en.wikipedia.org/wiki/Mango
government,https://en.wikipedia.org/wiki/Government_of_Antigua_and_Barbuda
cattle,https://en.wikipedia.org/wiki/Cattle
sheep,https://en.wikipedia.org/wiki/Sheep
poultry,https://en.wikipedia.org/wiki/Poultry
Guadeloupe,https://en.wikipedia.org/wiki/Guadeloupe
Martinique,https://en.wikipedia.org/wiki/Martinique
per capita,https://en.wikipedia.org/wiki/Per_capita
stone,https://en.wikipedia.org/wiki/Rock_(geology)
clay,https://en.wikipedia.org/wiki/Clay
barite,https://en.wikipedia.org/wiki/Barite
Antigua,https://en.wikipedia.org/wiki/Antigua
Barbuda,https://en.wikipedia.org/wiki/Barbuda
phosphate,https://en.wikipedia.org/wiki/Phosphate
Redonda,https://en.wikipedia.org/wiki/Redonda
United States,https://en.wikipedia.org/wiki/United_States
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Canada,https://en.wikipedia.org/wiki/Canada
Italy,https://en.wikipedia.org/wiki/Italy
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Dominica,https://en.wikipedia.org/wiki/Dominica
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Barbados,https://en.wikipedia.org/wiki/Barbados
Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis
Germany,https://en.wikipedia.org/wiki/Germany
New York,https://en.wikipedia.org/wiki/New_York_State
Florida,https://en.wikipedia.org/wiki/Florida
New Jersey,https://en.wikipedia.org/wiki/New_Jersey
California,https://en.wikipedia.org/wiki/California
Pennsylvania,https://en.wikipedia.org/wiki/Pennsylvania
Texas,https://en.wikipedia.org/wiki/Texas
Connecticut,https://en.wikipedia.org/wiki/Connecticut
Massachusetts,https://en.wikipedia.org/wiki/Massachusetts
North Carolina,https://en.wikipedia.org/wiki/North_Carolina
Virginia,https://en.wikipedia.org/wiki/Virginia
Ontario,https://en.wikipedia.org/wiki/Ontario
Quebec,https://en.wikipedia.org/wiki/Quebec
Alberta,https://en.wikipedia.org/wiki/Alberta
British Columbia,https://en.wikipedia.org/wiki/British_Columbia
Nova Scotia,https://en.wikipedia.org/wiki/Nova_Scotia
Saskatchewan,https://en.wikipedia.org/wiki/Saskatchewan
Prince Edward Island,https://en.wikipedia.org/wiki/Prince_Edward_Island
Manitoba,https://en.wikipedia.org/wiki/Manitoba
New Brunswick,https://en.wikipedia.org/wiki/New_Brunswick
Newfoundland,https://en.wikipedia.org/wiki/Newfoundland
Greater London,https://en.wikipedia.org/wiki/Greater_London
Gloucester,https://en.wikipedia.org/wiki/Gloucester
Greater Manchester,https://en.wikipedia.org/wiki/Greater_Manchester
Surrey,https://en.wikipedia.org/wiki/Surrey
Kent,https://en.wikipedia.org/wiki/Kent
Essex,https://en.wikipedia.org/wiki/Essex
East Sussex,https://en.wikipedia.org/wiki/East_Sussex
Berkshire,https://en.wikipedia.org/wiki/Berkshire
Oxfordshire,https://en.wikipedia.org/wiki/Oxfordshire
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
money laundering,https://en.wikipedia.org/wiki/Money_laundering
drug trafficking,https://en.wikipedia.org/wiki/Drug_trafficking
Stanford Financial Group,https://en.wikipedia.org/wiki/Stanford_Financial_Group
ponzi scheme,https://en.wikipedia.org/wiki/Ponzi_scheme
duty-free shops,https://en.wikipedia.org/wiki/Duty-free_shop
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
Inflation,https://en.wikipedia.org/wiki/Inflation
Currency,https://en.wikipedia.org/wiki/Currency
East Caribbean dollar,https://en.wikipedia.org/wiki/East_Caribbean_dollar
Fiscal year,https://en.wikipedia.org/wiki/Fiscal_year
List of Commonwealth of Nations countries by GDP,https://en.wikipedia.org/wiki/List_of_Commonwealth_of_Nations_countries_by_GDP
List of Latin American and Caribbean countries by GDP growth,https://en.wikipedia.org/wiki/List_of_Latin_American_and_Caribbean_countries_by_GDP_growth
List of Latin American and Caribbean countries by GDP (nominal),https://en.wikipedia.org/wiki/List_of_Latin_American_and_Caribbean_countries_by_GDP_(nominal)
List of Latin American and Caribbean countries by GDP (PPP),https://en.wikipedia.org/wiki/List_of_Latin_American_and_Caribbean_countries_by_GDP_(PPP)
CIA,https://en.wikipedia.org/wiki/CIA
public domain material,https://en.wikipedia.org/wiki/Copyright_status_of_works_by_the_federal_government_of_the_United_States
United States Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
