text,url
South America,https://en.wikipedia.org/wiki/South_America
Brazil,https://en.wikipedia.org/wiki/Brazil
Argentina,https://en.wikipedia.org/wiki/Argentina
human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
United Nations,https://en.wikipedia.org/wiki/United_Nations
agricultural sector,https://en.wikipedia.org/wiki/Agriculture_of_Argentina
natural resources,https://en.wikipedia.org/wiki/Natural_resources
pesos,https://en.wikipedia.org/wiki/Argentine_peso
U.S. Dollar,https://en.wikipedia.org/wiki/United_States_dollar
stand-by,https://en.wikipedia.org/wiki/IMF_Stand-By_Arrangement
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
FTSE,https://en.wikipedia.org/wiki/FTSE_Group
G-20 major economies,https://en.wikipedia.org/wiki/G-20_major_economies
salted meat,https://en.wikipedia.org/wiki/Salted_meat
wool,https://en.wikipedia.org/wiki/Wool
hide,https://en.wikipedia.org/wiki/Hide_(skin)
British,https://en.wikipedia.org/wiki/British_investment_in_Argentina
French,https://en.wikipedia.org/wiki/French_Third_Republic
European immigration,https://en.wikipedia.org/wiki/Immigration_in_Argentina
Great Depression,https://en.wikipedia.org/wiki/Great_Depression
import substitution,https://en.wikipedia.org/wiki/Import_substitution
Bank of England,https://en.wikipedia.org/wiki/Bank_of_England
Roca–Runciman Treaty,https://en.wikipedia.org/wiki/Roca%E2%80%93Runciman_Treaty
populist,https://en.wikipedia.org/wiki/Populism
Juan Perón,https://en.wikipedia.org/wiki/Juan_Per%C3%B3n
nationalized,https://en.wikipedia.org/wiki/Nationalization
Central Bank,https://en.wikipedia.org/wiki/Central_Bank_of_Argentina
railways,https://en.wikipedia.org/wiki/Railway_Nationalisation_in_Argentina
National Reorganization Process,https://en.wikipedia.org/wiki/National_Reorganization_Process
José Alfredo Martínez de Hoz,https://en.wikipedia.org/wiki/Jos%C3%A9_Alfredo_Mart%C3%ADnez_de_Hoz
neoliberal,https://en.wikipedia.org/wiki/Neoliberalism
financial liberalization,https://en.wikipedia.org/wiki/Big_Bang_(financial_markets)
foreign debt interest payments,https://en.wikipedia.org/wiki/Latin_American_debt_crisis
tax evasion,https://en.wikipedia.org/wiki/Tax_evasion
capital flight,https://en.wikipedia.org/wiki/Capital_flight
balance of payments,https://en.wikipedia.org/wiki/Balance_of_payments
stagflation,https://en.wikipedia.org/wiki/Stagflation
hyperinflation,https://en.wikipedia.org/wiki/1989_hyperinflation_in_Argentina
Domingo Cavallo,https://en.wikipedia.org/wiki/Domingo_Cavallo
trade liberalization,https://en.wikipedia.org/wiki/Free_trade
deregulation,https://en.wikipedia.org/wiki/Deregulation
privatization,https://en.wikipedia.org/wiki/Privatization
fixed exchange rate,https://en.wikipedia.org/wiki/Fixed_exchange_rate
collapse in 2001,https://en.wikipedia.org/wiki/1998%E2%80%932002_Argentine_great_depression
devalued,https://en.wikipedia.org/wiki/Devaluation
floated,https://en.wikipedia.org/wiki/Floating_exchange_rate
Expansionary policies,https://en.wikipedia.org/wiki/Expansionary_monetary_policy
consumption,https://en.wikipedia.org/wiki/Consumption_(economics)
fixed investment,https://en.wikipedia.org/wiki/Fixed_investment
Social programs,https://en.wikipedia.org/wiki/Social_program
