text,url
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
COVID-19 recession,https://en.wikipedia.org/wiki/COVID-19_recession
Second Nagorno-Karabakh War with Azerbaijan,https://en.wikipedia.org/wiki/Second_Nagorno-Karabakh_War
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Armenia,https://en.wikipedia.org/wiki/Armenian_Soviet_Socialist_Republic
synthetic rubber,https://en.wikipedia.org/wiki/Synthetic_rubber
Metsamor nuclear power plant,https://en.wikipedia.org/wiki/Armenian_Nuclear_Power_Plant
Armenians abroad,https://en.wikipedia.org/wiki/Armenian_diaspora
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
energy sector,https://en.wikipedia.org/wiki/Energy_industry
bauxite,https://en.wikipedia.org/wiki/Bauxite
ongoing conflict,https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict
Armenian,https://en.wikipedia.org/wiki/Armenians
Nagorno-Karabakh,https://en.wikipedia.org/wiki/Nagorno-Karabakh
economic system,https://en.wikipedia.org/wiki/Economy_of_the_Soviet_Union
2020 war,https://en.wikipedia.org/wiki/Second_Nagorno-Karabakh_War
Index of Economic Freedom,https://en.wikipedia.org/wiki/Index_of_Economic_Freedom
The Heritage Foundation,https://en.wikipedia.org/wiki/The_Heritage_Foundation
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
EU,https://en.wikipedia.org/wiki/European_Union
countries,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
Economic Freedom of the World,https://en.wikipedia.org/wiki/Economic_Freedom_of_the_World
Fraser Institute,https://en.wikipedia.org/wiki/Fraser_Institute
Global Competitiveness Index,https://en.wikipedia.org/wiki/Global_Competitiveness_Index
Doing Business,https://en.wikipedia.org/wiki/Ease_of_doing_business_index
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
UNDP,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Corruption Perceptions Index,https://en.wikipedia.org/wiki/Corruption_Perceptions_Index
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
cognac,https://en.wikipedia.org/wiki/Cognac
Caucasian Armenia,https://en.wikipedia.org/wiki/Eastern_Armenia
genocide,https://en.wikipedia.org/wiki/Armenian_genocide
