text,url
Bahrain,https://en.wikipedia.org/wiki/Bahrain
Bahraini Dinar,https://en.wikipedia.org/wiki/Bahraini_Dinar
Bahrain,https://en.wikipedia.org/wiki/Bahrain
banking,https://en.wikipedia.org/wiki/Banking
tourism,https://en.wikipedia.org/wiki/Tourism
Manama,https://en.wikipedia.org/wiki/Manama
Global Financial Centres Index,https://en.wikipedia.org/wiki/Global_Financial_Centres_Index
Islamic banking,https://en.wikipedia.org/wiki/Islamic_banking
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Aluminium,https://en.wikipedia.org/wiki/Aluminium_Bahrain
Index of Economic Freedom,https://en.wikipedia.org/wiki/Index_of_Economic_Freedom
The Heritage Foundation,https://en.wikipedia.org/wiki/The_Heritage_Foundation
The Wall Street Journal,https://en.wikipedia.org/wiki/The_Wall_Street_Journal
Middle East,https://en.wikipedia.org/wiki/Middle_East
North Africa,https://en.wikipedia.org/wiki/North_Africa
Fraser Institute,https://en.wikipedia.org/wiki/Fraser_Institute
World Bank,https://en.wikipedia.org/wiki/World_Bank
high income economy,https://en.wikipedia.org/wiki/High_income_economy
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
banking,https://en.wikipedia.org/wiki/Banking
retail,https://en.wikipedia.org/wiki/Retail
tourism,https://en.wikipedia.org/wiki/Tourism_in_Bahrain
Persian Gulf,https://en.wikipedia.org/wiki/Persian_Gulf
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
US-Bahrain Free Trade Agreement,https://en.wikipedia.org/wiki/US-Bahrain_Free_Trade_Agreement
trade agreement,https://en.wikipedia.org/wiki/Trade_agreement
United States,https://en.wikipedia.org/wiki/United_States
telecommunications,https://en.wikipedia.org/wiki/Telecommunications
United Nations Economic and Social Commission for Western Asia,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Western_Asia
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
Kuwait,https://en.wikipedia.org/wiki/Kuwait
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Tourism,https://en.wikipedia.org/wiki/Tourism_in_Bahrain
electricity,https://en.wikipedia.org/wiki/Electricity
Bahrain Grand Prix,https://en.wikipedia.org/wiki/Bahrain_Grand_Prix
Islamic banking,https://en.wikipedia.org/wiki/Islamic_banking
Lufthansa,https://en.wikipedia.org/wiki/Lufthansa
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Majeed Al Alawi,https://en.wikipedia.org/wiki/Majeed_Al_Alawi
Bahrain International Circuit,https://en.wikipedia.org/wiki/Bahrain_International_Circuit
man-hour,https://en.wikipedia.org/wiki/Man-hour
market capitalisation,https://en.wikipedia.org/wiki/Market_capitalisation
World Bank,https://en.wikipedia.org/wiki/World_Bank
Petroleum,https://en.wikipedia.org/wiki/Petroleum
natural gas,https://en.wikipedia.org/wiki/Natural_gas
Bahrain Petroleum Company,https://en.wikipedia.org/wiki/Bahrain_Petroleum_Company
Bahrain National Oil Company,https://en.wikipedia.org/wiki/Bahrain_National_Oil_Company
Caltex,https://en.wikipedia.org/wiki/Caltex
Bahrain National Gas Company,https://en.wikipedia.org/wiki/Bahrain_National_Gas_Company
Gulf Petrochemical Industries Company (GPIC),https://en.wikipedia.org/wiki/Gulf_Petrochemical_Industries_Company_(GPIC)
ammonia,https://en.wikipedia.org/wiki/Ammonia
methanol,https://en.wikipedia.org/wiki/Methanol
urea,https://en.wikipedia.org/wiki/Urea
Bahrain's international airport,https://en.wikipedia.org/wiki/Bahrain_International_Airport
Investcorp,https://en.wikipedia.org/wiki/Investcorp
Gucci,https://en.wikipedia.org/wiki/Gucci
Taxation,https://en.wikipedia.org/wiki/Taxation
foreign investors,https://en.wikipedia.org/wiki/Foreign_investors
Oil,https://en.wikipedia.org/wiki/Oil
hydrocarbons,https://en.wikipedia.org/wiki/Hydrocarbons
GCC,https://en.wikipedia.org/wiki/Cooperation_Council_for_the_Arab_States_of_the_Gulf
Bahrainization,https://en.wikipedia.org/wiki/Bahrainization
Migrant workers in Bahrain,https://en.wikipedia.org/wiki/Migrant_workers_in_Bahrain
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
ILO,https://en.wikipedia.org/wiki/ILO
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA,https://en.wikipedia.org/wiki/CIA
public domain material,https://en.wikipedia.org/wiki/Copyright_status_of_works_by_the_federal_government_of_the_United_States
United States Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
