text,url
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
post-Soviet,https://en.wikipedia.org/wiki/Post-Soviet_states
transition economy,https://en.wikipedia.org/wiki/Transition_economy
Belarus,https://en.wikipedia.org/wiki/Belarus
privatisation,https://en.wikipedia.org/wiki/Privatization
welfare state,https://en.wikipedia.org/wiki/Welfare_state
market socialism,https://en.wikipedia.org/wiki/Market_socialism
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
infant-mortality,https://en.wikipedia.org/wiki/Infant_mortality
Russia,https://en.wikipedia.org/wiki/Russia
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Romania,https://en.wikipedia.org/wiki/Romania
Finland,https://en.wikipedia.org/wiki/Finland
Sweden,https://en.wikipedia.org/wiki/Sweden
United Nations Development Program,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Gini coefficient,https://en.wikipedia.org/wiki/Gini_coefficient
October Revolution,https://en.wikipedia.org/wiki/October_Revolution
Minsk,https://en.wikipedia.org/wiki/Minsk
Vitsebsk,https://en.wikipedia.org/wiki/Vitsebsk
Hrodna,https://en.wikipedia.org/wiki/Hrodna
Pinsk,https://en.wikipedia.org/wiki/Pinsk
Homel,https://en.wikipedia.org/wiki/Homel
The Second World War,https://en.wikipedia.org/wiki/The_Second_World_War
rapidly industrialised,https://en.wikipedia.org/wiki/Belarusian_economic_miracle
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Lukashenko,https://en.wikipedia.org/wiki/Alexander_Lukashenko
financial and economic crisis in Russia,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis
balance of payments,https://en.wikipedia.org/wiki/Balance_of_payments
foreign exchange market,https://en.wikipedia.org/wiki/Foreign_exchange_market
Potatoes,https://en.wikipedia.org/wiki/Potato
flax,https://en.wikipedia.org/wiki/Flax
hemp,https://en.wikipedia.org/wiki/Hemp
sugarbeets,https://en.wikipedia.org/wiki/Sugarbeet
rye,https://en.wikipedia.org/wiki/Rye
oats,https://en.wikipedia.org/wiki/Oat
wheat,https://en.wikipedia.org/wiki/Wheat
Dairy,https://en.wikipedia.org/wiki/Dairy
cattle,https://en.wikipedia.org/wiki/Cattle
pigs,https://en.wikipedia.org/wiki/Pig
chickens,https://en.wikipedia.org/wiki/Chicken
petroleum,https://en.wikipedia.org/wiki/Petroleum
natural gas,https://en.wikipedia.org/wiki/Natural_gas
Russia,https://en.wikipedia.org/wiki/Russia
textiles,https://en.wikipedia.org/wiki/Textiles
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Poland,https://en.wikipedia.org/wiki/Poland
Germany,https://en.wikipedia.org/wiki/Germany
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
service sector,https://en.wikipedia.org/wiki/Service_sector
2010 presidential election,"https://en.wikipedia.org/wiki/Belarusian_presidential_election,_2010"
Belarusian rubles,https://en.wikipedia.org/wiki/Belarusian_ruble
National Bank of Belarus,https://en.wikipedia.org/wiki/National_Bank_of_Belarus
black market,https://en.wikipedia.org/wiki/Black_market
Br,https://en.wikipedia.org/wiki/Belarusian_ruble
