text,url
highly developed,https://en.wikipedia.org/wiki/Developed_country
high-income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
mixed,https://en.wikipedia.org/wiki/Mixed_economy
Belgium,https://en.wikipedia.org/wiki/Belgium
country's central geographic location,https://en.wikipedia.org/wiki/Geography_of_Belgium
transport network,https://en.wikipedia.org/wiki/Transport_in_Belgium
European,https://en.wikipedia.org/wiki/Europe
Industrial Revolution,https://en.wikipedia.org/wiki/Industrial_Revolution
Port of Antwerp,https://en.wikipedia.org/wiki/Port_of_Antwerp
OECD,https://en.wikipedia.org/wiki/OECD
roughly 29% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
Flanders,https://en.wikipedia.org/wiki/Flanders
Walloon,https://en.wikipedia.org/wiki/Wallonia
Liège,https://en.wikipedia.org/wiki/Li%C3%A8ge
Charleroi,https://en.wikipedia.org/wiki/Charleroi
Sillon industriel,https://en.wikipedia.org/wiki/Sillon_industriel
coal,https://en.wikipedia.org/wiki/Coal
fertile soils,https://en.wikipedia.org/wiki/Soil_fertility
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
gross national income,https://en.wikipedia.org/wiki/Gross_national_income
European Community,https://en.wikipedia.org/wiki/European_Community
European Union,https://en.wikipedia.org/wiki/European_Union
public debt,https://en.wikipedia.org/wiki/Public_debt
World War II,https://en.wikipedia.org/wiki/World_War_II
French-speaking,https://en.wikipedia.org/wiki/Francophone
sillon industriel,https://en.wikipedia.org/wiki/Sillon_industriel
Dutch-speaking,https://en.wikipedia.org/wiki/Dutch_language
interwar period,https://en.wikipedia.org/wiki/Interwar_period
Galopin doctrine,https://en.wikipedia.org/wiki/Alexandre_Galopin
European Union,https://en.wikipedia.org/wiki/European_Union
NATO,https://en.wikipedia.org/wiki/NATO
Antwerp,https://en.wikipedia.org/wiki/Antwerp
Rotterdam,https://en.wikipedia.org/wiki/Rotterdam
steel industry,https://en.wikipedia.org/wiki/Steel_industry
1973,https://en.wikipedia.org/wiki/1973_oil_crisis
1979,https://en.wikipedia.org/wiki/1979_energy_crisis
oil price,https://en.wikipedia.org/wiki/Price_of_oil
recession,https://en.wikipedia.org/wiki/Recession
multinationals,https://en.wikipedia.org/wiki/Multinational_corporation
automotive industry,https://en.wikipedia.org/wiki/Automotive_industry
chemical industry,https://en.wikipedia.org/wiki/Chemical_industry
industrial agriculture,https://en.wikipedia.org/wiki/Industrial_agriculture
structural adjustment,https://en.wikipedia.org/wiki/Structural_adjustment
social welfare,https://en.wikipedia.org/wiki/Social_welfare
government deficit,https://en.wikipedia.org/wiki/Government_deficit
Martens',https://en.wikipedia.org/wiki/Wilfried_Martens
export-led growth,https://en.wikipedia.org/wiki/Export-oriented_industrialization
Belgian franc,https://en.wikipedia.org/wiki/Belgian_franc
Deutsche Mark,https://en.wikipedia.org/wiki/Deutsche_Mark
interest rates,https://en.wikipedia.org/wiki/Interest_rates
European Monetary Union,https://en.wikipedia.org/wiki/European_Monetary_Union
Euro,https://en.wikipedia.org/wiki/Euro
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
Confederation of Christian Trade Unions,https://en.wikipedia.org/wiki/Confederation_of_Christian_Trade_Unions
General Federation of Belgian Labour,https://en.wikipedia.org/wiki/General_Federation_of_Belgian_Labour
Ghent,https://en.wikipedia.org/wiki/Ghent
weavers,https://en.wikipedia.org/wiki/Weaving
General Confederation of Liberal Trade Unions of Belgium,https://en.wikipedia.org/wiki/General_Confederation_of_Liberal_Trade_Unions_of_Belgium
pillarization,https://en.wikipedia.org/wiki/Pillarization
Flemish,https://en.wikipedia.org/wiki/Flemish_language
European Commission,https://en.wikipedia.org/wiki/European_Commission
unemployment insurance,https://en.wikipedia.org/wiki/Unemployment_insurance
