text,url
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
cotton,https://en.wikipedia.org/wiki/Cotton
Benin,https://en.wikipedia.org/wiki/Benin
textiles,https://en.wikipedia.org/wiki/Textile
cocoa beans,https://en.wikipedia.org/wiki/Cocoa_bean
Maize,https://en.wikipedia.org/wiki/Maize
beans,https://en.wikipedia.org/wiki/Bean
rice,https://en.wikipedia.org/wiki/Rice
peanuts,https://en.wikipedia.org/wiki/Peanut
cashews,https://en.wikipedia.org/wiki/Cashew
pineapples,https://en.wikipedia.org/wiki/Pineapple
cassava,https://en.wikipedia.org/wiki/Cassava
yams,https://en.wikipedia.org/wiki/Yam_(vegetable)
brewer,https://en.wikipedia.org/wiki/Brewing
Lebanese,https://en.wikipedia.org/wiki/Lebanon
democratic,https://en.wikipedia.org/wiki/Democracy
hydroelectric,https://en.wikipedia.org/wiki/Hydroelectric
Togo,https://en.wikipedia.org/wiki/Togo
Ghana,https://en.wikipedia.org/wiki/Ghana
CFA Franc Zone,https://en.wikipedia.org/wiki/CFA_Franc_Zone
Economic Community of West African States,https://en.wikipedia.org/wiki/Economic_Community_of_West_African_States
Nigeria,https://en.wikipedia.org/wiki/Nigeria
trade unions in Benin,https://en.wikipedia.org/wiki/Trade_unions_in_Benin
International Trade Union Confederation,https://en.wikipedia.org/wiki/International_Trade_Union_Confederation
child labour,https://en.wikipedia.org/wiki/Child_labor
forced labour,https://en.wikipedia.org/wiki/Unfree_labour
Bureau of International Labor Affairs,https://en.wikipedia.org/wiki/Bureau_of_International_Labor_Affairs
List of Goods Produced by Child Labor or Forced Labor,https://en.wikipedia.org/wiki/List_of_Goods_Produced_by_Child_Labor_or_Forced_Labor
cassava,https://en.wikipedia.org/wiki/Cassava
yam,https://en.wikipedia.org/wiki/Yam_(vegetable)
maize,https://en.wikipedia.org/wiki/Maize
cotton,https://en.wikipedia.org/wiki/Cotton
palm oil,https://en.wikipedia.org/wiki/Palm_oil
rice,https://en.wikipedia.org/wiki/Rice
pineapple,https://en.wikipedia.org/wiki/Pineapple
sorghum,https://en.wikipedia.org/wiki/Sorghum
tomato,https://en.wikipedia.org/wiki/Tomato
peanut,https://en.wikipedia.org/wiki/Peanut
soy,https://en.wikipedia.org/wiki/Soy
cashew nuts,https://en.wikipedia.org/wiki/Cashew_nuts
Banque Internationale du Bénin,https://en.wikipedia.org/wiki/Banque_Internationale_du_B%C3%A9nin
Bank of Africa,https://en.wikipedia.org/wiki/Bank_of_Africa
Continental Bank,https://en.wikipedia.org/wiki/Continental_Bank
Ecobank,https://en.wikipedia.org/wiki/Ecobank
Financial Bank,https://en.wikipedia.org/wiki/Financial_Bank
Agriculture in Benin,https://en.wikipedia.org/wiki/Agriculture_in_Benin
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
Foreign trade of Benin,https://en.wikipedia.org/wiki/Foreign_trade_of_Benin
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
CIA,https://en.wikipedia.org/wiki/CIA
