text,url
agriculture,https://en.wikipedia.org/wiki/Agriculture
forestry,https://en.wikipedia.org/wiki/Forestry
subsistence farming,https://en.wikipedia.org/wiki/Subsistence_farming
animal husbandry,https://en.wikipedia.org/wiki/Animal_husbandry
Bhutan,https://en.wikipedia.org/wiki/Bhutan
gross domestic product (nominal) per capita,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
gross domestic product,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
migrant labour,https://en.wikipedia.org/wiki/Migrant_labour
Hydropower,https://en.wikipedia.org/wiki/Hydropower
five-year plans,https://en.wikipedia.org/wiki/Five-Year_Plans_of_Bhutan
Gross National Happiness,https://en.wikipedia.org/wiki/Gross_National_Happiness
UN's,https://en.wikipedia.org/wiki/United_Nations
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
BTN,https://en.wikipedia.org/wiki/Bhutanese_ngultrum
hydropower,https://en.wikipedia.org/wiki/Hydropower
Bhutanese Government,https://en.wikipedia.org/wiki/Bhutanese_government
ban smoking,https://en.wikipedia.org/wiki/Smoking_ban
South Asian Free Trade Area,https://en.wikipedia.org/wiki/South_Asian_Free_Trade_Area
Bay of Bengal Initiative for Multi-Sectoral Technical and Economic Cooperation,https://en.wikipedia.org/wiki/Bay_of_Bengal_Initiative_for_Multi-Sectoral_Technical_and_Economic_Cooperation
South Asia Subregional Economic Cooperation,https://en.wikipedia.org/wiki/South_Asia_Subregional_Economic_Cooperation
Asia Cooperation Dialogue,https://en.wikipedia.org/wiki/Asia_Cooperation_Dialogue
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
least developed country,https://en.wikipedia.org/wiki/Least_developed_countries
cryptocurrency,https://en.wikipedia.org/wiki/Cryptocurrency
Bitcoin,https://en.wikipedia.org/wiki/Bitcoin
mining Bitcoin,https://en.wikipedia.org/wiki/Bitcoin_protocol
blockchain analysts,https://en.wikipedia.org/wiki/Blockchain_analysis
Gelephu Mindfulness City,https://en.wikipedia.org/wiki/Gelephu
Agriculture in Bhutan,https://en.wikipedia.org/wiki/Agriculture_in_Bhutan
Banking in Bhutan,https://en.wikipedia.org/wiki/Banking_in_Bhutan
Mining in Bhutan,https://en.wikipedia.org/wiki/Mining_in_Bhutan
Fishing in Bhutan,https://en.wikipedia.org/wiki/Fishing_in_Bhutan
Forestry in Bhutan,https://en.wikipedia.org/wiki/Forestry_in_Bhutan
Bhutanese ngultrum,https://en.wikipedia.org/wiki/Bhutanese_ngultrum
CIA,https://en.wikipedia.org/wiki/CIA
public domain material,https://en.wikipedia.org/wiki/Copyright_status_of_works_by_the_federal_government_of_the_United_States
United States Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
UNDP,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
The World Bank,https://en.wikipedia.org/wiki/The_World_Bank
