text,url
Bolivia,https://en.wikipedia.org/wiki/Bolivia
World Bank,https://en.wikipedia.org/wiki/World_Bank
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
tin,https://en.wikipedia.org/wiki/Tin
coca,https://en.wikipedia.org/wiki/Coca
life expectancy,https://en.wikipedia.org/wiki/Life_expectancy
corruption,https://en.wikipedia.org/wiki/Corruption_in_Bolivia
natural gas,https://en.wikipedia.org/wiki/Natural_gas
zinc,https://en.wikipedia.org/wiki/Zinc
Evo Morales,https://en.wikipedia.org/wiki/Evo_Morales
extreme poverty,https://en.wikipedia.org/wiki/Extreme_poverty
Gini coefficient,https://en.wikipedia.org/wiki/Gini_coefficient
Cochabamba,https://en.wikipedia.org/wiki/Cochabamba
protests and rioting,https://en.wikipedia.org/wiki/2000_Cochabamba_protests
creditors,https://en.wikipedia.org/wiki/Creditor
Paris Club,https://en.wikipedia.org/wiki/Paris_Club
YPFB,https://en.wikipedia.org/wiki/YPFB
hydrocarbon exploration,https://en.wikipedia.org/wiki/Hydrocarbon_exploration
Cochabamba,https://en.wikipedia.org/wiki/Cochabamba
opposition to exporting gas,https://en.wikipedia.org/wiki/Bolivian_gas_conflict
Sanchez de Lozada,https://en.wikipedia.org/wiki/Sanchez_de_Lozada
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
ECLAC,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America_and_the_Caribbean
Evo Morales,https://en.wikipedia.org/wiki/Evo_Morales
Alvaro Garcia Linera,https://en.wikipedia.org/wiki/%C3%81lvaro_Garc%C3%ADa_Linera
ECLAC,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Latin_America_and_the_Caribbean
HDI,https://en.wikipedia.org/wiki/Human_Development_Index
UNDP,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
budget surplus,https://en.wikipedia.org/wiki/Budget_surplus
Bolivian peso,https://en.wikipedia.org/wiki/Bolivian_peso
human development index,https://en.wikipedia.org/wiki/Human_development_index
Quinoa,https://en.wikipedia.org/wiki/Quinoa
Lake Titicaca,https://en.wikipedia.org/wiki/Lake_Titicaca
topography,https://en.wikipedia.org/wiki/Topography
