text,url
developing,https://en.wikipedia.org/wiki/Developing_country
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
independence,https://en.wikipedia.org/wiki/1992_Bosnian_independence_referendum
Yugoslavia,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
1 March 1992,https://en.wikipedia.org/wiki/Independence_Day_(Bosnia_and_Herzegovina)
Southeast Europe,https://en.wikipedia.org/wiki/Southeast_Europe
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
konvertibilna marka,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina_convertible_mark
Serbian American,https://en.wikipedia.org/wiki/Serbian_American
Branko Milanović,https://en.wikipedia.org/wiki/Branko_Milanovi%C4%87
socialism,https://en.wikipedia.org/wiki/Socialism
capitalism,https://en.wikipedia.org/wiki/Capitalism
former Yugoslavia,https://en.wikipedia.org/wiki/Former_Yugoslavia
Slovenia,https://en.wikipedia.org/wiki/Slovenia
Croatia,https://en.wikipedia.org/wiki/Croatia
Serbia,https://en.wikipedia.org/wiki/Serbia
Kosovo,https://en.wikipedia.org/wiki/Kosovo
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Socialist Federal Republic of Yugoslavia,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Socialist_Republic_of_Bosnia_and_Herzegovina
Džemal Bijedić,https://en.wikipedia.org/wiki/D%C5%BEemal_Bijedi%C4%87
Tito,https://en.wikipedia.org/wiki/Josip_Broz_Tito
Energoinvest,https://en.wikipedia.org/wiki/Energoinvest
Volkswagen,https://en.wikipedia.org/wiki/Volkswagen
Šipad,https://en.wikipedia.org/wiki/%C5%A0ipad
ArcelorMittal,https://en.wikipedia.org/wiki/ArcelorMittal
Mostar,https://en.wikipedia.org/wiki/Mostar
Aluminij Mostar,https://en.wikipedia.org/wiki/Aluminij_Mostar
Banja Luka,https://en.wikipedia.org/wiki/Banja_Luka
Tuzla,https://en.wikipedia.org/wiki/Tuzla
Sarajevo,https://en.wikipedia.org/wiki/Sarajevo
Mostar,https://en.wikipedia.org/wiki/Mostar
Banja Luka,https://en.wikipedia.org/wiki/Banja_Luka
Agrokomerc,https://en.wikipedia.org/wiki/Agrokomerc
Croatia,https://en.wikipedia.org/wiki/Socialist_Republic_of_Croatia
Ante Marković,https://en.wikipedia.org/wiki/Ante_Markovi%C4%87
war in Bosnia and Herzegovina,https://en.wikipedia.org/wiki/War_in_Bosnia_and_Herzegovina
London Club,https://en.wikipedia.org/wiki/London_Club
Paris Club,https://en.wikipedia.org/wiki/Paris_Club
Bosnia and Herzegovina convertible mark,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina_convertible_mark
inflation,https://en.wikipedia.org/wiki/Inflation
humanitarian aid,https://en.wikipedia.org/wiki/Humanitarian_aid
Support for East European Democracy,https://en.wikipedia.org/wiki/Support_for_East_European_Democracy_(SEED)_Act_of_1989
economic growth,https://en.wikipedia.org/wiki/Economic_growth
World Bank,https://en.wikipedia.org/wiki/World_Bank
Banking,https://en.wikipedia.org/wiki/Banking
privatization,https://en.wikipedia.org/wiki/Privatization
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
grey economy,https://en.wikipedia.org/wiki/Grey_economy
foreign trade,https://en.wikipedia.org/wiki/Foreign_trade
coverage of imports by exports,https://en.wikipedia.org/wiki/Balance_of_trade
car seats,https://en.wikipedia.org/wiki/Car_seat
electricity,https://en.wikipedia.org/wiki/Electricity
processed wood,https://en.wikipedia.org/wiki/Wood_processing
aluminium,https://en.wikipedia.org/wiki/Aluminium
furniture,https://en.wikipedia.org/wiki/Furniture
crude oil,https://en.wikipedia.org/wiki/Crude_oil
automobiles,https://en.wikipedia.org/wiki/Automobile
motor oil,https://en.wikipedia.org/wiki/Motor_oil
coal,https://en.wikipedia.org/wiki/Coal
briquettes,https://en.wikipedia.org/wiki/Briquettes
Council of Ministers of Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Council_of_Ministers_of_Bosnia_and_Herzegovina
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
mergers and acquisitions,https://en.wikipedia.org/wiki/Mergers_and_acquisitions
direct foreign investment,https://en.wikipedia.org/wiki/Direct_foreign_investment
Central Bank of Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Central_Bank_of_Bosnia_and_Herzegovina
World Bank,https://en.wikipedia.org/wiki/World_Bank
Index of Economic Freedom,https://en.wikipedia.org/wiki/Index_of_Economic_Freedom
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Bosnia_and_Herzegovina
ARIA,https://en.wikipedia.org/wiki/ARIA_Centar
Al Jazeera Balkans,https://en.wikipedia.org/wiki/Al_Jazeera_Balkans
Sarajevo,https://en.wikipedia.org/wiki/Sarajevo
BH Telecom,https://en.wikipedia.org/wiki/BH_Telecom
Bosnalijek,https://en.wikipedia.org/wiki/Bosnalijek
Energopetrol,https://en.wikipedia.org/wiki/Energopetrol
FlyBosnia,https://en.wikipedia.org/wiki/FlyBosnia
Sarajevo Tobacco Factory,https://en.wikipedia.org/wiki/Sarajevo_Tobacco_Factory
Sarajevska Pivara,https://en.wikipedia.org/wiki/Sarajevska_Pivara
Lonely Planet,https://en.wikipedia.org/wiki/Lonely_Planet
Bjelašnica,https://en.wikipedia.org/wiki/Bjela%C5%A1nica_Mountain
Igman,https://en.wikipedia.org/wiki/Igman
Jahorina,https://en.wikipedia.org/wiki/Jahorina
Trebević,https://en.wikipedia.org/wiki/Trebevi%C4%87
Treskavica,https://en.wikipedia.org/wiki/Treskavica
tourist attraction,https://en.wikipedia.org/wiki/Tourist_attraction
