text,url
Botswana,https://en.wikipedia.org/wiki/Botswana
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
Asia,https://en.wikipedia.org/wiki/Economy_of_Asia
foreign-exchange reserves,https://en.wikipedia.org/wiki/Foreign-exchange_reserves
diamond mining,https://en.wikipedia.org/wiki/List_of_diamond_mines#Botswana
De Beers,https://en.wikipedia.org/wiki/De_Beers
Debswana Diamond Company,https://en.wikipedia.org/wiki/Debswana
Corruption Perceptions Index,https://en.wikipedia.org/wiki/Corruption_Perceptions_Index
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
gross national income per capita in purchasing power,https://en.wikipedia.org/wiki/List_of_countries_by_GNI_(PPP)_per_capita
Trade unions,https://en.wikipedia.org/wiki/Trade_unions_in_Botswana
Botswana Federation of Trade Unions,https://en.wikipedia.org/wiki/Botswana_Federation_of_Trade_Unions
national trade union centre,https://en.wikipedia.org/wiki/National_trade_union_centre
mining,https://en.wikipedia.org/wiki/Mining_industry_of_Botswana
HIV/AIDS,https://en.wikipedia.org/wiki/HIV/AIDS
Agriculture,https://en.wikipedia.org/wiki/Agriculture
Subsistence farming,https://en.wikipedia.org/wiki/Subsistence_agriculture
tourism,https://en.wikipedia.org/wiki/Tourism
mineral,https://en.wikipedia.org/wiki/Mineral
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
Gaborone,https://en.wikipedia.org/wiki/Gaborone
Cairo-Cape Town Highway,https://en.wikipedia.org/wiki/Cairo-Cape_Town_Highway
Trans-Kalahari Corridor,https://en.wikipedia.org/wiki/Trans-Kalahari_Corridor
SACU,https://en.wikipedia.org/wiki/SACU
World Bank,https://en.wikipedia.org/wiki/World_Bank
common external tariff,https://en.wikipedia.org/wiki/Common_external_tariff
U.S. Department of Commerce,https://en.wikipedia.org/wiki/United_States_Department_of_Commerce
Debswana,https://en.wikipedia.org/wiki/Debswana
De Beers,https://en.wikipedia.org/wiki/De_Beers
Jwaneng diamond mine,https://en.wikipedia.org/wiki/Jwaneng_diamond_mine
Orapa,https://en.wikipedia.org/wiki/Orapa_diamond_mine
Letlhakane,https://en.wikipedia.org/wiki/Letlhakane_diamond_mine
Jwaneng,https://en.wikipedia.org/wiki/Jwaneng_diamond_mine
Damtshaa diamond mine,https://en.wikipedia.org/wiki/Damtshaa_diamond_mine
Francistown,https://en.wikipedia.org/wiki/Francistown
Lerala,https://en.wikipedia.org/wiki/Lerala
Eskom,https://en.wikipedia.org/wiki/Eskom
Morupule Colliery,https://en.wikipedia.org/wiki/Morupule_Colliery
Southern African Power Pool,https://en.wikipedia.org/wiki/Southern_African_Power_Pool
Jindal Steel and Power,https://en.wikipedia.org/wiki/Jindal_Steel_and_Power
Mmamabula,https://en.wikipedia.org/wiki/Mmamabula
soda ash,https://en.wikipedia.org/wiki/Soda_ash
Sua Pan,https://en.wikipedia.org/wiki/Sua_Pan
Tourism,https://en.wikipedia.org/wiki/Tourism
Okavango Delta,https://en.wikipedia.org/wiki/Okavango_Delta
Chobe National Park,https://en.wikipedia.org/wiki/Chobe_National_Park
Central Kalahari Game Reserve,https://en.wikipedia.org/wiki/Central_Kalahari_Game_Reserve
safari,https://en.wikipedia.org/wiki/Safari
Moremi Game Reserve,https://en.wikipedia.org/wiki/Moremi_Game_Reserve
Chobe National Park,https://en.wikipedia.org/wiki/Chobe_National_Park
Khwai,https://en.wikipedia.org/wiki/Khwai
The Gods Must Be Crazy,https://en.wikipedia.org/wiki/The_Gods_Must_Be_Crazy
seventh season,https://en.wikipedia.org/wiki/The_Amazing_Race_7
The Amazing Race,https://en.wikipedia.org/wiki/The_Amazing_Race_(American_TV_series)
series of detective novels,https://en.wikipedia.org/wiki/The_No._1_Ladies%27_Detective_Agency
Alexander McCall Smith,https://en.wikipedia.org/wiki/Alexander_McCall_Smith
Botswana Meat Commission,https://en.wikipedia.org/wiki/Botswana_Meat_Commission
Ngamiland,https://en.wikipedia.org/wiki/Ngamiland
root,https://en.wikipedia.org/wiki/Root
tubers,https://en.wikipedia.org/wiki/Tubers
vegetables,https://en.wikipedia.org/wiki/Vegetables
sorghum,https://en.wikipedia.org/wiki/Sorghum
maize,https://en.wikipedia.org/wiki/Maize
cabbage,https://en.wikipedia.org/wiki/Cabbage
onion,https://en.wikipedia.org/wiki/Onion
tomato,https://en.wikipedia.org/wiki/Tomato
glass production,https://en.wikipedia.org/wiki/Glass_production
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
minerals,https://en.wikipedia.org/wiki/Mineral
Heinz,https://en.wikipedia.org/wiki/H._J._Heinz_Company
Hyundai,https://en.wikipedia.org/wiki/Hyundai_Motor_Company
Kasane,https://en.wikipedia.org/wiki/Kasane
foreign exchange controls,https://en.wikipedia.org/wiki/Foreign_exchange_controls
role of research and development,https://en.wikipedia.org/wiki/Science_and_technology_in_Botswana
Fischer–Tropsch process,https://en.wikipedia.org/wiki/Fischer%E2%80%93Tropsch_process
Corruption Perceptions Index,https://en.wikipedia.org/wiki/Corruption_Perceptions_Index
Moody's,https://en.wikipedia.org/wiki/Moody%27s
Standard & Poor's,https://en.wikipedia.org/wiki/Standard_%26_Poor%27s
Coca-Cola,https://en.wikipedia.org/wiki/Coca-Cola
H.J. Heinz,https://en.wikipedia.org/wiki/H.J._Heinz
Kentucky Fried Chicken,https://en.wikipedia.org/wiki/Kentucky_Fried_Chicken
Southern Africa Customs Union,https://en.wikipedia.org/wiki/Southern_African_Customs_Union
Namibia,https://en.wikipedia.org/wiki/Namibia
Lesotho,https://en.wikipedia.org/wiki/Lesotho
Eswatini,https://en.wikipedia.org/wiki/Eswatini
levies,https://en.wikipedia.org/wiki/Tax
Windhoek,https://en.wikipedia.org/wiki/Windhoek
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Mercosur,https://en.wikipedia.org/wiki/Mercosur
European Union,https://en.wikipedia.org/wiki/European_Union
Okavango Delta,https://en.wikipedia.org/wiki/Okavango_Delta
Southern African Development Community,https://en.wikipedia.org/wiki/Southern_African_Development_Community
Southern African Development Coordination Conference,https://en.wikipedia.org/wiki/Southern_African_Development_Coordination_Conference
Child Labour,https://en.wikipedia.org/wiki/Child_labour_in_Botswana
