text,url
Latin America,https://en.wikipedia.org/wiki/Latin_America
Southern Hemisphere,https://en.wikipedia.org/wiki/Southern_Hemisphere
Brazilian,https://en.wikipedia.org/wiki/Brazil
Americas,https://en.wikipedia.org/wiki/Americas
upper-middle income,https://en.wikipedia.org/wiki/List_of_countries_by_GNI_(nominal)_per_capita
developing,https://en.wikipedia.org/wiki/Developing_country
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Brazil,https://en.wikipedia.org/wiki/Brazil
10th largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
nominal gross domestic product,https://en.wikipedia.org/wiki/Nominal_gross_domestic_product
7th largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
purchasing power parity GDP,https://en.wikipedia.org/wiki/Purchasing_power_parity
Forbes,https://en.wikipedia.org/wiki/Forbes
industrial,https://en.wikipedia.org/wiki/Industry_(economics)
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
natural resources,https://en.wikipedia.org/wiki/Natural_resources
fastest-growing,https://en.wikipedia.org/wiki/Economic_growth
entered a recession in 2014,https://en.wikipedia.org/wiki/2014%E2%80%932016_Brazilian_economic_recession
World Economic Forum,https://en.wikipedia.org/wiki/World_Economic_Forum
competitiveness,https://en.wikipedia.org/wiki/Competition_(companies)
India,https://en.wikipedia.org/wiki/India
China,https://en.wikipedia.org/wiki/China
BRICS,https://en.wikipedia.org/wiki/BRICS
Mercosur,https://en.wikipedia.org/wiki/Mercosur
Prosur,https://en.wikipedia.org/wiki/Forum_for_the_Progress_and_Development_of_South_America
G8+5,https://en.wikipedia.org/wiki/G8%2B5
G20,https://en.wikipedia.org/wiki/G-20_major_economies
WTO,https://en.wikipedia.org/wiki/World_Trade_Organization
Paris Club,https://en.wikipedia.org/wiki/Paris_Club
Cairns Group,https://en.wikipedia.org/wiki/Cairns_Group
OECD,https://en.wikipedia.org/wiki/OECD
Gerdau,https://en.wikipedia.org/wiki/Gerdau
long steel,https://en.wikipedia.org/wiki/Long_steel
Vale,https://en.wikipedia.org/wiki/Vale_S.A.
iron ore,https://en.wikipedia.org/wiki/Iron_ore
Petrobras,https://en.wikipedia.org/wiki/Petrobras
Portuguese,https://en.wikipedia.org/wiki/Kingdom_of_Portugal
native tribes of current-day Brazil,https://en.wikipedia.org/wiki/Indigenous_peoples_of_Brazil
Stone Age,https://en.wikipedia.org/wiki/Stone_Age
colonization of Brazil,https://en.wikipedia.org/wiki/Colonial_Brazil
primary products,https://en.wikipedia.org/wiki/Primary_products
exports,https://en.wikipedia.org/wiki/Export
Portuguese Empire,https://en.wikipedia.org/wiki/Portuguese_Empire
mercantile,https://en.wikipedia.org/wiki/Mercantile
slave labor,https://en.wikipedia.org/wiki/Slave_labor
Portuguese,https://en.wikipedia.org/wiki/Portuguese_people
Dutch Brazil,https://en.wikipedia.org/wiki/Dutch_Brazil
Jews,https://en.wikipedia.org/wiki/Brazilian_Jews
Portugal,https://en.wikipedia.org/wiki/Portuguese_Brazilian
Azores,https://en.wikipedia.org/wiki/Azores
Madeira,https://en.wikipedia.org/wiki/Madeira
Italy,https://en.wikipedia.org/wiki/Italian_Brazilian
Spain,https://en.wikipedia.org/wiki/Spanish_Brazilian
Germany,https://en.wikipedia.org/wiki/German_Brazilian
Poland,https://en.wikipedia.org/wiki/Polish_Brazilian
Ukraine,https://en.wikipedia.org/wiki/Ukrainian_Brazilian
Switzerland,https://en.wikipedia.org/wiki/Swiss_Brazilian
Austria,https://en.wikipedia.org/wiki/Austrian_Brazilian
Russia,https://en.wikipedia.org/wiki/Russia
Netherlands,https://en.wikipedia.org/wiki/Dutch_Brazilian
France,https://en.wikipedia.org/wiki/French_Brazilian
Finland,https://en.wikipedia.org/wiki/Finland
Iceland,https://en.wikipedia.org/wiki/Iceland
Scandinavian,https://en.wikipedia.org/wiki/Scandinavian_Brazilian
Lithuania,https://en.wikipedia.org/wiki/Lithuanians_in_Brazil
Belgium,https://en.wikipedia.org/wiki/Belgian_Brazilian
Bulgaria,https://en.wikipedia.org/wiki/Bulgarian_Brazilian
Hungary,https://en.wikipedia.org/wiki/Hungarian_Brazilian
Greece,https://en.wikipedia.org/wiki/Greek_Brazilian
Latvia,https://en.wikipedia.org/wiki/Latvia
England,https://en.wikipedia.org/wiki/English_Brazilian
Ireland,https://en.wikipedia.org/wiki/Irish_Brazilian
Scotland,https://en.wikipedia.org/wiki/Scottish_Brazilian
Croatia,https://en.wikipedia.org/wiki/Croat_Brazilian
Czech Republic,https://en.wikipedia.org/wiki/Czech_Brazilian
Malta,https://en.wikipedia.org/wiki/Malta
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg_Brazilian
Middle East,https://en.wikipedia.org/wiki/Arab_Brazilian
Lebanon,https://en.wikipedia.org/wiki/Lebanese_Brazilian
Syria,https://en.wikipedia.org/wiki/Syrian_Brazilian
Armenia,https://en.wikipedia.org/wiki/Armenian_Brazilian
Japan,https://en.wikipedia.org/wiki/Japanese_Brazilian
United States,https://en.wikipedia.org/wiki/Confederados
South Africa,https://en.wikipedia.org/wiki/Afrikaners
human capital development,https://en.wikipedia.org/wiki/Human_capital
spillover effects,https://en.wikipedia.org/wiki/Spillover_(economics)
scientific and technological,https://en.wikipedia.org/wiki/Brazilian_science_and_technology
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
corruption cases in Brazil,https://en.wikipedia.org/wiki/Corruption_in_Brazil
Odebrecht,https://en.wikipedia.org/wiki/Odebrecht
Inverted yield curve,https://en.wikipedia.org/wiki/Inverted_yield_curve
service sector,https://en.wikipedia.org/wiki/Service_sector
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
industrial sector,https://en.wikipedia.org/wiki/Industrial_sector
Agriculture,https://en.wikipedia.org/wiki/Agriculture
Combine harvester,https://en.wikipedia.org/wiki/Combine_harvester
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
soy,https://en.wikipedia.org/wiki/Soy
coffee,https://en.wikipedia.org/wiki/Coffee
orange,https://en.wikipedia.org/wiki/Orange_(fruit)
guaraná,https://en.wikipedia.org/wiki/Guaran%C3%A1
açaí,https://en.wikipedia.org/wiki/A%C3%A7a%C3%AD
Brazil nut,https://en.wikipedia.org/wiki/Brazil_nut
maize,https://en.wikipedia.org/wiki/Maize
papaya,https://en.wikipedia.org/wiki/Papaya
tobacco,https://en.wikipedia.org/wiki/Tobacco
pineapple,https://en.wikipedia.org/wiki/Pineapple
banana,https://en.wikipedia.org/wiki/Banana
cotton,https://en.wikipedia.org/wiki/Cotton
beans,https://en.wikipedia.org/wiki/Beans
