text,url
economic planning,https://en.wikipedia.org/wiki/Economic_planning
government regulation,https://en.wikipedia.org/wiki/Government_regulation
crude oil,https://en.wikipedia.org/wiki/Crude_oil
Brunei,https://en.wikipedia.org/wiki/Brunei
Asia-Pacific Economic Cooperation,https://en.wikipedia.org/wiki/Asia-Pacific_Economic_Cooperation
liquefied natural gas,https://en.wikipedia.org/wiki/Liquefied_natural_gas
Asian financial crisis,https://en.wikipedia.org/wiki/Asian_financial_crisis
price of oil,https://en.wikipedia.org/wiki/Price_of_oil
Brunei,https://en.wikipedia.org/wiki/Brunei
Amedeo Development Corporation,https://en.wikipedia.org/wiki/Amedeo_Development_Corporation
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Bruneian dollars,https://en.wikipedia.org/wiki/Bruneian_dollar
man-hour,https://en.wikipedia.org/wiki/Man-hour
Ministry of Finance and Economy,https://en.wikipedia.org/wiki/Ministry_of_Finance_and_Economy_(Brunei)
Brunei Shell Petroleum,https://en.wikipedia.org/wiki/Brunei_Shell_Petroleum
Australia,https://en.wikipedia.org/wiki/Australia
Brunei Shell Petroleum,https://en.wikipedia.org/wiki/Brunei_Shell_Petroleum
Shell,https://en.wikipedia.org/wiki/Shell_plc
Elf Aquitaine,https://en.wikipedia.org/wiki/Elf_Aquitaine
UNOCAL,https://en.wikipedia.org/wiki/UNOCAL
Fletcher Challenge,https://en.wikipedia.org/wiki/Fletcher_Challenge
oil reserves,https://en.wikipedia.org/wiki/Oil_reserves
Taiwan,https://en.wikipedia.org/wiki/Taiwan
Brunei Liquefied Natural Gas (LNG) plant,https://en.wikipedia.org/wiki/Brunei_LNG
Liang,"https://en.wikipedia.org/wiki/Liang,_Belait"
petrochemical,https://en.wikipedia.org/wiki/Petrochemical
Methanol,https://en.wikipedia.org/wiki/Methanol
Petroleum,https://en.wikipedia.org/wiki/Petroleum
Mitsubishi Chemical Holdings,https://en.wikipedia.org/wiki/Mitsubishi_Chemical_Holdings
Itochu,https://en.wikipedia.org/wiki/Itochu
methanol,https://en.wikipedia.org/wiki/Methanol
Sultan of Brunei,https://en.wikipedia.org/wiki/Sultan_of_Brunei
Hassanal Bolkiah,https://en.wikipedia.org/wiki/Hassanal_Bolkiah
halal,https://en.wikipedia.org/wiki/Halal
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
The World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Australian Broadcasting Corporation,https://en.wikipedia.org/wiki/Australian_Broadcasting_Corporation
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
hdl,https://en.wikipedia.org/wiki/Hdl_(identifier)
