text,url
free market,https://en.wikipedia.org/wiki/Free_market
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
developing,https://en.wikipedia.org/wiki/Developed_country
World Bank,https://en.wikipedia.org/wiki/World_Bank
European Union,https://en.wikipedia.org/wiki/European_Union
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Organization for Security and Co-operation in Europe,https://en.wikipedia.org/wiki/Organization_for_Security_and_Co-operation_in_Europe
Organization of the Black Sea Economic Cooperation,https://en.wikipedia.org/wiki/BSEC
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
leva,https://en.wikipedia.org/wiki/Bulgarian_lev
euro,https://en.wikipedia.org/wiki/Euro
lev,https://en.wikipedia.org/wiki/Bulgarian_lev
euro,https://en.wikipedia.org/wiki/Euro
Eastern Europe,https://en.wikipedia.org/wiki/Eastern_Europe
energy,https://en.wikipedia.org/wiki/Energy
mining,https://en.wikipedia.org/wiki/Mining
metallurgy,https://en.wikipedia.org/wiki/Metallurgy
machine building,https://en.wikipedia.org/wiki/Machinery
agriculture,https://en.wikipedia.org/wiki/Agriculture
tourism,https://en.wikipedia.org/wiki/Tourism
Sofia,https://en.wikipedia.org/wiki/Sofia
Bulgarian National Bank,https://en.wikipedia.org/wiki/Bulgarian_National_Bank
Bulgarian Stock Exchange,https://en.wikipedia.org/wiki/Bulgarian_Stock_Exchange_%E2%80%93_Sofia
Plovdiv,https://en.wikipedia.org/wiki/Plovdiv
Varna,"https://en.wikipedia.org/wiki/Varna,_Bulgaria"
Comecon,https://en.wikipedia.org/wiki/Comecon
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
FDI,https://en.wikipedia.org/wiki/Foreign_direct_investment
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
FDI,https://en.wikipedia.org/wiki/Foreign_direct_investment
European Union,https://en.wikipedia.org/wiki/European_Union
Bulgarian Academy of Sciences,https://en.wikipedia.org/wiki/Bulgarian_Academy_of_Sciences
European Union,https://en.wikipedia.org/wiki/European_Union
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
Balkan,https://en.wikipedia.org/wiki/Balkan
road infrastructure,https://en.wikipedia.org/wiki/Transport_infrastructure
Eastern Europe,https://en.wikipedia.org/wiki/Eastern_Europe
Bulgarian Communist Party,https://en.wikipedia.org/wiki/Bulgarian_Communist_Party
planned economy,https://en.wikipedia.org/wiki/Planned_economy
Comecon,https://en.wikipedia.org/wiki/Comecon
industrial economy,https://en.wikipedia.org/wiki/Industrial_economy
Todor Zhivkov,https://en.wikipedia.org/wiki/Todor_Zhivkov
Bulgarian Socialist Party,https://en.wikipedia.org/wiki/Bulgarian_Socialist_Party
Comecon,https://en.wikipedia.org/wiki/Comecon
Soviet,https://en.wikipedia.org/wiki/Soviet_Union
market economy,https://en.wikipedia.org/wiki/Market_economy
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
Jean Videnov,https://en.wikipedia.org/wiki/Jean_Videnov
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Bulgarian Socialist Party,https://en.wikipedia.org/wiki/Bulgarian_Socialist_Party
lev,https://en.wikipedia.org/wiki/Bulgarian_lev
United Democratic Forces,https://en.wikipedia.org/wiki/United_Democratic_Forces
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Corruption,https://en.wikipedia.org/wiki/Corruption_in_Bulgaria
late-2000s recession,https://en.wikipedia.org/wiki/Great_Recession
Europe,https://en.wikipedia.org/wiki/Europe
privatization,https://en.wikipedia.org/wiki/Privatization
Yugoslavia,https://en.wikipedia.org/wiki/Federal_Republic_of_Yugoslavia
Iraq,https://en.wikipedia.org/wiki/Iraq_sanctions
social safety net,https://en.wikipedia.org/wiki/Social_safety_net
European Commission,https://en.wikipedia.org/wiki/European_Commission
Ivan Kostov,https://en.wikipedia.org/wiki/Ivan_Kostov
Union of Democratic Forces,https://en.wikipedia.org/wiki/Union_of_Democratic_Forces_(Bulgaria)
elections,"https://en.wikipedia.org/wiki/Bulgarian_parliamentary_election,_1997"
economic growth,https://en.wikipedia.org/wiki/Economic_growth
government,https://en.wikipedia.org/wiki/Sakskoburggotski_Government
