text,url
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
agriculture,https://en.wikipedia.org/wiki/Agriculture
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Burundi,https://en.wikipedia.org/wiki/Burundi
landlocked,https://en.wikipedia.org/wiki/Landlocked_country
subsistence farmers,https://en.wikipedia.org/wiki/Subsistence_agriculture
civil unrest,https://en.wikipedia.org/wiki/Civil_disorder
overpopulation,https://en.wikipedia.org/wiki/Human_overpopulation
soil erosion,https://en.wikipedia.org/wiki/Soil_erosion
subsistence economy,https://en.wikipedia.org/wiki/Subsistence_economy
internally displaced persons,https://en.wikipedia.org/wiki/Internally_displaced_person
least developed country,https://en.wikipedia.org/wiki/Least_developed_countries
United Nations,https://en.wikipedia.org/wiki/United_Nations
cassava,https://en.wikipedia.org/wiki/Cassava
banana,https://en.wikipedia.org/wiki/Banana
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
vegetables,https://en.wikipedia.org/wiki/Vegetables
beans,https://en.wikipedia.org/wiki/Beans
potato,https://en.wikipedia.org/wiki/Potato
maize,https://en.wikipedia.org/wiki/Maize
sugar cane,https://en.wikipedia.org/wiki/Sugar_cane
fruit,https://en.wikipedia.org/wiki/Fruit
rice,https://en.wikipedia.org/wiki/Rice
taro,https://en.wikipedia.org/wiki/Taro
palm oil,https://en.wikipedia.org/wiki/Palm_oil
tea,https://en.wikipedia.org/wiki/Tea
sorghum,https://en.wikipedia.org/wiki/Sorghum
coffee,https://en.wikipedia.org/wiki/Coffee
petroleum,https://en.wikipedia.org/wiki/Petroleum
nickel,https://en.wikipedia.org/wiki/Nickel
copper,https://en.wikipedia.org/wiki/Copper
Lake Tanganyika,https://en.wikipedia.org/wiki/Lake_Tanganyika
embargo,https://en.wikipedia.org/wiki/Embargo
billion,https://en.wikipedia.org/wiki/1000000000_(number)
IMF structural adjustment,https://en.wikipedia.org/wiki/Structural_adjustment
1996 coup,https://en.wikipedia.org/wiki/1996_Burundian_coup_d%27%C3%A9tat
Pierre Buyoya,https://en.wikipedia.org/wiki/Pierre_Buyoya
United Nations Security Council,https://en.wikipedia.org/wiki/United_Nations_Security_Council
United States,https://en.wikipedia.org/wiki/United_States
Foreign Policy,https://en.wikipedia.org/wiki/Foreign_Policy
population growth rate,https://en.wikipedia.org/wiki/Population_growth_rate
fertility rate,https://en.wikipedia.org/wiki/Fertility_rate
Global Hunger Index,https://en.wikipedia.org/wiki/Global_Hunger_Index
fossil fuels,https://en.wikipedia.org/wiki/Fossil_fuel
renewables,https://en.wikipedia.org/wiki/Renewable_energy
Oil,https://en.wikipedia.org/wiki/Petroleum
hydropower,https://en.wikipedia.org/wiki/Hydropower
solar energy,https://en.wikipedia.org/wiki/Solar_energy
bioenergy,https://en.wikipedia.org/wiki/Bioenergy
Rusumo Hydroelectric Power Station,https://en.wikipedia.org/wiki/Rusumo_Hydroelectric_Power_Station
Gitega,https://en.wikipedia.org/wiki/Gitega
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
European Union,https://en.wikipedia.org/wiki/European_Union
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
List of companies based in Burundi,https://en.wikipedia.org/wiki/List_of_companies_based_in_Burundi
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
Foreign Policy,https://en.wikipedia.org/wiki/Foreign_Policy
CIA,https://en.wikipedia.org/wiki/CIA
