text,url
History ofCambodia,https://en.wikipedia.org/wiki/History_of_Cambodia
Early history,https://en.wikipedia.org/wiki/Early_history_of_Cambodia
Funan,https://en.wikipedia.org/wiki/Funan
Chenla,https://en.wikipedia.org/wiki/Chenla
Khmer Empire,https://en.wikipedia.org/wiki/Khmer_Empire
Angkor,https://en.wikipedia.org/wiki/Angkor
Khmer–Cham wars,https://en.wikipedia.org/wiki/Khmer%E2%80%93Cham_wars
Đại Việt–Khmer War,https://en.wikipedia.org/wiki/%C4%90%E1%BA%A1i_Vi%E1%BB%87t%E2%80%93Khmer_War
Post-Angkor period,https://en.wikipedia.org/wiki/Post-Angkor_period
Chaktomuk era,https://en.wikipedia.org/wiki/Post-Angkor_period#Chaktomuk_era
Longvek era,https://en.wikipedia.org/wiki/Post-Angkor_period#Longvek_era
Siamese-Cambodian War,https://en.wikipedia.org/wiki/Siamese%E2%80%93Cambodian_War_(1591%E2%80%931594)
Cambodian–Spanish War,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Spanish_War
Cambodian–Dutch War,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Dutch_War
Siamese annexation,https://en.wikipedia.org/wiki/Inner_Cambodia
Oudong era,https://en.wikipedia.org/wiki/Post-Angkor_period#Oudong_era
Loss of Mekong Delta,https://en.wikipedia.org/wiki/Post-Angkor_period#Loss_of_the_Mekong_Delta
Dai Viet invasion,https://en.wikipedia.org/wiki/Vietnamese_invasions_of_Cambodia
French protectorate,https://en.wikipedia.org/wiki/French_protectorate_of_Cambodia
French Indochina,https://en.wikipedia.org/wiki/French_Indochina
Japanese occupation,https://en.wikipedia.org/wiki/Japanese_occupation_of_Cambodia
Cambodia in 1945,https://en.wikipedia.org/wiki/Kingdom_of_Kampuchea_(1945)
Post-independence,https://en.wikipedia.org/wiki/Kingdom_of_Cambodia_(1953%E2%80%931970)
US bombing,https://en.wikipedia.org/wiki/Operation_Menu
Sihanouk Trail,https://en.wikipedia.org/wiki/Sihanouk_Trail
Cambodian campaign,https://en.wikipedia.org/wiki/Cambodian_campaign
1970 coup,https://en.wikipedia.org/wiki/1970_Cambodian_coup_d%27%C3%A9tat
Khmer Republic,https://en.wikipedia.org/wiki/Khmer_Republic
US bombing,https://en.wikipedia.org/wiki/Operation_Freedom_Deal
Cambodian Civil War,https://en.wikipedia.org/wiki/Cambodian_Civil_War
Fall of Phnom Penh,https://en.wikipedia.org/wiki/Fall_of_Phnom_Penh
Democratic Kampuchea,https://en.wikipedia.org/wiki/Democratic_Kampuchea
Mayaguezincident,https://en.wikipedia.org/wiki/Mayaguez_incident
Cambodian genocide,https://en.wikipedia.org/wiki/Cambodian_genocide
Cambodian–Vietnamese War,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Vietnamese_War
People's Republic of Kampuchea,https://en.wikipedia.org/wiki/People%27s_Republic_of_Kampuchea
exiled coalition government,https://en.wikipedia.org/wiki/Coalition_Government_of_Democratic_Kampuchea
K5 Plan,https://en.wikipedia.org/wiki/K5_Plan
Cambodian Conflict (1979–1998),https://en.wikipedia.org/wiki/Cambodian_Conflict_(1979%E2%80%931998)
1991 Paris Peace Agreements,https://en.wikipedia.org/wiki/1991_Paris_Peace_Agreements
United Nations Administration,https://en.wikipedia.org/wiki/United_Nations_Administered_Cambodia
UNTAC,https://en.wikipedia.org/wiki/UNTAC
1993 election,https://en.wikipedia.org/wiki/1993_Cambodian_general_election
Khmer Rouge PGNUNSC,https://en.wikipedia.org/wiki/Khmer_Rouge_unrecognized_government_(1994%E2%80%931998)
Modern Cambodia,https://en.wikipedia.org/wiki/Modern_Cambodia
1997 coup,https://en.wikipedia.org/wiki/1997_Cambodian_coup_d%27%C3%A9tat
Khmer Rouge Tribunal,https://en.wikipedia.org/wiki/Khmer_Rouge_Tribunal
2003 Phnom Penh riots,https://en.wikipedia.org/wiki/2003_Phnom_Penh_riots
Cambodian–Thai border dispute,https://en.wikipedia.org/wiki/Cambodian%E2%80%93Thai_border_dispute
2013–2014 protests,https://en.wikipedia.org/wiki/2013%E2%80%932014_Cambodian_protests
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Cambodia
Buddhism,https://en.wikipedia.org/wiki/History_of_Buddhism_in_Cambodia
Economic history,https://en.wikipedia.org/wiki/Economic_history_of_Cambodia
Humanitarian crisis,https://en.wikipedia.org/wiki/Cambodian_humanitarian_crisis
Military history,https://en.wikipedia.org/wiki/Military_history_of_Cambodia
Monarchy,https://en.wikipedia.org/wiki/Monarchy_of_Cambodia
Names,https://en.wikipedia.org/wiki/Names_of_Cambodia
Timeline,https://en.wikipedia.org/wiki/Timeline_of_Cambodian_history
Cambodia,https://en.wikipedia.org/wiki/Cambodia
market economy,https://en.wikipedia.org/wiki/Market_economy
Per capita income,https://en.wikipedia.org/wiki/Per_capita_income
tourism,https://en.wikipedia.org/wiki/Tourism_in_Cambodia
agricultural activities,https://en.wikipedia.org/wiki/Agriculture_in_Cambodia
scam center,https://en.wikipedia.org/wiki/Scam_center
Cambodian government,https://en.wikipedia.org/wiki/Cambodian_government
planned economy,https://en.wikipedia.org/wiki/Planned_economy
ASEAN,https://en.wikipedia.org/wiki/ASEAN
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
civil unrest,https://en.wikipedia.org/wiki/Cambodian_conflict_(1979%E2%80%931998)
political infighting,https://en.wikipedia.org/wiki/1997_Cambodian_coup_d%27%C3%A9tat
Foreign investments,https://en.wikipedia.org/wiki/Foreign_direct_investment
Thailand,https://en.wikipedia.org/wiki/Thailand
Vietnam,https://en.wikipedia.org/wiki/Vietnam
ASEAN,https://en.wikipedia.org/wiki/ASEAN
WTO,https://en.wikipedia.org/wiki/WTO
poverty,https://en.wikipedia.org/wiki/Poverty_in_Cambodia
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
First Kingdom of Cambodia,https://en.wikipedia.org/wiki/Cambodia_(1953%E2%80%931970)
Khmer Republic,https://en.wikipedia.org/wiki/Khmer_Republic
Democratic Kampuchea,https://en.wikipedia.org/wiki/Democratic_Kampuchea
Coalition Government of Democratic Kampuchea,https://en.wikipedia.org/wiki/Coalition_Government_of_Democratic_Kampuchea
People's Republic of Kampuchea,https://en.wikipedia.org/wiki/People%27s_Republic_of_Kampuchea
Second Kingdom of Cambodia,https://en.wikipedia.org/wiki/Cambodia
command economy,https://en.wikipedia.org/wiki/Command_economy
Association of South East Asian Nations,https://en.wikipedia.org/wiki/Association_of_South_East_Asian_Nations
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Multi Fibre Arrangement,https://en.wikipedia.org/wiki/Multi_Fibre_Arrangement
GDP,https://en.wikipedia.org/wiki/GDP
Rice,https://en.wikipedia.org/wiki/Rice
maize,https://en.wikipedia.org/wiki/Maize
cassava,https://en.wikipedia.org/wiki/Cassava
sweet potatoes,https://en.wikipedia.org/wiki/Sweet_potato
groundnuts,https://en.wikipedia.org/wiki/Bambara_groundnut
soybeans,https://en.wikipedia.org/wiki/Soybean
sesame seeds,https://en.wikipedia.org/wiki/Sesame_seed
rubber,https://en.wikipedia.org/wiki/Rubber
Southeast Asian,https://en.wikipedia.org/wiki/Southeast_Asia
Khmer Rouge Genocide,https://en.wikipedia.org/wiki/Khmer_Rouge_Genocide
Angkor Wat,https://en.wikipedia.org/wiki/Angkor_Wat
Angkor Wat,https://en.wikipedia.org/wiki/Angkor_Wat
Siem Reap,https://en.wikipedia.org/wiki/Siem_Reap
"Royal Palace, Phnom Penh","https://en.wikipedia.org/wiki/Royal_Palace,_Phnom_Penh"
Tonlé Sap,https://en.wikipedia.org/wiki/Tonl%C3%A9_Sap
Mekong,https://en.wikipedia.org/wiki/Mekong
Phnom Penh,https://en.wikipedia.org/wiki/Phnom_Penh
Siem Reap,https://en.wikipedia.org/wiki/Siem_Reap
Child sex tourism,https://en.wikipedia.org/wiki/Child_sex_tourism
NagaWorld,https://en.wikipedia.org/wiki/NagaCorp
Phnom Penh,https://en.wikipedia.org/wiki/Phnom_Penh
Gambling in Cambodia,https://en.wikipedia.org/wiki/Gambling_in_Cambodia
gambling,https://en.wikipedia.org/wiki/Gambling
Cambodian government's,https://en.wikipedia.org/wiki/Government_of_Cambodia
online gambling,https://en.wikipedia.org/wiki/Online_gambling
Cambodia,https://en.wikipedia.org/wiki/Cambodia
lotteries,https://en.wikipedia.org/wiki/Lottery
slot machines,https://en.wikipedia.org/wiki/Slot_machines
problem gambling,https://en.wikipedia.org/wiki/Problem_gambling
Cambodian culture,https://en.wikipedia.org/wiki/Culture_of_Cambodia
corrupt governments,https://en.wikipedia.org/wiki/Corruption_in_Cambodia
cockfights,https://en.wikipedia.org/wiki/Cockfights
sports book,https://en.wikipedia.org/wiki/Sports_book
football,https://en.wikipedia.org/wiki/Soccer
Kun Khmer,https://en.wikipedia.org/wiki/Kun_Khmer
organized crime,https://en.wikipedia.org/wiki/Organized_crime
Phnom Penh,https://en.wikipedia.org/wiki/Phnom_Penh
construction,https://en.wikipedia.org/wiki/Construction
Thailand,https://en.wikipedia.org/wiki/Thailand
Malaysia,https://en.wikipedia.org/wiki/Malaysia
Singapore,https://en.wikipedia.org/wiki/Singapore
Oil seeps,https://en.wikipedia.org/wiki/Petroleum_seep
Vietnam,https://en.wikipedia.org/wiki/Vietnam_War
Cambodian Civil Wars,https://en.wikipedia.org/wiki/Cambodian_Civil_War
Chevron,https://en.wikipedia.org/wiki/Chevron_Corporation
JOGMEC,"https://en.wikipedia.org/wiki/Japan_Oil,_Gas_and_Metals_National_Corporation"
Gulf of Thailand,https://en.wikipedia.org/wiki/Gulf_of_Thailand
Rice milling,https://en.wikipedia.org/wiki/Rice
democracy,https://en.wikipedia.org/wiki/Democracy
United Nations Transitional Authority in Cambodia,https://en.wikipedia.org/wiki/United_Nations_Transitional_Authority_in_Cambodia
billion,https://en.wikipedia.org/wiki/1000000000_(number)
Tokyo,https://en.wikipedia.org/wiki/Tokyo
Paris,https://en.wikipedia.org/wiki/Paris
scam,https://en.wikipedia.org/wiki/Scam_center
center,https://en.wikipedia.org/wiki/Scam_center
Sihanoukville,https://en.wikipedia.org/wiki/Sihanoukville
Dara Sakor,https://en.wikipedia.org/wiki/Dara_Sakor
Belt and Road Initiative,https://en.wikipedia.org/wiki/Belt_and_Road_Initiative
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
human trafficking,https://en.wikipedia.org/wiki/Human_trafficking_in_Cambodia
Kien Svay,https://en.wikipedia.org/wiki/Kien_Svay_District
Kandal Province,https://en.wikipedia.org/wiki/Kandal_Province
transport in Cambodia,https://en.wikipedia.org/wiki/Transport_in_Cambodia
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
Soviet,https://en.wikipedia.org/wiki/Soviet_Union
transportation network,https://en.wikipedia.org/wiki/Transport_network
Child labour,https://en.wikipedia.org/wiki/Child_labour
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
Cambodia,https://en.wikipedia.org/wiki/Cambodia
Minimum Age Convention,https://en.wikipedia.org/wiki/Minimum_Age_Convention
Worst Forms of Child Labour Convention,https://en.wikipedia.org/wiki/Worst_Forms_of_Child_Labour_Convention
International Labour Organization,https://en.wikipedia.org/wiki/International_Labour_Organization
UNICEF,https://en.wikipedia.org/wiki/UNICEF
Everything But Arms,https://en.wikipedia.org/wiki/Everything_but_Arms
small and medium-sized enterprises,https://en.wikipedia.org/wiki/Small_and_medium-sized_enterprises
Special Economic Zones of Cambodia,https://en.wikipedia.org/wiki/Special_Economic_Zones_of_Cambodia
Cambodia and the World Bank,https://en.wikipedia.org/wiki/Cambodia_and_the_World_Bank
free content,https://en.wikipedia.org/wiki/Free_content
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
UNDP,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
World Bank,https://en.wikipedia.org/wiki/World_Bank
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
JSTOR,https://en.wikipedia.org/wiki/JSTOR_(identifier)
