text,url
Cape Verde,https://en.wikipedia.org/wiki/Cape_Verde
archipelagic,https://en.wikipedia.org/wiki/Archipelago
Botswana,https://en.wikipedia.org/wiki/Botswana
link its currency,https://en.wikipedia.org/wiki/Fixed_exchange_rate
Cape Verdean escudo,https://en.wikipedia.org/wiki/Cape_Verdean_escudo
Portuguese escudo,https://en.wikipedia.org/wiki/Portuguese_escudo
euro,https://en.wikipedia.org/wiki/Euro
fish processing plants,https://en.wikipedia.org/wiki/Fish_processing_plant
Mindelo,https://en.wikipedia.org/wiki/Mindelo
Praia,https://en.wikipedia.org/wiki/Praia
Sal,"https://en.wikipedia.org/wiki/Sal,_Cape_Verde"
lobster,https://en.wikipedia.org/wiki/Lobster
tuna,https://en.wikipedia.org/wiki/Tuna
agriculture,https://en.wikipedia.org/wiki/Agriculture
fishing,https://en.wikipedia.org/wiki/Fishing
clay,https://en.wikipedia.org/wiki/Clay
Boa Vista,"https://en.wikipedia.org/wiki/Boa_Vista,_Cape_Verde"
Sal,"https://en.wikipedia.org/wiki/Sal,_Cape_Verde"
São Vicente,"https://en.wikipedia.org/wiki/S%C3%A3o_Vicente,_Cape_Verde"
gypsum,https://en.wikipedia.org/wiki/Gypsum
iron ore,https://en.wikipedia.org/wiki/Iron_ore
Maio,"https://en.wikipedia.org/wiki/Maio,_Cape_Verde"
limestone,https://en.wikipedia.org/wiki/Limestone
Santo Antão,"https://en.wikipedia.org/wiki/Santo_Ant%C3%A3o,_Cape_Verde"
pozzolana,https://en.wikipedia.org/wiki/Pozzolana
salt,https://en.wikipedia.org/wiki/Salt_evaporation_pond
international airport on Sal,https://en.wikipedia.org/wiki/Am%C3%ADlcar_Cabral_International_Airport
Praia International Airport,https://en.wikipedia.org/wiki/Praia_International_Airport
developing country,https://en.wikipedia.org/wiki/Developing_countries#Africa
Small Island Developing States,https://en.wikipedia.org/wiki/Small_Island_Developing_States
Least Developed Countries,https://en.wikipedia.org/wiki/Least_Developed_Countries
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
copyright,https://en.wikipedia.org/wiki/Copyright
patent,https://en.wikipedia.org/wiki/Patent
Agreement on Trade-Related Aspects of Intellectual Property Rights,https://en.wikipedia.org/wiki/Agreement_on_Trade-Related_Aspects_of_Intellectual_Property_Rights
World Intellectual Property Organization,https://en.wikipedia.org/wiki/World_Intellectual_Property_Organization
Cape Verdean escudo,https://en.wikipedia.org/wiki/Cape_Verdean_escudo
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
Minerals Yearbook,https://en.wikipedia.org/wiki/Minerals_Yearbook
United States Geological Survey,https://en.wikipedia.org/wiki/United_States_Geological_Survey
public domain,https://en.wikipedia.org/wiki/Public_domain
TRIPS,https://en.wikipedia.org/wiki/Agreement_on_Trade-Related_Aspects_of_Intellectual_Property_Rights
Doha Declaration,https://en.wikipedia.org/wiki/Doha_Declaration_on_the_TRIPS_agreement_and_public_health
