text,url
World Factbook,https://en.wikipedia.org/wiki/The_World_Factbook
Chad,https://en.wikipedia.org/wiki/Chad
World Bank,https://en.wikipedia.org/wiki/World_Bank
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
oil fields,https://en.wikipedia.org/wiki/Oil_field
Doba,"https://en.wikipedia.org/wiki/Doba,_Chad"
ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
sorghum,https://en.wikipedia.org/wiki/Sorghum
groundnuts,https://en.wikipedia.org/wiki/Peanut
millet,https://en.wikipedia.org/wiki/Millet
cereal,https://en.wikipedia.org/wiki/Cereal
yam,https://en.wikipedia.org/wiki/Yam_(vegetable)
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
maize,https://en.wikipedia.org/wiki/Maize
cassava,https://en.wikipedia.org/wiki/Cassava
rice,https://en.wikipedia.org/wiki/Rice
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
sesame seed,https://en.wikipedia.org/wiki/Sesame_seed
beans,https://en.wikipedia.org/wiki/Bean
cotton,https://en.wikipedia.org/wiki/Cotton
Chad,https://en.wikipedia.org/wiki/Chad
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
Petroleum industry in Chad,https://en.wikipedia.org/wiki/Petroleum_industry_in_Chad
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA,https://en.wikipedia.org/wiki/CIA
