text,url
market economy,https://en.wikipedia.org/wiki/Market_economy
high-income economy,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
World Bank,https://en.wikipedia.org/wiki/World_Bank
South America,https://en.wikipedia.org/wiki/South_America
competitiveness,https://en.wikipedia.org/wiki/Competition
income per capita,https://en.wikipedia.org/wiki/Income_per_capita
globalization,https://en.wikipedia.org/wiki/Globalization
economic freedom,https://en.wikipedia.org/wiki/Economic_freedom
corruption,https://en.wikipedia.org/wiki/Corruption
economic inequality,https://en.wikipedia.org/wiki/Economic_inequality
Gini index,https://en.wikipedia.org/wiki/Gini_index
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/OECD
19.6% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
inequality-adjusted Human Development Index,https://en.wikipedia.org/wiki/List_of_countries_by_inequality-adjusted_Human_Development_Index
multidimensional poverty,https://en.wikipedia.org/wiki/Multidimensional_Poverty_Index
Global Competitiveness Report,https://en.wikipedia.org/wiki/Global_Competitiveness_Report
Ease of Doing Business Index,https://en.wikipedia.org/wiki/Ease_of_doing_business_index
privatized national pension system,https://en.wikipedia.org/wiki/Pensions_in_Chile
autarchy,https://en.wikipedia.org/wiki/Autocracy
Arauco War,https://en.wikipedia.org/wiki/Arauco_War
placer deposits,https://en.wikipedia.org/wiki/Placer_deposit
Bourbon reforms,https://en.wikipedia.org/wiki/Bourbon_reforms
Diego Portales,https://en.wikipedia.org/wiki/Diego_Portales
War of the Pacific,https://en.wikipedia.org/wiki/War_of_the_Pacific
League of Nations,https://en.wikipedia.org/wiki/League_of_Nations
Great Depression,https://en.wikipedia.org/wiki/Great_Depression
import substitution industrialization,https://en.wikipedia.org/wiki/Import_substitution_industrialization
Production Development Corporation,https://en.wikipedia.org/wiki/CORFO
Chicago Boys,https://en.wikipedia.org/wiki/Chicago_Boys
Pinochet regime,https://en.wikipedia.org/wiki/Pinochet_regime
neoliberal,https://en.wikipedia.org/wiki/Neoliberal
crisis of 1982,https://en.wikipedia.org/wiki/Crisis_of_1982
Hernán Büchi,https://en.wikipedia.org/wiki/Hern%C3%A1n_B%C3%BCchi
selling of state property,https://en.wikipedia.org/wiki/Privatization
Codelco,https://en.wikipedia.org/wiki/Codelco
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
Patricio Aylwin,https://en.wikipedia.org/wiki/Patricio_Aylwin
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
cherry,https://en.wikipedia.org/wiki/Cherry
cranberry,https://en.wikipedia.org/wiki/Cranberry
grape,https://en.wikipedia.org/wiki/Grape
apple,https://en.wikipedia.org/wiki/Apple
kiwi,https://en.wikipedia.org/wiki/Kiwifruit
peach,https://en.wikipedia.org/wiki/Peach
plum,https://en.wikipedia.org/wiki/Plum
hazelnut,https://en.wikipedia.org/wiki/Hazelnut
grapes,https://en.wikipedia.org/wiki/Grape
apples,https://en.wikipedia.org/wiki/Apple
kiwi,https://en.wikipedia.org/wiki/Kiwifruit
wheat,https://en.wikipedia.org/wiki/Wheat
maize,https://en.wikipedia.org/wiki/Maize
potatoes,https://en.wikipedia.org/wiki/Potatoes
tomatoes,https://en.wikipedia.org/wiki/Tomatoes
oats,https://en.wikipedia.org/wiki/Oats
onions,https://en.wikipedia.org/wiki/Onions
peaches,https://en.wikipedia.org/wiki/Peaches
pears,https://en.wikipedia.org/wiki/Pears
rice,https://en.wikipedia.org/wiki/Rice
barley,https://en.wikipedia.org/wiki/Barley
cherries,https://en.wikipedia.org/wiki/Cherries
lemons,https://en.wikipedia.org/wiki/Lemons
tangerines,https://en.wikipedia.org/wiki/Tangerines
oranges,https://en.wikipedia.org/wiki/Orange_(fruit)
olives,https://en.wikipedia.org/wiki/Olives
cranberries,https://en.wikipedia.org/wiki/Cranberries
labor force,https://en.wikipedia.org/wiki/Labor_force
Southern Hemisphere,https://en.wikipedia.org/wiki/Southern_Hemisphere
mountainous landscape of Chile,https://en.wikipedia.org/wiki/Geography_of_Chile
growing region,https://en.wikipedia.org/wiki/Growing_region
Central Valley,https://en.wikipedia.org/wiki/Chilean_Central_Valley
Chilean Coast Range,https://en.wikipedia.org/wiki/Chilean_Coast_Range
Andes,https://en.wikipedia.org/wiki/Andes
Aconcagua River,https://en.wikipedia.org/wiki/Aconcagua_River
Bío-Bío River,https://en.wikipedia.org/wiki/B%C3%ADo-B%C3%ADo_River
irrigation,https://en.wikipedia.org/wiki/Irrigation
aquaculture,https://en.wikipedia.org/wiki/Aquaculture
silviculture,https://en.wikipedia.org/wiki/Silviculture
salmon,https://en.wikipedia.org/wiki/Salmon
Legend Holdings,https://en.wikipedia.org/wiki/Legend_Holdings
Radiata Pine,https://en.wikipedia.org/wiki/Radiata_Pine
Eucalyptus,https://en.wikipedia.org/wiki/Eucalyptus
pulp,https://en.wikipedia.org/wiki/Pulp_(paper)
lumber,https://en.wikipedia.org/wiki/Lumber
copper,https://en.wikipedia.org/wiki/Copper
iodine,https://en.wikipedia.org/wiki/Iodine
rhenium,https://en.wikipedia.org/wiki/Rhenium
lithium,https://en.wikipedia.org/wiki/Lithium
molybdenum,https://en.wikipedia.org/wiki/Molybdenum
silver,https://en.wikipedia.org/wiki/Silver
salt,https://en.wikipedia.org/wiki/Salt
potash,https://en.wikipedia.org/wiki/Potash
sulfur,https://en.wikipedia.org/wiki/Sulfur
iron ore,https://en.wikipedia.org/wiki/Iron_ore
gold,https://en.wikipedia.org/wiki/Gold
tertiary sector,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
free trade area,https://en.wikipedia.org/wiki/Free_trade_area
Adecco,https://en.wikipedia.org/wiki/Adecco
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Elqui Valley,https://en.wikipedia.org/wiki/Elqui_Valley_(wine_region)
Arturo Merino Benítez International Airport,https://en.wikipedia.org/wiki/Arturo_Merino_Ben%C3%ADtez_International_Airport
Paso Los Libertadores,https://en.wikipedia.org/wiki/Paso_Libertadores
Atacama Desert,https://en.wikipedia.org/wiki/Atacama_Desert
Patagonia,https://en.wikipedia.org/wiki/Patagonia
Andes,https://en.wikipedia.org/wiki/Andes
Central Valley,https://en.wikipedia.org/wiki/Chilean_Central_Valley
Easter Island,https://en.wikipedia.org/wiki/Easter_Island
