text,url
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
developing,https://en.wikipedia.org/wiki/Developing_country
mixed,https://en.wikipedia.org/wiki/Mixed_economy
socialist market economy,https://en.wikipedia.org/wiki/Socialist_market_economy
industrial policies,https://en.wikipedia.org/wiki/Industrial_policy
five-year plans,https://en.wikipedia.org/wiki/Five-year_plans_of_China
largest economy by nominal GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
world's largest economy,https://en.wikipedia.org/wiki/List_of_countries_by_past_and_projected_GDP_(PPP)#IMF_estimates_between_2010_and_2019
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
global economy,https://en.wikipedia.org/wiki/Global_economy
state-owned enterprises,https://en.wikipedia.org/wiki/State-owned_enterprises_of_China
largest manufacturing industrial economy,https://en.wikipedia.org/wiki/List_of_countries_by_manufacturing_output
exporter of goods,https://en.wikipedia.org/wiki/List_of_countries_by_exports
exports as a percentage of GDP,https://en.wikipedia.org/wiki/List_of_countries_by_trade-to-GDP_ratio
international trade,https://en.wikipedia.org/wiki/International_trade
electric vehicles,https://en.wikipedia.org/wiki/Electric_vehicle
renewable energy,https://en.wikipedia.org/wiki/Renewable_energy
telecommunications,https://en.wikipedia.org/wiki/Telecommunications
IT,https://en.wikipedia.org/wiki/Information_technology
high technology,https://en.wikipedia.org/wiki/High_technology
around 2.43% of GDP,https://en.wikipedia.org/wiki/List_of_sovereign_states_by_research_and_development_spending
research and development,https://en.wikipedia.org/wiki/Research_and_development
fastest-growing consumer market,https://en.wikipedia.org/wiki/List_of_largest_consumer_markets
second-largest importer of goods,https://en.wikipedia.org/wiki/List_of_countries_by_imports
free trade agreements,https://en.wikipedia.org/wiki/Free_trade_agreement
many nations,"https://en.wikipedia.org/wiki/List_of_bilateral_free-trade_agreements#China,_People's_Republic_of_China"
Regional Comprehensive Economic Partnership,https://en.wikipedia.org/wiki/Regional_Comprehensive_Economic_Partnership
500 largest companies,https://en.wikipedia.org/wiki/Fortune_Global_500
most competitive financial centers,https://en.wikipedia.org/wiki/Global_Financial_Centres_Index
largest stock exchanges,https://en.wikipedia.org/wiki/List_of_stock_exchanges
