text,url
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
stable,https://en.wikipedia.org/wiki/Economic_stability
agriculture,https://en.wikipedia.org/wiki/Agriculture
tourism,https://en.wikipedia.org/wiki/Tourism
electronics,https://en.wikipedia.org/wiki/Electronics
Free-trade zones,https://en.wikipedia.org/wiki/Free-trade_zone
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Moody's Investors Service,https://en.wikipedia.org/wiki/Moody%27s_Investors_Service
Luis Guillermo Solís,https://en.wikipedia.org/wiki/Luis_Guillermo_Sol%C3%ADs
ecotourists,https://en.wikipedia.org/wiki/Ecotourism
fish,https://en.wikipedia.org/wiki/Fishing
Environmental Performance Index,https://en.wikipedia.org/wiki/Environmental_Performance_Index
Ecotourism,https://en.wikipedia.org/wiki/Ecotourism
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
tourism,https://en.wikipedia.org/wiki/Tourism
indirectly,https://en.wikipedia.org/wiki/Indirect_jobs
Ecotourism,https://en.wikipedia.org/wiki/Ecotourism
national parks,https://en.wikipedia.org/wiki/National_parks
protected areas,https://en.wikipedia.org/wiki/Protected_area
EU,https://en.wikipedia.org/wiki/European_Union
Travel and Tourism Competitiveness Index,https://en.wikipedia.org/wiki/Travel_and_Tourism_Competitiveness_Report
Latin American,https://en.wikipedia.org/wiki/Latin_American
Caribbean,https://en.wikipedia.org/wiki/Anglophone_Caribbean
Travelzoo,https://en.wikipedia.org/wiki/Travelzoo
cash crop,https://en.wikipedia.org/wiki/Cash_crop
Bananas,https://en.wikipedia.org/wiki/Banana
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Costa Rica,https://en.wikipedia.org/wiki/Costa_Rica
labor force,https://en.wikipedia.org/wiki/Labor_force
bananas,https://en.wikipedia.org/wiki/Banana
pineapples,https://en.wikipedia.org/wiki/Pineapple
coffee,https://en.wikipedia.org/wiki/Coffee
sugar,https://en.wikipedia.org/wiki/Sugar
rice,https://en.wikipedia.org/wiki/Rice
vegetables,https://en.wikipedia.org/wiki/Vegetable
tropical fruits,https://en.wikipedia.org/wiki/Tropical_fruit
ornamental plants,https://en.wikipedia.org/wiki/Ornamental_plant
maize,https://en.wikipedia.org/wiki/Maize
potatoes,https://en.wikipedia.org/wiki/Potato
Mining in Costa Rica,https://en.wikipedia.org/wiki/Mining_in_Costa_Rica
Intel,https://en.wikipedia.org/wiki/Intel
