text,url
Croatia,https://en.wikipedia.org/wiki/Croatia
developed,https://en.wikipedia.org/wiki/Developed_country
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
largest economies in Southeast Europe,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)#Table
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
open economy,https://en.wikipedia.org/wiki/Open_economy
foreign policy,https://en.wikipedia.org/wiki/Foreign_relations_of_Croatia
varies among its counties,https://en.wikipedia.org/wiki/List_of_Croatian_counties_by_GDP
Central Croatia,https://en.wikipedia.org/wiki/Central_Croatia
Zagreb,https://en.wikipedia.org/wiki/Zagreb
very high level,https://en.wikipedia.org/wiki/List_of_Croatian_counties_by_Human_Development_Index
income inequality,https://en.wikipedia.org/wiki/Gini_coefficient
quality of life,https://en.wikipedia.org/wiki/Quality_of_life
corporate and income tax policy,https://en.wikipedia.org/wiki/Taxation_in_Croatia
nation-building,https://en.wikipedia.org/wiki/Nation-building
country's geography,https://en.wikipedia.org/wiki/Geography_of_Croatia
planned economy,https://en.wikipedia.org/wiki/Planned_economy
socialism,https://en.wikipedia.org/wiki/Socialism
command economy,https://en.wikipedia.org/wiki/Planned_economy#Command_economy
communism,https://en.wikipedia.org/wiki/Communism
World War II,https://en.wikipedia.org/wiki/World_War_II
decentralized,https://en.wikipedia.org/wiki/Decentralization
collapse of Yugoslavia,https://en.wikipedia.org/wiki/Breakup_of_Yugoslavia
Croatian War of Independence,https://en.wikipedia.org/wiki/Croatian_War_of_Independence
21–25% of wartime GDP,https://en.wikipedia.org/wiki/Croatian_War_of_Independence#Impact_and_aftermath
transition economy,https://en.wikipedia.org/wiki/Transition_economy
high-income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
tertiary service sector,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
tourism in Croatia,https://en.wikipedia.org/wiki/Tourism_in_Croatia
emerging energy power,https://en.wikipedia.org/wiki/Energy_in_Croatia
LNG,https://en.wikipedia.org/wiki/Liquefied_natural_gas
geothermal,https://en.wikipedia.org/wiki/Geothermal_energy
Adriatic Sea,https://en.wikipedia.org/wiki/Adriatic_Sea
Pan-European corridors,https://en.wikipedia.org/wiki/Pan-European_corridors
European Union,https://en.wikipedia.org/wiki/European_Union
Eurozone,https://en.wikipedia.org/wiki/Eurozone
Schengen Area,https://en.wikipedia.org/wiki/Schengen_Area
euro,https://en.wikipedia.org/wiki/Euro
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
EEA,https://en.wikipedia.org/wiki/European_Economic_Area
Zagreb,https://en.wikipedia.org/wiki/Zagreb
Stock Exchange Palace,https://en.wikipedia.org/wiki/Zagreb_Stock_Exchange
Oil refinery,https://en.wikipedia.org/wiki/Oil_refinery
Rijeka,https://en.wikipedia.org/wiki/Rijeka
Dual Monarchy,https://en.wikipedia.org/wiki/The_Dual_monarchy
Kingdom of Croatia,https://en.wikipedia.org/wiki/Kingdom_of_Croatia_(Habsburg)
stave,https://en.wikipedia.org/wiki/Stave_(wood)
potash,https://en.wikipedia.org/wiki/Potash
lumber mills,https://en.wikipedia.org/wiki/Sawmill
shipbuilding,https://en.wikipedia.org/wiki/Shipbuilding
Karlovac,https://en.wikipedia.org/wiki/Karlovac
Sisak,https://en.wikipedia.org/wiki/Sisak
Austrian Empire,https://en.wikipedia.org/wiki/Austrian_Empire
Vukovar,https://en.wikipedia.org/wiki/Vukovar
Slavonia,https://en.wikipedia.org/wiki/Kingdom_of_Slavonia
corn,https://en.wikipedia.org/wiki/Cereal
hemp,https://en.wikipedia.org/wiki/Hemp
flax,https://en.wikipedia.org/wiki/Flax
liquorice,https://en.wikipedia.org/wiki/Liquorice
railways,https://en.wikipedia.org/wiki/Croatian_Railways
Dalmatia,https://en.wikipedia.org/wiki/Kingdom_of_Dalmatia
Croatia-Slavonia,https://en.wikipedia.org/wiki/Kingdom_of_Croatia-Slavonia
Kingdom of Yugoslavia,https://en.wikipedia.org/wiki/Kingdom_of_Yugoslavia
Slovenia,https://en.wikipedia.org/wiki/Drava_Banovina
Croatia,https://en.wikipedia.org/wiki/Banovina_of_Croatia
textile mills,https://en.wikipedia.org/wiki/Textile_manufacturing
sawmills,https://en.wikipedia.org/wiki/Sawmill
brick yards,https://en.wikipedia.org/wiki/Brickyard
peasants,https://en.wikipedia.org/wiki/Peasant
Independent State of Croatia,https://en.wikipedia.org/wiki/Independent_State_of_Croatia
World War II,https://en.wikipedia.org/wiki/World_War_II
puppet state,https://en.wikipedia.org/wiki/Puppet_state
Germany,https://en.wikipedia.org/wiki/Nazi_Germany
Italy,https://en.wikipedia.org/wiki/Kingdom_of_Italy
Axis-occupied Yugoslavia,https://en.wikipedia.org/wiki/World_War_II_in_Yugoslavia
socialism,https://en.wikipedia.org/wiki/Socialism
planned economy,https://en.wikipedia.org/wiki/Planned_economy
NDH kuna,https://en.wikipedia.org/wiki/Independent_State_of_Croatia_kuna
Communist Party of Yugoslavia,https://en.wikipedia.org/wiki/Communist_Party_of_Yugoslavia
command economy,https://en.wikipedia.org/wiki/Planned_economy#Command_economy
heavy industry,https://en.wikipedia.org/wiki/Heavy_industry
Bosnia,https://en.wikipedia.org/wiki/Socialist_Republic_of_Bosnia_and_Herzegovina
Serbia,https://en.wikipedia.org/wiki/Socialist_Republic_of_Serbia
war reparations,https://en.wikipedia.org/wiki/World_War_II_reparations_towards_Yugoslavia
collectivization,https://en.wikipedia.org/wiki/Collectivization_in_Yugoslavia
Croatia,https://en.wikipedia.org/wiki/Socialist_Republic_of_Croatia
Decentralization,https://en.wikipedia.org/wiki/Decentralization
SR Croatia,https://en.wikipedia.org/wiki/SR_Croatia
SR Slovenia,https://en.wikipedia.org/wiki/SR_Slovenia
Yugoslavia,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
Yugoslav GDP,https://en.wikipedia.org/wiki/Economy_of_the_Socialist_Federal_Republic_of_Yugoslavia
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
West Germany,https://en.wikipedia.org/wiki/West_Germany
austerity,https://en.wikipedia.org/wiki/Austerity
hyperinflation,https://en.wikipedia.org/wiki/Hyperinflation
Split,"https://en.wikipedia.org/wiki/Split,_Croatia"
Eurostat,https://en.wikipedia.org/wiki/Eurostat
economic transition,https://en.wikipedia.org/wiki/Transition_economy
Bosnian,https://en.wikipedia.org/wiki/Bosnians
Yugoslavian economy,https://en.wikipedia.org/wiki/Economy_of_the_Socialist_Federal_Republic_of_Yugoslavia
