text,url
high-income economy,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
advanced economies,https://en.wikipedia.org/wiki/Developed_country
Cyprus,https://en.wikipedia.org/wiki/Cyprus
euro,https://en.wikipedia.org/wiki/Euro
Cypriot pound,https://en.wikipedia.org/wiki/Cypriot_pound
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
Cypriot financial crisis,https://en.wikipedia.org/wiki/2012%E2%80%932013_Cypriot_financial_crisis
European debt crisis,https://en.wikipedia.org/wiki/European_debt_crisis
2010s,https://en.wikipedia.org/wiki/2010s
eurozone,https://en.wikipedia.org/wiki/Eurozone
Cyprus Popular Bank,https://en.wikipedia.org/wiki/Cyprus_Popular_Bank
Bank of Cyprus,https://en.wikipedia.org/wiki/Bank_of_Cyprus
bailout,https://en.wikipedia.org/wiki/Bailout
European Commission,https://en.wikipedia.org/wiki/European_Commission
European Central Bank,https://en.wikipedia.org/wiki/European_Central_Bank
haircut,https://en.wikipedia.org/wiki/Haircut_(finance)
uninsured deposits,https://en.wikipedia.org/wiki/Deposit_insurance
recession,https://en.wikipedia.org/wiki/Recession
European Stability Mechanism,https://en.wikipedia.org/wiki/European_Stability_Mechanism
Nicosia,https://en.wikipedia.org/wiki/Nicosia
open,https://en.wikipedia.org/wiki/Open_economy
free-market,https://en.wikipedia.org/wiki/Market_economy
service-based,https://en.wikipedia.org/wiki/Service_economy
East,https://en.wikipedia.org/wiki/Eastern_world
Mediterranean,https://en.wikipedia.org/wiki/Mediterranean_Sea
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
European debt crisis,https://en.wikipedia.org/wiki/European_debt_crisis
Evangelos Florakis Naval Base explosion,https://en.wikipedia.org/wiki/Evangelos_Florakis_Naval_Base_explosion
Turkish invasion,https://en.wikipedia.org/wiki/Turkish_invasion_of_Cyprus
Turkey,https://en.wikipedia.org/wiki/Turkey
tourism,https://en.wikipedia.org/wiki/Tourism_in_Cyprus
mining,https://en.wikipedia.org/wiki/Mining_industry_of_Cyprus
Quarrying,https://en.wikipedia.org/wiki/Quarry
Famagusta,https://en.wikipedia.org/wiki/Famagusta
Nicosia International Airport,https://en.wikipedia.org/wiki/Nicosia_International_Airport
buffer zone,https://en.wikipedia.org/wiki/United_Nations_Buffer_Zone_in_Cyprus
offshore gas discoveries,https://en.wikipedia.org/wiki/Aphrodite_gas_field
European Union,https://en.wikipedia.org/wiki/European_Union
Greece,https://en.wikipedia.org/wiki/Greece
value-added tax,https://en.wikipedia.org/wiki/Value-added_tax
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
legal system,https://en.wikipedia.org/wiki/Legal_system
English law,https://en.wikipedia.org/wiki/English_law
international financiers,https://en.wikipedia.org/wiki/International_financiers
EU accession,https://en.wikipedia.org/wiki/EU_accession
Cyprus Stock Exchange,https://en.wikipedia.org/wiki/Cyprus_Stock_Exchange
double taxation,https://en.wikipedia.org/wiki/Double_taxation
Eurozone,https://en.wikipedia.org/wiki/Eurozone
Bank of Cyprus,https://en.wikipedia.org/wiki/Bank_of_Cyprus
Aglandjia,https://en.wikipedia.org/wiki/Aglandjia
Nicosia,https://en.wikipedia.org/wiki/Nicosia
dissolution of the Soviet Union,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
India,https://en.wikipedia.org/wiki/India
business services,https://en.wikipedia.org/wiki/Business_service_provider
CIPA,https://en.wikipedia.org/wiki/Cyprus_Investment_Promotion_Agency
2022 Russian invasion of Ukraine,https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine
