text,url
Dominica,https://en.wikipedia.org/wiki/Dominica
agriculture,https://en.wikipedia.org/wiki/Agriculture
citizenship by investment,https://en.wikipedia.org/wiki/Citizenship_by_investment
Banana,https://en.wikipedia.org/wiki/Banana
European Union,https://en.wikipedia.org/wiki/European_Union
agricultural diversification,https://en.wikipedia.org/wiki/Agricultural_diversification
Dominica,https://en.wikipedia.org/wiki/Dominica
coffee,https://en.wikipedia.org/wiki/Coffee
patchouli,https://en.wikipedia.org/wiki/Patchouli
aloe vera,https://en.wikipedia.org/wiki/Aloe_vera
cut flowers,https://en.wikipedia.org/wiki/Cut_flowers
mangoes,https://en.wikipedia.org/wiki/Mango
guavas,https://en.wikipedia.org/wiki/Guava
papayas,https://en.wikipedia.org/wiki/Papaya
Eastern Caribbean Currency Union,https://en.wikipedia.org/wiki/Eastern_Caribbean_Currency_Union
Eastern Caribbean Central Bank,https://en.wikipedia.org/wiki/Eastern_Caribbean_Central_Bank
East Caribbean dollar,https://en.wikipedia.org/wiki/East_Caribbean_dollar
Caribbean Community (CARICOM),https://en.wikipedia.org/wiki/Caribbean_Community
Organisation of Eastern Caribbean States,https://en.wikipedia.org/wiki/Organisation_of_Eastern_Caribbean_States
Hurricane David,https://en.wikipedia.org/wiki/Hurricane_David
Hurricane Allen,https://en.wikipedia.org/wiki/Hurricane_Allen
mahogany,https://en.wikipedia.org/wiki/Mahogany
teak,https://en.wikipedia.org/wiki/Teak
Scotiabank,https://en.wikipedia.org/wiki/Scotiabank
Royal Bank of Canada,https://en.wikipedia.org/wiki/Royal_Bank_of_Canada
First Caribbean International Bank,https://en.wikipedia.org/wiki/First_Caribbean_International_Bank
offshore banking,https://en.wikipedia.org/wiki/Offshore_banking
payment processing,https://en.wikipedia.org/wiki/Payment_processing
financial services,https://en.wikipedia.org/wiki/Financial_services
Financial Service Unit of the Commonwealth of Dominica,https://en.wikipedia.org/wiki/Financial_Service_Unit_of_the_Commonwealth_of_Dominica
offshore financial centres,https://en.wikipedia.org/wiki/Offshore_financial_centres
OECD,https://en.wikipedia.org/wiki/OECD
financial centres,https://en.wikipedia.org/wiki/Financial_centres
offshore banks,https://en.wikipedia.org/wiki/Offshore_bank
International Business Company,https://en.wikipedia.org/wiki/International_Business_Company
coconut,https://en.wikipedia.org/wiki/Coconut
copra,https://en.wikipedia.org/wiki/Copra
bananas,https://en.wikipedia.org/wiki/Banana
mangoes,https://en.wikipedia.org/wiki/Mango
coconuts,https://en.wikipedia.org/wiki/Coconut
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
bananas,https://en.wikipedia.org/wiki/Banana
grapefruit,https://en.wikipedia.org/wiki/Grapefruit
oranges,https://en.wikipedia.org/wiki/Orange_(fruit)
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Guyana,https://en.wikipedia.org/wiki/Guyana
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia
United States,https://en.wikipedia.org/wiki/United_States
Trinidad and Tobago,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
South Korea,https://en.wikipedia.org/wiki/South_Korea
List of medical schools in the Caribbean,https://en.wikipedia.org/wiki/List_of_medical_schools_in_the_Caribbean
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
