text,url
diversified,https://en.wikipedia.org/wiki/Economic_diversification
Agriculture,https://en.wikipedia.org/wiki/Agriculture
forestry,https://en.wikipedia.org/wiki/Forestry
mining,https://en.wikipedia.org/wiki/Mining
Eswatini,https://en.wikipedia.org/wiki/Eswatini
GDP,https://en.wikipedia.org/wiki/GDP
manufacturing,https://en.wikipedia.org/wiki/Manufacturing
textiles,https://en.wikipedia.org/wiki/Textiles
Title Deed,https://en.wikipedia.org/wiki/Title_deed
investment,https://en.wikipedia.org/wiki/Investment_(macroeconomics)
irrigation,https://en.wikipedia.org/wiki/Irrigation
population,https://en.wikipedia.org/wiki/Population
subsistence,https://en.wikipedia.org/wiki/Subsistence_economy
Swazi Nation Land,https://en.wikipedia.org/wiki/Swazi_Nation_Land
productivity,https://en.wikipedia.org/wiki/Productivity
inequality,https://en.wikipedia.org/wiki/Economic_inequality
unemployment,https://en.wikipedia.org/wiki/Unemployment
Southern African Customs Union,https://en.wikipedia.org/wiki/Southern_African_Customs_Union
droughts,https://en.wikipedia.org/wiki/Droughts
HIV/AIDS,https://en.wikipedia.org/wiki/HIV/AIDS
inefficient,https://en.wikipedia.org/wiki/Inefficient
budget deficits,https://en.wikipedia.org/wiki/Budget_deficit
economy of South Africa,https://en.wikipedia.org/wiki/Economy_of_South_Africa
African Growth and Opportunity Act,https://en.wikipedia.org/wiki/African_Growth_and_Opportunity_Act
Southern African Customs Union,https://en.wikipedia.org/wiki/Southern_African_Customs_Union
import duties,https://en.wikipedia.org/wiki/Import_duty
Common Monetary Area,https://en.wikipedia.org/wiki/Common_Monetary_Area
repatriation,https://en.wikipedia.org/wiki/Repatriation
Swazi lilangeni,https://en.wikipedia.org/wiki/Swazi_lilangeni
South African rand,https://en.wikipedia.org/wiki/South_African_rand
South Africa,https://en.wikipedia.org/wiki/South_Africa
Eswatini Railways,https://en.wikipedia.org/wiki/Eswatini_Railways
Goba,https://en.wikipedia.org/wiki/Goba
Maputo,https://en.wikipedia.org/wiki/Maputo
Mozambique,https://en.wikipedia.org/wiki/Mozambique
Richards Bay,https://en.wikipedia.org/wiki/Richards_Bay
Durban,https://en.wikipedia.org/wiki/Durban
Eswatini,https://en.wikipedia.org/wiki/Eswatini
Africa,https://en.wikipedia.org/wiki/Africa
GDP,https://en.wikipedia.org/wiki/GDP
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
CIA,https://en.wikipedia.org/wiki/CIA
Southern African Development Community,https://en.wikipedia.org/wiki/Southern_African_Development_Community
European Union,https://en.wikipedia.org/wiki/European_Union
United States,https://en.wikipedia.org/wiki/United_States
Caribbean,https://en.wikipedia.org/wiki/Caribbean
Pacific,https://en.wikipedia.org/wiki/Pacific
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
Eswatini,https://en.wikipedia.org/wiki/Eswatini
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Statista,https://en.wikipedia.org/wiki/Statista
