text,url
Pacific islands,https://en.wikipedia.org/wiki/Pacific_island
Fiji,https://en.wikipedia.org/wiki/Fiji
developing country,https://en.wikipedia.org/wiki/Developing_nation
forest,https://en.wikipedia.org/wiki/Forest
mineral,https://en.wikipedia.org/wiki/Mineral
fish,https://en.wikipedia.org/wiki/Fish
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
Sugar,https://en.wikipedia.org/wiki/Sugar
Suva,https://en.wikipedia.org/wiki/Suva
indigenous Fijians,https://en.wikipedia.org/wiki/Fijians
tax,https://en.wikipedia.org/wiki/Tax
rice,https://en.wikipedia.org/wiki/Rice
Cabinet,https://en.wikipedia.org/wiki/Cabinet_of_Fiji
Prime Minister,https://en.wikipedia.org/wiki/Prime_Minister_of_Fiji
Laisenia Qarase,https://en.wikipedia.org/wiki/Laisenia_Qarase
biofuels,https://en.wikipedia.org/wiki/Biofuel
ethanol,https://en.wikipedia.org/wiki/Ethanol
sugar industry,https://en.wikipedia.org/wiki/Sugar_industry
fossil fuel,https://en.wikipedia.org/wiki/Fossil_fuel
petrol,https://en.wikipedia.org/wiki/Petrol
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Fiji Sugar Corporation,https://en.wikipedia.org/wiki/Fiji_Sugar_Corporation
F$1 billion,https://en.wikipedia.org/wiki/Fijian_dollar
India,https://en.wikipedia.org/wiki/India
F$86 million,https://en.wikipedia.org/wiki/Fijian_dollar
coconut,https://en.wikipedia.org/wiki/Coconut
India,https://en.wikipedia.org/wiki/India
virgin,https://en.wikipedia.org/wiki/Virgin_coconut_oil
F$120 million,https://en.wikipedia.org/wiki/Fijian_dollar
Fiji Village,https://en.wikipedia.org/wiki/Fiji_Village
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Sugarcane,https://en.wikipedia.org/wiki/Sugarcane
coconuts,https://en.wikipedia.org/wiki/Coconut
copra,https://en.wikipedia.org/wiki/Copra
ginger,https://en.wikipedia.org/wiki/Ginger
cassava,https://en.wikipedia.org/wiki/Cassava
bananas,https://en.wikipedia.org/wiki/Banana
rice,https://en.wikipedia.org/wiki/Rice
sweet potatoes,https://en.wikipedia.org/wiki/Sweet_potato
taro,https://en.wikipedia.org/wiki/Taro
pickles,https://en.wikipedia.org/wiki/Pickled_cucumber
kava,https://en.wikipedia.org/wiki/Kava
