text,url
Finland,https://en.wikipedia.org/wiki/Finland
industrialised,https://en.wikipedia.org/wiki/Industrialisation
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
per capita,https://en.wikipedia.org/wiki/Per_capita
western European,https://en.wikipedia.org/wiki/Western_Europe
France,https://en.wikipedia.org/wiki/Economy_of_France
Germany,https://en.wikipedia.org/wiki/Economy_of_Germany
United Kingdom,https://en.wikipedia.org/wiki/Economy_of_the_United_Kingdom
Finland,https://en.wikipedia.org/wiki/Finland
service sector,https://en.wikipedia.org/wiki/Service_(economics)
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
primary sector,https://en.wikipedia.org/wiki/Primary_sector_of_the_economy
OECD,https://en.wikipedia.org/wiki/OECD
social security system,https://en.wikipedia.org/wiki/Welfare_in_Finland
roughly 29% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
manufacturing,https://en.wikipedia.org/wiki/Industry_in_Finland
electronics,https://en.wikipedia.org/wiki/Electronics
timber,https://en.wikipedia.org/wiki/Timber
Forestry,https://en.wikipedia.org/wiki/Forestry
agricultural sector,https://en.wikipedia.org/wiki/Agriculture
Helsinki metropolitan area,https://en.wikipedia.org/wiki/Helsinki_metropolitan_area
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
European Union,https://en.wikipedia.org/wiki/European_Union
knowledge economy,https://en.wikipedia.org/wiki/Knowledge_economy
World Economic Forum,https://en.wikipedia.org/wiki/World_Economic_Forum
information and communications technology,https://en.wikipedia.org/wiki/Information_and_communications_technology
Aviapolis,https://en.wikipedia.org/wiki/Aviapolis
Vantaa,https://en.wikipedia.org/wiki/Vantaa
Russia,https://en.wikipedia.org/wiki/Russia
Netherlands,https://en.wikipedia.org/wiki/Netherlands
trade policy,https://en.wikipedia.org/wiki/Trade_policy
Nordic country,https://en.wikipedia.org/wiki/Nordic_country
Eurozone,https://en.wikipedia.org/wiki/Eurozone
Denmark,https://en.wikipedia.org/wiki/Denmark
