text,url
France,https://en.wikipedia.org/wiki/France
highly developed,https://en.wikipedia.org/wiki/Developed_country
social market economy,https://en.wikipedia.org/wiki/Social_market_economy
state participation,https://en.wikipedia.org/wiki/State-owned_enterprise
seventh-largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
ninth-largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
PPP,https://en.wikipedia.org/wiki/Purchasing_Power_Parity
world GDP,https://en.wikipedia.org/wiki/World_GDP
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
service sector,https://en.wikipedia.org/wiki/Service_sector
industrial sector,https://en.wikipedia.org/wiki/Industrial_sector
primary sector,https://en.wikipedia.org/wiki/Primary_sector
Foreign Direct Investment,https://en.wikipedia.org/wiki/Foreign_Direct_Investment
research and development,https://en.wikipedia.org/wiki/Research_and_development
innovative,https://en.wikipedia.org/wiki/Innovation
Bloomberg Innovation Index,https://en.wikipedia.org/wiki/Bloomberg_Innovation_Index
Global Competitiveness Report,https://en.wikipedia.org/wiki/Global_Competitiveness_Report#2019_rankings
France is also the most visited destination in the world,https://en.wikipedia.org/wiki/Tourism_in_France
European Union,https://en.wikipedia.org/wiki/European_Union
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
world's 23rd country by GDP per capita,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
Corruption Perceptions Index,https://en.wikipedia.org/wiki/Corruption_Perceptions_Index
OECD,https://en.wikipedia.org/wiki/OECD
social security system,https://en.wikipedia.org/wiki/Social_security_in_France
roughly 31.7% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
Paris,https://en.wikipedia.org/wiki/Paris
global city,https://en.wikipedia.org/wiki/Global_city
Fortune,https://en.wikipedia.org/wiki/Fortune_(magazine)
Fortune Global 500,https://en.wikipedia.org/wiki/Fortune_Global_500
Paris,https://en.wikipedia.org/wiki/Paris_region
market exchange rates,https://en.wikipedia.org/wiki/Gross_domestic_product#Cross-border_comparison_and_purchasing_power_parity
Paris metropolitan area,https://en.wikipedia.org/wiki/Paris_metropolitan_area
KPMG,https://en.wikipedia.org/wiki/KPMG
La Défense,https://en.wikipedia.org/wiki/La_D%C3%A9fense
Ernst & Young,https://en.wikipedia.org/wiki/Ernst_%26_Young
continental Europe,https://en.wikipedia.org/wiki/Continental_Europe
OECD,https://en.wikipedia.org/wiki/OECD
Lyon,https://en.wikipedia.org/wiki/Lyon
Toulouse,https://en.wikipedia.org/wiki/Toulouse
Marseille,https://en.wikipedia.org/wiki/Marseille
Lille,https://en.wikipedia.org/wiki/Lille
recession of the late 2000s,https://en.wikipedia.org/wiki/Late-2000s_recession
world's biggest 500 companies,https://en.wikipedia.org/wiki/Fortune_Global_500#Breakdown_by_country
Fortune Global 500,https://en.wikipedia.org/wiki/Fortune_Global_500
EURO STOXX 50,https://en.wikipedia.org/wiki/EURO_STOXX_50
AXA,https://en.wikipedia.org/wiki/AXA
Air France,https://en.wikipedia.org/wiki/Air_France-KLM
L'Oreal,https://en.wikipedia.org/wiki/L%27Oreal
LVMH,https://en.wikipedia.org/wiki/LVMH
Kering,https://en.wikipedia.org/wiki/PPR_(company)
GDF-Suez,https://en.wikipedia.org/wiki/Engie
EDF,https://en.wikipedia.org/wiki/%C3%89lectricit%C3%A9_de_France
Areva,https://en.wikipedia.org/wiki/Areva
Veolia Environnement,https://en.wikipedia.org/wiki/Veolia_Environnement
Vinci SA,https://en.wikipedia.org/wiki/Vinci_SA
Bouygues,https://en.wikipedia.org/wiki/Bouygues
Eiffage,https://en.wikipedia.org/wiki/Eiffage
Michelin,https://en.wikipedia.org/wiki/Michelin
JCDecaux,https://en.wikipedia.org/wiki/JCDecaux
BNP Paribas,https://en.wikipedia.org/wiki/BNP_Paribas
Credit Agricole,https://en.wikipedia.org/wiki/Credit_Agricole
Société Générale,https://en.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_G%C3%A9n%C3%A9rale
Capgemini,https://en.wikipedia.org/wiki/Capgemini
Atos,https://en.wikipedia.org/wiki/Atos
Carrefour,https://en.wikipedia.org/wiki/Carrefour
Total,https://en.wikipedia.org/wiki/Total_SE
Lactalis,https://en.wikipedia.org/wiki/Lactalis
Sanofi,https://en.wikipedia.org/wiki/Sanofi
Publicis,https://en.wikipedia.org/wiki/Publicis
Groupe PSA,https://en.wikipedia.org/wiki/Groupe_PSA
Accor,https://en.wikipedia.org/wiki/Accor
Alstom,https://en.wikipedia.org/wiki/Alstom
dirigisme,https://en.wikipedia.org/wiki/Dirigisme
François Mitterrand,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Mitterrand
rigueur,https://en.wikipedia.org/wiki/Austerity
arms industry,https://en.wikipedia.org/wiki/Arms_industry
budget deficits,https://en.wikipedia.org/wiki/Budget_deficits
presidential election,https://en.wikipedia.org/wiki/2012_French_presidential_election
François Hollande,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Hollande
Socialist Party,https://en.wikipedia.org/wiki/Socialist_Party_(France)
legislative elections,https://en.wikipedia.org/wiki/2012_French_legislative_election
French Constitution,https://en.wikipedia.org/wiki/Constitution_of_France
basis points,https://en.wikipedia.org/wiki/Basis_point
Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
fourth-largest gold reserves,https://en.wikipedia.org/wiki/Gold_reserve#Officially_reported_holdings
France,https://en.wikipedia.org/wiki/France
pension protests,https://en.wikipedia.org/wiki/2023_French_pension_reform_strikes
budget deficit,https://en.wikipedia.org/wiki/Budget_deficit
credit-rating agencies,https://en.wikipedia.org/wiki/Credit_rating_agency
France's AAA credit rating,https://en.wikipedia.org/wiki/List_of_countries_by_credit_rating
Moody's,https://en.wikipedia.org/wiki/Moody%27s_Investors_Service
Standard & Poor,https://en.wikipedia.org/wiki/Standard_%26_Poor
Fitch,https://en.wikipedia.org/wiki/Fitch_Ratings
bond market,https://en.wikipedia.org/wiki/Bond_market
Spain,https://en.wikipedia.org/wiki/Spain
credit rating,https://en.wikipedia.org/wiki/Credit_rating
public finances,https://en.wikipedia.org/wiki/Public_finances
Portugal,https://en.wikipedia.org/wiki/Portugal
Italy,https://en.wikipedia.org/wiki/Italy
Greece,https://en.wikipedia.org/wiki/Greece
Eurozone,https://en.wikipedia.org/wiki/Eurozone
budget crisis,https://en.wikipedia.org/wiki/Budget_crisis
Antoine Armand,https://en.wikipedia.org/wiki/Antoine_Armand
Laurent Saint-Martin,https://en.wikipedia.org/wiki/Laurent_Saint-Martin
spending cuts,https://en.wikipedia.org/wiki/Government_spending
tax,https://en.wikipedia.org/wiki/Tax
Michel Barnier,https://en.wikipedia.org/wiki/Michel_Barnier
Peugeot 508 SW,https://en.wikipedia.org/wiki/Peugeot_508
value added,https://en.wikipedia.org/wiki/Value_added
World Bank,https://en.wikipedia.org/wiki/World_Bank
chemical industry,https://en.wikipedia.org/wiki/Chemical_industry
Research and development,https://en.wikipedia.org/wiki/Research_and_development
Observatory of Economic Complexity,https://en.wikipedia.org/wiki/Observatory_of_Economic_Complexity
gas turbines,https://en.wikipedia.org/wiki/Gas_turbine
Areva,https://en.wikipedia.org/wiki/Areva
EDF,https://en.wikipedia.org/wiki/%C3%89lectricit%C3%A9_de_France
GDF Suez,https://en.wikipedia.org/wiki/GDF_Suez
nuclear power,https://en.wikipedia.org/wiki/Nuclear_power
Nuclear waste,https://en.wikipedia.org/wiki/Radioactive_waste
heavy investment,https://en.wikipedia.org/wiki/Nuclear_power_in_France
carbon dioxide,https://en.wikipedia.org/wiki/Greenhouse_gas
renewable energies,https://en.wikipedia.org/wiki/Renewable_energy_in_France
TWh,https://en.wikipedia.org/wiki/Watt-hour#Multiples
nuclear,https://en.wikipedia.org/wiki/Nuclear_reactor_technology
blast furnace gases,https://en.wikipedia.org/wiki/Blast_furnace_gas
waste-to-energy,https://en.wikipedia.org/wiki/Waste-to-energy
wind turbines,https://en.wikipedia.org/wiki/Wind_turbine
EDF,https://en.wikipedia.org/wiki/%C3%89lectricit%C3%A9_de_France
Compagnie nationale du Rhône,https://en.wikipedia.org/wiki/Compagnie_nationale_du_Rh%C3%B4ne
Endesa,https://en.wikipedia.org/wiki/Endesa_(Spain)
SNET,https://en.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_nationale_d%27%C3%A9lectricit%C3%A9_et_de_thermique
Villiers-le-Bâcle,https://en.wikipedia.org/wiki/Villiers-le-B%C3%A2cle
Common Agricultural Policy,https://en.wikipedia.org/wiki/Common_Agricultural_Policy
Uruguay Round,https://en.wikipedia.org/wiki/Uruguay_Round
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
EU members,https://en.wikipedia.org/wiki/EU_members
its cheese,https://en.wikipedia.org/wiki/French_cheese
its wine,https://en.wikipedia.org/wiki/French_wine
sugar beet,https://en.wikipedia.org/wiki/Sugar_beet
ethanol,https://en.wikipedia.org/wiki/Ethanol
barley,https://en.wikipedia.org/wiki/Barley
rapeseed,https://en.wikipedia.org/wiki/Rapeseed
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
triticale,https://en.wikipedia.org/wiki/Triticale
sunflower seed,https://en.wikipedia.org/wiki/Sunflower_seed
tomatoes,https://en.wikipedia.org/wiki/Tomatoes
linen,https://en.wikipedia.org/wiki/Linen
pea,https://en.wikipedia.org/wiki/Pea
oats,https://en.wikipedia.org/wiki/Oats
soy,https://en.wikipedia.org/wiki/Soy
Palace of Versailles,https://en.wikipedia.org/wiki/Palace_of_Versailles
Eiffel Tower,https://en.wikipedia.org/wiki/Eiffel_Tower
Louvre,https://en.wikipedia.org/wiki/Louvre
Palace of Versailles,https://en.wikipedia.org/wiki/Palace_of_Versailles
Cité des Sciences et de l'Industrie,https://en.wikipedia.org/wiki/Cit%C3%A9_des_Sciences_et_de_l%27Industrie
Musée d'Orsay,https://en.wikipedia.org/wiki/Mus%C3%A9e_d%27Orsay
Arc de Triomphe,https://en.wikipedia.org/wiki/Arc_de_Triomphe
Centre Pompidou,https://en.wikipedia.org/wiki/Centre_Georges_Pompidou
Mont-Saint-Michel,https://en.wikipedia.org/wiki/Mont-Saint-Michel
Château de Chambord,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Chambord
Sainte-Chapelle,https://en.wikipedia.org/wiki/Sainte-Chapelle
Château du Haut-Kœnigsbourg,https://en.wikipedia.org/wiki/Ch%C3%A2teau_du_Haut-K%C5%93nigsbourg
Puy de Dôme,https://en.wikipedia.org/wiki/Puy-de-D%C3%B4me_(mountain)
Musée Picasso,https://en.wikipedia.org/wiki/Mus%C3%A9e_Picasso
Carcassonne,https://en.wikipedia.org/wiki/Carcassonne
Disneyland Paris,https://en.wikipedia.org/wiki/Disneyland_Paris
Dassault Rafale,https://en.wikipedia.org/wiki/Dassault_Rafale
weapons exporter,https://en.wikipedia.org/wiki/Arms_industry#World's_largest_arms_exporters
Deloitte,https://en.wikipedia.org/wiki/Deloitte
Louis Vuitton Moet Hennessey,https://en.wikipedia.org/wiki/Louis_Vuitton_Moet_Hennessey
LVMH,https://en.wikipedia.org/wiki/LVMH
Kering SA,https://en.wikipedia.org/wiki/Kering_SA
L'Oréal,https://en.wikipedia.org/wiki/L%27Or%C3%A9al
fashion capitals,https://en.wikipedia.org/wiki/Fashion_capital
haute couture,https://en.wikipedia.org/wiki/Haute_couture
Louis XIV,https://en.wikipedia.org/wiki/Louis_XIV
Bologna Process,https://en.wikipedia.org/wiki/Bologna_Process
Programme for International Student Assessment,https://en.wikipedia.org/wiki/Programme_for_International_Student_Assessment
OECD,https://en.wikipedia.org/wiki/OECD
Trends in International Math and Science Study,https://en.wikipedia.org/wiki/TIMSS
Grenoble Alpes University,https://en.wikipedia.org/wiki/Grenoble_Alpes_University
OECD,https://en.wikipedia.org/wiki/OECD
OECD,https://en.wikipedia.org/wiki/OECD
OECD,https://en.wikipedia.org/wiki/OECD
OECD,https://en.wikipedia.org/wiki/OECD
drop out,https://en.wikipedia.org/wiki/Dropping_out
labour market,https://en.wikipedia.org/wiki/Labour_economics
Baccalauréat Technologique.,https://en.wikipedia.org/wiki/Baccalaur%C3%A9at
May 1968,https://en.wikipedia.org/wiki/May_68
satellite campuses,https://en.wikipedia.org/wiki/Satellite_campus
higher education economy,https://en.wikipedia.org/wiki/Higher_education
England,https://en.wikipedia.org/wiki/Economy_of_England
Australia.,https://en.wikipedia.org/wiki/Economy_of_Australia
catholic universities,https://en.wikipedia.org/wiki/Catholic_higher_education
Lille Catholic University,https://en.wikipedia.org/wiki/Lille_Catholic_University
Baruch College,https://en.wikipedia.org/wiki/Baruch_College
University of London Institute in Paris,https://en.wikipedia.org/wiki/University_of_London_Institute_in_Paris
Parsons Paris School of Art and Design,https://en.wikipedia.org/wiki/Parsons_Paris_School_of_Art_and_Design
American University of Paris,https://en.wikipedia.org/wiki/American_University_of_Paris
higher education,https://en.wikipedia.org/wiki/Higher_education
Brest station,https://en.wikipedia.org/wiki/Brest_station
TGV,https://en.wikipedia.org/wiki/TGV
Alstom SA,https://en.wikipedia.org/wiki/Alstom
Paris-Gare de l'Est,https://en.wikipedia.org/wiki/Gare_de_l%27Est
rail transport network,https://en.wikipedia.org/wiki/Rail_transport_in_France
TGV,https://en.wikipedia.org/wiki/TGV
high-speed train,https://en.wikipedia.org/wiki/High-speed_train
Charles de Gaulle Airport,https://en.wikipedia.org/wiki/Charles_de_Gaulle_Airport
Bayonne,https://en.wikipedia.org/wiki/Bayonne
Bordeaux,https://en.wikipedia.org/wiki/Bordeaux
Boulogne-sur-Mer,https://en.wikipedia.org/wiki/Boulogne-sur-Mer
Brest,"https://en.wikipedia.org/wiki/Brest,_Finist%C3%A8re"
Calais,https://en.wikipedia.org/wiki/Calais
Cherbourg-Octeville,https://en.wikipedia.org/wiki/Cherbourg-Octeville
Dunkerque,https://en.wikipedia.org/wiki/Dunkerque
Fos-sur-Mer,https://en.wikipedia.org/wiki/Fos-sur-Mer
La Pallice,https://en.wikipedia.org/wiki/La_Pallice
Le Havre,https://en.wikipedia.org/wiki/Le_Havre
Lorient,https://en.wikipedia.org/wiki/Lorient
Marseille,https://en.wikipedia.org/wiki/Marseille
Nantes,https://en.wikipedia.org/wiki/Nantes
Port-la-Nouvelle,https://en.wikipedia.org/wiki/Port-la-Nouvelle
Port-Vendres,https://en.wikipedia.org/wiki/Port-Vendres
Roscoff,https://en.wikipedia.org/wiki/Roscoff
Rouen,https://en.wikipedia.org/wiki/Rouen
Saint-Nazaire,https://en.wikipedia.org/wiki/Saint-Nazaire
Saint-Malo,https://en.wikipedia.org/wiki/Saint-Malo
Sète,https://en.wikipedia.org/wiki/S%C3%A8te
Strasbourg,https://en.wikipedia.org/wiki/Strasbourg
Toulon,https://en.wikipedia.org/wiki/Toulon
Air France,https://en.wikipedia.org/wiki/Air_France
Overseas France,https://en.wikipedia.org/wiki/Overseas_France
Ernst & Young,https://en.wikipedia.org/wiki/Ernst_%26_Young
Foreign Direct Investment,https://en.wikipedia.org/wiki/Foreign_Direct_Investment
President Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
AT Kearney,https://en.wikipedia.org/wiki/AT_Kearney
Bureau of Labor Statistics,https://en.wikipedia.org/wiki/Bureau_of_Labor_Statistics
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
Paul Krugman,https://en.wikipedia.org/wiki/Paul_Krugman
La Part-Dieu,https://en.wikipedia.org/wiki/La_Part-Dieu
Lyon,https://en.wikipedia.org/wiki/Lyon
election in 2017,https://en.wikipedia.org/wiki/French_presidential_election_2017
Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
COVID-19 recession,https://en.wikipedia.org/wiki/COVID-19_recession
classical liberal,https://en.wikipedia.org/wiki/Classical_liberalism
Keynesian economists,https://en.wikipedia.org/wiki/Keynesian_economics
35-hour workweek,https://en.wikipedia.org/wiki/35-hour_workweek
contrat nouvelle embauche,https://en.wikipedia.org/wiki/Contrat_nouvelle_embauche
contrat première embauche,https://en.wikipedia.org/wiki/First_Employment_Contract
revenu de solidarité active,https://en.wikipedia.org/wiki/Revenu_de_solidarit%C3%A9_active
revenu minimum d'insertion,https://en.wikipedia.org/wiki/Revenu_minimum_d%27insertion
Neoliberal,https://en.wikipedia.org/wiki/Neoliberal
minimum wages,https://en.wikipedia.org/wiki/Minimum_wage
smartphone,https://en.wikipedia.org/wiki/Smartphone
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
European Union,https://en.wikipedia.org/wiki/European_Union
pension reform,https://en.wikipedia.org/wiki/2023_French_pension_reform_law
billion,https://en.wikipedia.org/wiki/1000000000_(number)
balance of trade,https://en.wikipedia.org/wiki/Balance_of_trade
Germany,https://en.wikipedia.org/wiki/Germany
United States,https://en.wikipedia.org/wiki/United_States
Belgium,https://en.wikipedia.org/wiki/Belgium
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Italy,https://en.wikipedia.org/wiki/Italy
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Spain,https://en.wikipedia.org/wiki/Spain
China,https://en.wikipedia.org/wiki/China
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Japan,https://en.wikipedia.org/wiki/Japan
Poland,https://en.wikipedia.org/wiki/Poland
Singapore,https://en.wikipedia.org/wiki/Singapore
Turkey,https://en.wikipedia.org/wiki/Turkey
Hong Kong,https://en.wikipedia.org/wiki/Hong_Kong
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Russia,https://en.wikipedia.org/wiki/Russia
Sweden,https://en.wikipedia.org/wiki/Sweden
South Korea,https://en.wikipedia.org/wiki/South_Korea
Algeria,https://en.wikipedia.org/wiki/Algeria
Portugal,https://en.wikipedia.org/wiki/Portugal
Germany,https://en.wikipedia.org/wiki/Germany
China,https://en.wikipedia.org/wiki/China
Italy,https://en.wikipedia.org/wiki/Italy
Belgium,https://en.wikipedia.org/wiki/Belgium
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
United States,https://en.wikipedia.org/wiki/United_States
Spain,https://en.wikipedia.org/wiki/Spain
Netherlands,https://en.wikipedia.org/wiki/Netherlands
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Poland,https://en.wikipedia.org/wiki/Poland
Japan,https://en.wikipedia.org/wiki/Japan
Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Turkey,https://en.wikipedia.org/wiki/Turkey
Norway,https://en.wikipedia.org/wiki/Norway
Portugal,https://en.wikipedia.org/wiki/Portugal
Sweden,https://en.wikipedia.org/wiki/Sweden
Austria,https://en.wikipedia.org/wiki/Austria
India,https://en.wikipedia.org/wiki/India
Vietnam,https://en.wikipedia.org/wiki/Vietnam
Germany,https://en.wikipedia.org/wiki/Germany
Italy,https://en.wikipedia.org/wiki/Italy
United States,https://en.wikipedia.org/wiki/United_States
Belgium,https://en.wikipedia.org/wiki/Belgium
Luxembourg,https://en.wikipedia.org/wiki/Luxembourg
Spain,https://en.wikipedia.org/wiki/Spain
China,https://en.wikipedia.org/wiki/China
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Netherlands,https://en.wikipedia.org/wiki/Netherlands
Switzerland,https://en.wikipedia.org/wiki/Switzerland
Japan,https://en.wikipedia.org/wiki/Japan
Rhône-Alpes,https://en.wikipedia.org/wiki/Rh%C3%B4ne-Alpes
Provence-Alpes-Côte d'Azur,https://en.wikipedia.org/wiki/Provence-Alpes-C%C3%B4te_d%27Azur
Nord-Pas-de-Calais,https://en.wikipedia.org/wiki/Nord-Pas-de-Calais
