text,url
manufacturing,https://en.wikipedia.org/wiki/Manufacturing
export,https://en.wikipedia.org/wiki/Export
industrial minerals,https://en.wikipedia.org/wiki/Industrial_mineral
Ghanaian,https://en.wikipedia.org/wiki/Ghana
re-denomination,https://en.wikipedia.org/wiki/Re-denomination
Cedi,https://en.wikipedia.org/wiki/Cedi
South Africa,https://en.wikipedia.org/wiki/South_Africa
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
diamonds,https://en.wikipedia.org/wiki/Diamond
manganese or manganese ore,https://en.wikipedia.org/wiki/Manganese
bauxite,https://en.wikipedia.org/wiki/Bauxite
oil,https://en.wikipedia.org/wiki/Oil
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Value-added tax,https://en.wikipedia.org/wiki/Value-added_tax
consumption tax,https://en.wikipedia.org/wiki/Consumption_tax
capital gains tax,https://en.wikipedia.org/wiki/Capital_gains_tax
Import-substitution industries,https://en.wikipedia.org/wiki/Import_substitution_industrialization
electronics,https://en.wikipedia.org/wiki/Electronics
Rlg Communications,https://en.wikipedia.org/wiki/Rlg_Communications
African,https://en.wikipedia.org/wiki/Africa
laptops,https://en.wikipedia.org/wiki/Laptops
desktops,https://en.wikipedia.org/wiki/Desktop_computer
mobile,https://en.wikipedia.org/wiki/Mobile_phone
phones,https://en.wikipedia.org/wiki/Telephone
West Africa,https://en.wikipedia.org/wiki/West_Africa
information and communications technology,https://en.wikipedia.org/wiki/Information_and_communications_technology
mobile phone,https://en.wikipedia.org/wiki/Mobile_phone
Ghana,https://en.wikipedia.org/wiki/Ghana
prototype,https://en.wikipedia.org/wiki/Prototype
SUV,https://en.wikipedia.org/wiki/Sport_utility_vehicle
SMATI Turtle 1,"https://en.wikipedia.org/wiki/Suame_Magazine,_Kumasi#SMATI_Turtle_1"
terrain,https://en.wikipedia.org/wiki/Terrain
Artisans of Suame Magazine,"https://en.wikipedia.org/wiki/Suame_Magazine,_Kumasi"
Urban,https://en.wikipedia.org/wiki/Urban_car
electric cars,https://en.wikipedia.org/wiki/Electric_car
Akosombo Textiles Limited,https://en.wikipedia.org/wiki/Akosombo_Textile_Limited
Printex,https://en.wikipedia.org/wiki/Printex
Ghana National Petroleum Corporation,https://en.wikipedia.org/wiki/Ghana_National_Petroleum_Corporation
Ghana Oil Company,https://en.wikipedia.org/wiki/Ghana_Oil_Company
Ghana,https://en.wikipedia.org/wiki/Ghana
Ghana,https://en.wikipedia.org/wiki/Ghana
worldwide press freedom index,https://en.wikipedia.org/wiki/Press_Freedom_Index
Constitution of Ghana,https://en.wikipedia.org/wiki/Constitution_of_Ghana
press,https://en.wikipedia.org/wiki/News_media
press freedom,https://en.wikipedia.org/wiki/Freedom_of_the_press
Ghana,https://en.wikipedia.org/wiki/Ghana
World Wide Web,https://en.wikipedia.org/wiki/World_Wide_Web
fiber optic,https://en.wikipedia.org/wiki/Optical_fiber
VSAT,https://en.wikipedia.org/wiki/VSAT
private data,https://en.wikipedia.org/wiki/Private_data
packet-switched network,https://en.wikipedia.org/wiki/Packet-switched_network
gold,https://en.wikipedia.org/wiki/Gold
Switzerland,https://en.wikipedia.org/wiki/Switzerland
China,https://en.wikipedia.org/wiki/China
France,https://en.wikipedia.org/wiki/France
India,https://en.wikipedia.org/wiki/India
Netherlands,https://en.wikipedia.org/wiki/Netherlands
United States,https://en.wikipedia.org/wiki/United_States
financial services,https://en.wikipedia.org/wiki/Financial_service
offshore banks,https://en.wikipedia.org/wiki/Offshore_bank
Capital Bank,https://en.wikipedia.org/wiki/Capital_Bank_(Ghana)
UniBank,https://en.wikipedia.org/wiki/UniBank
National Investment Bank,https://en.wikipedia.org/wiki/National_Investment_Bank
Prudential Bank Limited,https://en.wikipedia.org/wiki/Prudential_Bank_Limited
non-resident,https://en.wikipedia.org/wiki/Non-resident_alien
retail,https://en.wikipedia.org/wiki/Retail_banking
savings,https://en.wikipedia.org/wiki/Savings_bank
Agricultural Development Bank of Ghana,https://en.wikipedia.org/wiki/Agricultural_Development_Bank_of_Ghana
CAL Bank,https://en.wikipedia.org/wiki/CAL_Bank
GCB Bank Ltd,https://en.wikipedia.org/wiki/GCB_Bank_Ltd
Home Finance Company,https://en.wikipedia.org/wiki/Home_Finance_Company
UT Bank,https://en.wikipedia.org/wiki/UT_Bank
savings and loan,https://en.wikipedia.org/wiki/Savings_and_loan_association
ABii National,https://en.wikipedia.org/wiki/ABii_National
Savings and Loans Company,https://en.wikipedia.org/wiki/Savings_and_Loans_Company
Stock Exchange,https://en.wikipedia.org/wiki/Stock_exchange
market capitalization,https://en.wikipedia.org/wiki/Market_capitalization
GH¢,https://en.wikipedia.org/wiki/Ghana_Cedi
CN¥,https://en.wikipedia.org/wiki/Renminbi
JSE Limited,https://en.wikipedia.org/wiki/JSE_Limited
hydropower,https://en.wikipedia.org/wiki/Hydropower
solar energy,https://en.wikipedia.org/wiki/Solar_energy
