text,url
Agriculture,https://en.wikipedia.org/wiki/Agriculture_in_Greece
Banking,https://en.wikipedia.org/wiki/Banking_in_Greece
Bank of Greece,https://en.wikipedia.org/wiki/Bank_of_Greece
National Bank of Greece,https://en.wikipedia.org/wiki/National_Bank_of_Greece
list,https://en.wikipedia.org/wiki/List_of_banks_in_Greece
Communications,https://en.wikipedia.org/wiki/Communications_in_Greece
Companies,https://en.wikipedia.org/wiki/List_of_Greek_companies
Energy,https://en.wikipedia.org/wiki/Energy_in_Greece
Ports,https://en.wikipedia.org/wiki/List_of_ports_in_Greece
Shipping,https://en.wikipedia.org/wiki/Greek_shipping
Stock Exchange,https://en.wikipedia.org/wiki/Athens_Stock_Exchange
companies listed,https://en.wikipedia.org/wiki/List_of_companies_listed_on_the_Athens_Stock_Exchange
Tourism,https://en.wikipedia.org/wiki/Tourism_in_Greece
Transport,https://en.wikipedia.org/wiki/Transport_in_Greece
Economic history of Greece and the Greek world,https://en.wikipedia.org/wiki/Economic_history_of_Greece_and_the_Greek_world
Greek economic miracle,https://en.wikipedia.org/wiki/Greek_economic_miracle
Greek debt crisis,https://en.wikipedia.org/wiki/Greek_debt_crisis
Greece and the International Monetary Fund,https://en.wikipedia.org/wiki/Greece_and_the_International_Monetary_Fund
International rankings,https://en.wikipedia.org/wiki/International_rankings_of_Greece
Thessaloniki International Fair,https://en.wikipedia.org/wiki/Thessaloniki_International_Fair
Greece,https://en.wikipedia.org/wiki/Greece
advanced,https://en.wikipedia.org/wiki/Developed_country
high-income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
50th-largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
54th-largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
16th-largest economy,https://en.wikipedia.org/wiki/Economy_of_the_European_Union#Economies_of_member_states
European Union,https://en.wikipedia.org/wiki/European_Union
eurozone,https://en.wikipedia.org/wiki/Eurozone
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
nominal value,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
purchasing power parity,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_capita
welfare state,https://en.wikipedia.org/wiki/Welfare_state
OECD,https://en.wikipedia.org/wiki/OECD
social spending,https://en.wikipedia.org/wiki/List_of_countries_by_social_welfare_spending
developed country,https://en.wikipedia.org/wiki/Developed_country
service,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
industrial,https://en.wikipedia.org/wiki/Secondary_sector_of_the_economy
sectors,https://en.wikipedia.org/wiki/Economic_sector
agricultural sector,https://en.wikipedia.org/wiki/Primary_sector_of_the_economy
tourism,https://en.wikipedia.org/wiki/Tourism_in_Greece
shipping,https://en.wikipedia.org/wiki/Greek_shipping
Greek Merchant Navy,https://en.wikipedia.org/wiki/Greek_Merchant_Navy
Greek-owned vessels,https://en.wikipedia.org/wiki/Greek_shipping
deadweight tonnage,https://en.wikipedia.org/wiki/Deadweight_tonnage
Southeast Europe,https://en.wikipedia.org/wiki/Southeast_Europe
Albania,https://en.wikipedia.org/wiki/Albania
Bulgaria,https://en.wikipedia.org/wiki/Bulgaria
Romania,https://en.wikipedia.org/wiki/Romania
Serbia,https://en.wikipedia.org/wiki/Serbia
North Macedonia,https://en.wikipedia.org/wiki/North_Macedonia
OTE,https://en.wikipedia.org/wiki/OTE
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/OECD
Organization of the Black Sea Economic Cooperation,https://en.wikipedia.org/wiki/Organization_of_the_Black_Sea_Economic_Cooperation
euro,https://en.wikipedia.org/wiki/Euro
Greek drachma,https://en.wikipedia.org/wiki/Modern_drachma
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Globalization Index,https://en.wikipedia.org/wiki/Globalization_Index
World War II,https://en.wikipedia.org/wiki/World_War_II
Greek economic miracle,https://en.wikipedia.org/wiki/Greek_economic_miracle
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
Greek government-debt crisis,https://en.wikipedia.org/wiki/Greek_government-debt_crisis
euro area crisis,https://en.wikipedia.org/wiki/Euro_area_crisis
real,https://en.wikipedia.org/wiki/Real_gross_domestic_product
government debt,https://en.wikipedia.org/wiki/Government_debt
debt restructuring,https://en.wikipedia.org/wiki/Debt_restructuring
private sector,https://en.wikipedia.org/wiki/Private_sector_involvement
bond,https://en.wikipedia.org/wiki/Bond_(finance)
global recession,https://en.wikipedia.org/wiki/COVID-19_recession
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
third bailout programme,https://en.wikipedia.org/wiki/Third_Economic_Adjustment_Programme_for_Greece
credit rating agency,https://en.wikipedia.org/wiki/Credit_rating_agency
investment grade,https://en.wikipedia.org/wiki/Bond_credit_rating#Investment_grade
DBRS,https://en.wikipedia.org/wiki/Morningstar_DBRS
S&P,https://en.wikipedia.org/wiki/S%26P_Global_Ratings
Fitch,https://en.wikipedia.org/wiki/Fitch_Ratings
Moody's,https://en.wikipedia.org/wiki/Moody%27s_Ratings
The Economist,https://en.wikipedia.org/wiki/The_Economist
Tourism,https://en.wikipedia.org/wiki/Tourism_in_Greece
Patras,https://en.wikipedia.org/wiki/Patras
Industrial Revolution,https://en.wikipedia.org/wiki/Industrial_Revolution
Ermoupolis,https://en.wikipedia.org/wiki/Ermoupolis
Piraeus,https://en.wikipedia.org/wiki/Piraeus
Greek economic miracle,https://en.wikipedia.org/wiki/Greek_economic_miracle
Japan,https://en.wikipedia.org/wiki/Japan
OECD,https://en.wikipedia.org/wiki/OECD
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
bureaucracy,https://en.wikipedia.org/wiki/Bureaucracy
tax evasion,https://en.wikipedia.org/wiki/Tax_evasion
corruption,https://en.wikipedia.org/wiki/Corruption
competitiveness,https://en.wikipedia.org/wiki/Competition_(companies)
EU member states,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
Corruption Perceptions Index,https://en.wikipedia.org/wiki/Corruption_Perceptions_Index
Index of Economic Freedom,https://en.wikipedia.org/wiki/Index_of_Economic_Freedom
Global Competitiveness Index,https://en.wikipedia.org/wiki/Global_Competitiveness_Report
budget deficit,https://en.wikipedia.org/wiki/Budget_deficit
government debt,https://en.wikipedia.org/wiki/Government_debt
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
PASOK,https://en.wikipedia.org/wiki/Panhellenic_Socialist_Movement
elected in October 2009,"https://en.wikipedia.org/wiki/Greek_legislative_election,_2009"
New Democracy,https://en.wikipedia.org/wiki/New_Democracy_(Greece)
Hellenic Parliament,https://en.wikipedia.org/wiki/Hellenic_Parliament
Hellenic Statistical Authority,https://en.wikipedia.org/wiki/Hellenic_Statistical_Authority
OECD,https://en.wikipedia.org/wiki/OECD
Mexico,https://en.wikipedia.org/wiki/Mexico
South Korea,https://en.wikipedia.org/wiki/South_Korea
Chile,https://en.wikipedia.org/wiki/Chile
Groningen Growth & Development Centre,https://en.wikipedia.org/wiki/University_of_Groningen
Eurozone,https://en.wikipedia.org/wiki/Eurozone
