text,url
economy,https://en.wikipedia.org/wiki/Economy
Grenada,https://en.wikipedia.org/wiki/Grenada
tourism,https://en.wikipedia.org/wiki/Tourism
agriculture,https://en.wikipedia.org/wiki/Agriculture
currency,https://en.wikipedia.org/wiki/Currency
nutmeg,https://en.wikipedia.org/wiki/Nutmeg
mace,https://en.wikipedia.org/wiki/Mace_(spice)
Indonesia,https://en.wikipedia.org/wiki/Indonesia
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
citrus fruits,https://en.wikipedia.org/wiki/Citrus
bananas,https://en.wikipedia.org/wiki/Banana
cloves,https://en.wikipedia.org/wiki/Clove
cinnamon,https://en.wikipedia.org/wiki/Cinnamon
textiles,https://en.wikipedia.org/wiki/Textile
electronic components,https://en.wikipedia.org/wiki/Electronic_component
fiscal adjustment,https://en.wikipedia.org/wiki/Fiscal_adjustment
fiscal policy,https://en.wikipedia.org/wiki/Fiscal_policy
public debt,https://en.wikipedia.org/wiki/Public_debt
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
privatization,https://en.wikipedia.org/wiki/Privatization
natural disasters,https://en.wikipedia.org/wiki/Natural_disaster
Hurricane Ivan,https://en.wikipedia.org/wiki/Hurricane_Ivan
fiscal consolidation,https://en.wikipedia.org/wiki/Austerity_measures
international community,https://en.wikipedia.org/wiki/International_community
government,https://en.wikipedia.org/wiki/Government
foreign exchange,https://en.wikipedia.org/wiki/Foreign_exchange_market
Organisation of Eastern Caribbean States,https://en.wikipedia.org/wiki/Organisation_of_Eastern_Caribbean_States
East Caribbean dollars,https://en.wikipedia.org/wiki/Eastern_Caribbean_dollar
fiscal deficit,https://en.wikipedia.org/wiki/Fiscal_deficit
Hurricane Ivan,https://en.wikipedia.org/wiki/Hurricane_Ivan
Great Recession,https://en.wikipedia.org/wiki/Great_Recession_in_the_United_States
United States of America,https://en.wikipedia.org/wiki/United_States
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
"September 11, 2001, terrorist attacks",https://en.wikipedia.org/wiki/September_11_attacks
hurricanes,https://en.wikipedia.org/wiki/Tropical_cyclone
economy,https://en.wikipedia.org/wiki/Economy
Hurricane Emily,https://en.wikipedia.org/wiki/Hurricane_Emily_(2005)
Hurricane Ivan,https://en.wikipedia.org/wiki/Hurricane_Ivan
Tropical Storm Lili,https://en.wikipedia.org/wiki/Hurricane_Lili
