text,url
Guatemala,https://en.wikipedia.org/wiki/Guatemala
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Central America,https://en.wikipedia.org/wiki/Central_America
1996 peace accords,https://en.wikipedia.org/wiki/Guatemalan_Peace_Process_1994-1996
Guatemalan Civil War,https://en.wikipedia.org/wiki/Guatemalan_Civil_War
foreign investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
Central American Free Trade Agreement (CAFTA),https://en.wikipedia.org/wiki/Dominican_Republic-Central_America_Free_Trade_Agreement
distribution of income,https://en.wikipedia.org/wiki/Income_inequality
remittance,https://en.wikipedia.org/wiki/Remittance
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Central American,https://en.wikipedia.org/wiki/Central_America
cut flowers,https://en.wikipedia.org/wiki/Cut_flowers
sugar,https://en.wikipedia.org/wiki/Sugar
bananas,https://en.wikipedia.org/wiki/Banana
coffee,https://en.wikipedia.org/wiki/Coffee
remittances,https://en.wikipedia.org/wiki/Remittance
privatized,https://en.wikipedia.org/wiki/Privatization
Caribbean Basin Trade and Partnership Act,https://en.wikipedia.org/wiki/Caribbean_Basin_Trade_and_Partnership_Act
Generalized System of Preferences,https://en.wikipedia.org/wiki/Generalized_System_of_Preferences
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Central America,https://en.wikipedia.org/wiki/Central_America
poverty,https://en.wikipedia.org/wiki/Poverty
poverty line,https://en.wikipedia.org/wiki/Poverty_line
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
Multidimensional Poverty Index,https://en.wikipedia.org/wiki/Multidimensional_Poverty_Index
illiterate,https://en.wikipedia.org/wiki/Literacy
social reproduction,https://en.wikipedia.org/wiki/Social_reproduction
care work,https://en.wikipedia.org/wiki/Care_work
opportunity cost,https://en.wikipedia.org/wiki/Opportunity_cost
unpaid work,https://en.wikipedia.org/wiki/Unpaid_work
labor force,https://en.wikipedia.org/wiki/Labor_force
pay disadvantage,https://en.wikipedia.org/wiki/Gender_pay_gap
Gender inequality,https://en.wikipedia.org/wiki/Gender_inequality
U.S. Department of Labor,https://en.wikipedia.org/wiki/U.S._Department_of_Labor
List of Goods Produced by Child Labor or Forced Labor,https://en.wikipedia.org/wiki/List_of_Goods_Produced_by_Child_Labor_or_Forced_Labor
coffee,https://en.wikipedia.org/wiki/Coffee_production_in_Guatemala
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
child labor,https://en.wikipedia.org/wiki/Child_labor
maquila,https://en.wikipedia.org/wiki/Maquila
commodity chain,https://en.wikipedia.org/wiki/Commodity_chain
capital,https://en.wikipedia.org/wiki/Capital_(economics)
turnover,https://en.wikipedia.org/wiki/Turnover_(employment)
Liberalizing,https://en.wikipedia.org/wiki/Liberalization
tax,https://en.wikipedia.org/wiki/Tax
intellectual property,https://en.wikipedia.org/wiki/Intellectual_property
tariffs,https://en.wikipedia.org/wiki/Tariff
crime,https://en.wikipedia.org/wiki/Crime
illiteracy,https://en.wikipedia.org/wiki/Literacy
education,https://en.wikipedia.org/wiki/Education
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
telecommunications,https://en.wikipedia.org/wiki/Telecommunications
poverty,https://en.wikipedia.org/wiki/Poverty
Dominican Republic-Central America Free Trade Agreement (DR-CAFTA),https://en.wikipedia.org/wiki/Dominican_Republic-Central_America_Free_Trade_Agreement
Álvaro Colom,https://en.wikipedia.org/wiki/%C3%81lvaro_Colom
United Nations,https://en.wikipedia.org/wiki/United_Nations
World Food Programme,https://en.wikipedia.org/wiki/World_Food_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
cardamom,https://en.wikipedia.org/wiki/Cardamom
biofuels,https://en.wikipedia.org/wiki/Biofuel
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
sugar cane,https://en.wikipedia.org/wiki/Sugar_cane
African Palm,https://en.wikipedia.org/wiki/Elaeis
maize,https://en.wikipedia.org/wiki/Maize
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
banana,https://en.wikipedia.org/wiki/Banana
palm oil,https://en.wikipedia.org/wiki/Palm_oil
coffee,https://en.wikipedia.org/wiki/Coffee
maize,https://en.wikipedia.org/wiki/Maize
melon,https://en.wikipedia.org/wiki/Melon
pineapple,https://en.wikipedia.org/wiki/Pineapple
potato,https://en.wikipedia.org/wiki/Potato
rubber,https://en.wikipedia.org/wiki/Rubber
tomato,https://en.wikipedia.org/wiki/Tomato
beans,https://en.wikipedia.org/wiki/Beans
