text,url
Haiti,https://en.wikipedia.org/wiki/Haiti
free market economy,https://en.wikipedia.org/wiki/Free_market_economy
The Economist,https://en.wikipedia.org/wiki/The_Economist
François Duvalier,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Duvalier
vetiver oil,https://en.wikipedia.org/wiki/Chrysopogon_zizanioides#Other_uses
United States,https://en.wikipedia.org/wiki/United_States
agriculture,https://en.wikipedia.org/wiki/Agriculture
subsistence farming,https://en.wikipedia.org/wiki/Subsistence_farming
natural disasters,https://en.wikipedia.org/wiki/Natural_disaster
deforestation,https://en.wikipedia.org/wiki/Deforestation
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
Remittances,https://en.wikipedia.org/wiki/Remittance
foreign exchange,https://en.wikipedia.org/wiki/Foreign_exchange_market
2010 Haiti earthquake,https://en.wikipedia.org/wiki/2010_Haiti_earthquake
150 million francs to France,https://en.wikipedia.org/wiki/External_debt_of_Haiti
invaded and occupied Haiti,https://en.wikipedia.org/wiki/United_States_occupation_of_Haiti
parastatals,https://en.wikipedia.org/wiki/Parastatal
René Préval,https://en.wikipedia.org/wiki/Ren%C3%A9_Pr%C3%A9val
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Inter-American Development Bank,https://en.wikipedia.org/wiki/Inter-American_Development_Bank
1991 coup,https://en.wikipedia.org/wiki/1991_Haitian_coup_d%27%C3%A9tat
OAS,https://en.wikipedia.org/wiki/Organization_of_American_States
government,https://en.wikipedia.org/wiki/Forms_of_government
United Nations,https://en.wikipedia.org/wiki/United_Nations
Remittances,https://en.wikipedia.org/wiki/Remittances
Haiti economic reforms of 1996,https://en.wikipedia.org/wiki/Haiti_economic_reforms_of_1996
Emergency Economic Recovery Plan,https://en.wikipedia.org/wiki/Emergency_Economic_Recovery_Plan
budget,https://en.wikipedia.org/wiki/Budget
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
banking,https://en.wikipedia.org/wiki/Bank
budget deficits,https://en.wikipedia.org/wiki/Budget_deficit
U.S. dollar,https://en.wikipedia.org/wiki/U.S._dollar
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/Haiti_and_the_World_Bank
GDP per capita,https://en.wikipedia.org/wiki/GDP_per_capita
United Nations,https://en.wikipedia.org/wiki/United_Nations
international community,https://en.wikipedia.org/wiki/International_community
Michel Martelly,https://en.wikipedia.org/wiki/Michel_Martelly
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
debt per capita,https://en.wikipedia.org/wiki/List_of_countries_by_external_debt
Haiti's total external debt,https://en.wikipedia.org/wiki/External_debt_of_Haiti
Heavily Indebted Poor Countries,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
Jubilee Debt Campaign,https://en.wikipedia.org/wiki/Jubilee_Debt_Campaign
earthquake,https://en.wikipedia.org/wiki/Haiti_2010_earthquake
Primary industries,https://en.wikipedia.org/wiki/Primary_sector_of_the_economy
Miragoâne,https://en.wikipedia.org/wiki/Mirago%C3%A2ne
Gonaïves,https://en.wikipedia.org/wiki/Gona%C3%AFves
open-pit mining,https://en.wikipedia.org/wiki/Open-pit_mining
Newmont Mining Corporation,https://en.wikipedia.org/wiki/Newmont_Mining_Corporation
Alex Dupuy,https://en.wikipedia.org/wiki/Alex_Dupuy
washed,https://en.wikipedia.org/wiki/Placer_mining
Barrick Gold,https://en.wikipedia.org/wiki/Barrick_Gold
Goldcorp,https://en.wikipedia.org/wiki/Goldcorp
Secondary industries,https://en.wikipedia.org/wiki/Secondary_sector_of_the_economy
austerity measures,https://en.wikipedia.org/wiki/Austerity
tertiary industries,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
Madan Saras,https://en.wikipedia.org/wiki/Madan_Sara
Bank of the Republic of Haiti,https://en.wikipedia.org/wiki/Bank_of_the_Republic_of_Haiti
Caribbean Tourism Organization,https://en.wikipedia.org/wiki/Caribbean_Tourism_Organization
Canal+,https://en.wikipedia.org/wiki/Groupe_Canal%2B
pay TV,https://en.wikipedia.org/wiki/Pay_television
List of Haitian companies,https://en.wikipedia.org/wiki/List_of_Haitian_companies
List of Latin American and Caribbean countries by GDP (nominal),https://en.wikipedia.org/wiki/List_of_Latin_American_and_Caribbean_countries_by_GDP_(nominal)
