text,url
agriculture,https://en.wikipedia.org/wiki/Agriculture
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
coffee,https://en.wikipedia.org/wiki/Coffee
Hurricane Mitch,https://en.wikipedia.org/wiki/Hurricane_Mitch
shrimp,https://en.wikipedia.org/wiki/Shrimp
maquiladoras,https://en.wikipedia.org/wiki/Maquiladora
San Pedro Sula,https://en.wikipedia.org/wiki/San_Pedro_Sula
Puerto Cortés,https://en.wikipedia.org/wiki/Puerto_Cort%C3%A9s
resources,https://en.wikipedia.org/wiki/Resource_(economics)
slash and burn,https://en.wikipedia.org/wiki/Slash_and_burn
maquiladora,https://en.wikipedia.org/wiki/Maquiladora
Inflation,https://en.wikipedia.org/wiki/Inflation
consumer price index,https://en.wikipedia.org/wiki/Consumer_price_index
devaluing,https://en.wikipedia.org/wiki/Devaluation
United States dollar,https://en.wikipedia.org/wiki/United_States_dollar
Latin America,https://en.wikipedia.org/wiki/Latin_America
gross national income,https://en.wikipedia.org/wiki/Gross_national_income
Western Hemisphere,https://en.wikipedia.org/wiki/Western_Hemisphere
Haiti,https://en.wikipedia.org/wiki/Haiti
Nicaragua,https://en.wikipedia.org/wiki/Nicaragua
Guyana,https://en.wikipedia.org/wiki/Guyana
alternative,https://en.wikipedia.org/wiki/Gross_domestic_product#Limitations_of_GDP_to_judge_the_health_of_an_economy
Enhanced Structural Adjustment Facility,https://en.wikipedia.org/wiki/Enhanced_Structural_Adjustment_Facility
Poverty Reduction and Growth Facility,https://en.wikipedia.org/wiki/Poverty_Reduction_and_Growth_Facility
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
macroeconomic policies,https://en.wikipedia.org/wiki/Macroeconomic_policies
Hurricane Mitch,https://en.wikipedia.org/wiki/Hurricane_Mitch
Paris Club,https://en.wikipedia.org/wiki/Paris_Club
Heavily Indebted Poor Countries,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
industrialization,https://en.wikipedia.org/wiki/Industrialization
Spain,https://en.wikipedia.org/wiki/Spain
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
precious metal,https://en.wikipedia.org/wiki/Precious_metal
mining,https://en.wikipedia.org/wiki/Mining
Tegucigalpa,https://en.wikipedia.org/wiki/Tegucigalpa
New York and Honduras Rosario Mining Company,https://en.wikipedia.org/wiki/Rosario_Mining_Company
Silver,https://en.wikipedia.org/wiki/Silver
Mining,https://en.wikipedia.org/wiki/Mining
mining industry,https://en.wikipedia.org/wiki/Mining_industry
workforce,https://en.wikipedia.org/wiki/Workforce
banana,https://en.wikipedia.org/wiki/Banana
United Fruit Company,https://en.wikipedia.org/wiki/United_Fruit_Company
Standard Fruit Company,https://en.wikipedia.org/wiki/Standard_Fruit_Company
Dole Food Company,https://en.wikipedia.org/wiki/Dole_Food_Company
beef,https://en.wikipedia.org/wiki/Beef
cotton,https://en.wikipedia.org/wiki/Cotton
coffee,https://en.wikipedia.org/wiki/Coffee
sugar,https://en.wikipedia.org/wiki/Sugar
timber,https://en.wikipedia.org/wiki/Lumber
tobacco,https://en.wikipedia.org/wiki/Tobacco
Central American Common Market,https://en.wikipedia.org/wiki/Central_American_Common_Market
trade barriers,https://en.wikipedia.org/wiki/Trade_barriers
common external tariff,https://en.wikipedia.org/wiki/Common_external_tariff
Soccer War,https://en.wikipedia.org/wiki/Soccer_War
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
San Pedro Sula,https://en.wikipedia.org/wiki/San_Pedro_Sula
United States,https://en.wikipedia.org/wiki/United_States
capital flight,https://en.wikipedia.org/wiki/Capital_flight
coffee prices,https://en.wikipedia.org/wiki/Economics_of_coffee
El Salvador,https://en.wikipedia.org/wiki/El_Salvador
Guatemala,https://en.wikipedia.org/wiki/Guatemala
Hurricane Fifi,https://en.wikipedia.org/wiki/Hurricane_Fifi%E2%80%93Orlene
harvests,https://en.wikipedia.org/wiki/Harvests
the devastating effects of Hurricane Mitch on this nation,https://en.wikipedia.org/wiki/Effects_of_Hurricane_Mitch_in_Honduras
