text,url
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
US$,https://en.wikipedia.org/wiki/United_States_dollar
US$,https://en.wikipedia.org/wiki/United_States_dollar
per capita,https://en.wikipedia.org/wiki/Per_capita
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
2008–2011 Icelandic financial crisis,https://en.wikipedia.org/wiki/2008%E2%80%932011_Icelandic_financial_crisis
tourism,https://en.wikipedia.org/wiki/Tourism
Iceland,https://en.wikipedia.org/wiki/Iceland
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
free trade,https://en.wikipedia.org/wiki/Free_trade
Nordic countries,https://en.wikipedia.org/wiki/Nordic_countries
Hydro-power,https://en.wikipedia.org/wiki/Renewable_energy_in_Iceland
economic freedom,https://en.wikipedia.org/wiki/Economic_freedom
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
egalitarian,https://en.wikipedia.org/wiki/Egalitarianism
Gini coefficient,https://en.wikipedia.org/wiki/List_of_countries_by_income_equality
inflation,https://en.wikipedia.org/wiki/Inflation
current account deficits,https://en.wikipedia.org/wiki/Current_account_deficit
2008–2011 Icelandic financial crisis,https://en.wikipedia.org/wiki/2008%E2%80%932011_Icelandic_financial_crisis
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Inverted yield curve,https://en.wikipedia.org/wiki/Inverted_yield_curve
medieval Iceland,https://en.wikipedia.org/wiki/History_of_Iceland#Settlement_(874–930)
came under foreign rule,https://en.wikipedia.org/wiki/History_of_Iceland#Iceland_under_Norwegian_and_Danish_kings_(1262–1944)
GDP per capita,https://en.wikipedia.org/wiki/Gross_domestic_product
Western European countries,https://en.wikipedia.org/wiki/Western-European_countries
OECD,https://en.wikipedia.org/wiki/OECD
Reuters,https://en.wikipedia.org/wiki/Reuters
smacks,https://en.wikipedia.org/wiki/Smack_(ship)
Second World War,https://en.wikipedia.org/wiki/World_War_II
Germany,https://en.wikipedia.org/wiki/Nazi_Germany
British,https://en.wikipedia.org/wiki/Invasion_of_Iceland
American occupations of the island,https://en.wikipedia.org/wiki/Allied_occupation_of_Iceland
Marshall Plan,https://en.wikipedia.org/wiki/Marshall_Plan
Independence,https://en.wikipedia.org/wiki/Independence_Party_(Iceland)
Progressive parties,https://en.wikipedia.org/wiki/Progressive_Party_(Iceland)
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Icelandic króna,https://en.wikipedia.org/wiki/Icelandic_kr%C3%B3na
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
arable,https://en.wikipedia.org/wiki/Arable_land
mineral,https://en.wikipedia.org/wiki/Mineral
sulphur,https://en.wikipedia.org/wiki/Sulphur
diatomite,https://en.wikipedia.org/wiki/Diatomite
Mývatn,https://en.wikipedia.org/wiki/M%C3%BDvatn
cement,https://en.wikipedia.org/wiki/Cement
Concrete,https://en.wikipedia.org/wiki/Concrete
hydroelectric,https://en.wikipedia.org/wiki/Hydroelectric
geothermal,https://en.wikipedia.org/wiki/Geothermal_power
Iceland's renewable energy industry,https://en.wikipedia.org/wiki/Renewable_energy_in_Iceland
primary energy,https://en.wikipedia.org/wiki/Primary_energy
electricity,https://en.wikipedia.org/wiki/Electricity
Icelandic hydroelectric power stations,https://en.wikipedia.org/wiki/Icelandic_hydroelectric_power_stations
Kárahnjúkar Hydropower Plant,https://en.wikipedia.org/wiki/K%C3%A1rahnj%C3%BAkar_Hydropower_Plant
Vatnajökull,https://en.wikipedia.org/wiki/Vatnaj%C3%B6kull
aluminium,https://en.wikipedia.org/wiki/Aluminium
ferro-silicon,https://en.wikipedia.org/wiki/Ferro-silicon
Aluminium smelting,https://en.wikipedia.org/wiki/Aluminium_smelting
12th place,https://en.wikipedia.org/wiki/List_of_countries_by_aluminium_production
Rio Tinto Alcan,https://en.wikipedia.org/wiki/Rio_Tinto_Alcan
Straumsvík,https://en.wikipedia.org/wiki/Straumsv%C3%ADk
Hafnarfjörður,https://en.wikipedia.org/wiki/Hafnarfj%C3%B6r%C3%B0ur
metric tons,https://en.wikipedia.org/wiki/Metric_tons
Century Aluminum,https://en.wikipedia.org/wiki/Century_Aluminum
Akranes,https://en.wikipedia.org/wiki/Akranes
Alcoa,https://en.wikipedia.org/wiki/Alcoa
Reyðarfjörður,https://en.wikipedia.org/wiki/Rey%C3%B0arfj%C3%B6r%C3%B0ur
fjords,https://en.wikipedia.org/wiki/Fjord
Landsvirkjun,https://en.wikipedia.org/wiki/Landsvirkjun
Kárahnjúkar,https://en.wikipedia.org/wiki/K%C3%A1rahnj%C3%BAkar_Hydropower_Plant
MW,https://en.wikipedia.org/wiki/Megawatt
endangered species,https://en.wikipedia.org/wiki/Endangered_species
World Wide Fund for Nature,https://en.wikipedia.org/wiki/World_Wide_Fund_for_Nature
Björk,https://en.wikipedia.org/wiki/Bj%C3%B6rk
hunger strike,https://en.wikipedia.org/wiki/Hunger_strike
Húsavík,https://en.wikipedia.org/wiki/H%C3%BAsav%C3%ADk
geothermal power,https://en.wikipedia.org/wiki/Geothermal_power
Hitaveita Suðurnesja,https://en.wikipedia.org/wiki/Hitaveita_Su%C3%B0urnesja
Orkuveita Reykjavíkur,https://en.wikipedia.org/wiki/Orkuveita_Reykjav%C3%ADkur
Norway,https://en.wikipedia.org/wiki/Norway
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Cod,https://en.wikipedia.org/wiki/Cod
blue whiting,https://en.wikipedia.org/wiki/Blue_whiting
Atlantic mackerel,https://en.wikipedia.org/wiki/Atlantic_mackerel
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
commercial banks,https://en.wikipedia.org/wiki/Commercial_bank
Landsbankinn,https://en.wikipedia.org/wiki/Landsbankinn
