text,url
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
dirigiste,https://en.wikipedia.org/wiki/Dirigism
emerging market,https://en.wikipedia.org/wiki/Emerging_market
Southeast Asia,https://en.wikipedia.org/wiki/Southeast_Asia
G20,https://en.wikipedia.org/wiki/G20
Indonesia,https://en.wikipedia.org/wiki/Indonesia
newly industrialized country,https://en.wikipedia.org/wiki/Newly_industrialized_country
rupiah,https://en.wikipedia.org/wiki/Indonesian_rupiah
16th largest economy in the world by nominal GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
7th largest in terms of GDP (PPP),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
state-owned enterprises,https://en.wikipedia.org/wiki/State-owned_enterprise
market economy,https://en.wikipedia.org/wiki/Market_economy
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
nonperforming bank loans,https://en.wikipedia.org/wiki/Non-performing_loan
debt restructuring,https://en.wikipedia.org/wiki/Debt_restructuring
privatization,https://en.wikipedia.org/wiki/Privatization
recession,https://en.wikipedia.org/wiki/Recession
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Joko Widodo,https://en.wikipedia.org/wiki/Joko_Widodo
proclamation of Indonesian independence,https://en.wikipedia.org/wiki/Proclamation_of_Indonesian_independence
Japanese occupation,https://en.wikipedia.org/wiki/Japanese_occupation_of_the_Dutch_East_Indies
conflict between Dutch and Republican forces,https://en.wikipedia.org/wiki/Indonesian_National_Revolution
Bank Negara Indonesia,https://en.wikipedia.org/wiki/Bank_Negara_Indonesia
Rupiah,https://en.wikipedia.org/wiki/Indonesian_rupiah
recognized by the Netherlands,https://en.wikipedia.org/wiki/Dutch-Indonesian_Round_Table_Conference
United States of Indonesia,https://en.wikipedia.org/wiki/United_States_of_Indonesia
liberal democracy period,https://en.wikipedia.org/wiki/Liberal_democracy_period_in_Indonesia
Bank Indonesia,https://en.wikipedia.org/wiki/Bank_Indonesia
West New Guinea dispute,https://en.wikipedia.org/wiki/West_New_Guinea_dispute
guided democracy era,https://en.wikipedia.org/wiki/Guided_Democracy_in_Indonesia
a degree of discipline,https://en.wikipedia.org/wiki/Austerity
Inter-Governmental Group on Indonesia,https://en.wikipedia.org/wiki/Inter-Governmental_Group_on_Indonesia
Berkeley Mafia,https://en.wikipedia.org/wiki/Berkeley_Mafia
oil price,https://en.wikipedia.org/wiki/Price_of_oil
Suharto,https://en.wikipedia.org/wiki/Suharto
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
clove,https://en.wikipedia.org/wiki/Clove
massive riots erupted,https://en.wikipedia.org/wiki/May_1998_riots_of_Indonesia
B. J. Habibie,https://en.wikipedia.org/wiki/B._J._Habibie
Abdurrahman Wahid,https://en.wikipedia.org/wiki/Abdurrahman_Wahid
CPI,https://en.wikipedia.org/wiki/Consumer_price_index
international oil prices rises,https://en.wikipedia.org/wiki/World_oil_market_chronology_from_2003
Susilo Bambang Yudhoyono,https://en.wikipedia.org/wiki/Susilo_Bambang_Yudhoyono
jobless growth,https://en.wikipedia.org/wiki/Jobless_recovery
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
