text,url
developed,https://en.wikipedia.org/wiki/Economic_development
free-market economy,https://en.wikipedia.org/wiki/Market_economy
Israel,https://en.wikipedia.org/wiki/Israel
welfare state,https://en.wikipedia.org/wiki/Welfare_in_Israel
military,https://en.wikipedia.org/wiki/Military_of_Israel
nuclear-weapons capability,https://en.wikipedia.org/wiki/Israel_and_nuclear_power
nuclear triad,https://en.wikipedia.org/wiki/Nuclear_triad
high-technology sector,https://en.wikipedia.org/wiki/Silicon_Wadi
NASDAQ-listed companies,https://en.wikipedia.org/wiki/List_of_Israeli_companies_quoted_on_the_Nasdaq
IBM,https://en.wikipedia.org/wiki/IBM
Google,https://en.wikipedia.org/wiki/Google
Hewlett-Packard,https://en.wikipedia.org/wiki/Hewlett-Packard
Cisco Systems,https://en.wikipedia.org/wiki/Cisco_Systems
Facebook,https://en.wikipedia.org/wiki/Facebook
Motorola,https://en.wikipedia.org/wiki/Motorola
R&D centers throughout the country,https://en.wikipedia.org/wiki/List_of_multinational_companies_with_research_and_development_centres_in_Israel
IMF estimated,https://en.wikipedia.org/wiki/List_of_countries_by_past_and_projected_GDP_(nominal)
Israeli diamond industry,https://en.wikipedia.org/wiki/Israel_diamond_industry
diamond cutting,https://en.wikipedia.org/wiki/Diamond_cutting
natural gas reserves off its coast,https://en.wikipedia.org/wiki/Natural_gas_in_Israel
Israeli solar energy industry,https://en.wikipedia.org/wiki/Solar_power_in_Israel
higher education,https://en.wikipedia.org/wiki/Higher_education_in_Israel
venture capital industry,https://en.wikipedia.org/wiki/Venture_capital_in_Israel
Silicon Wadi,https://en.wikipedia.org/wiki/Silicon_Wadi
Californian counterpart,https://en.wikipedia.org/wiki/Silicon_Valley
social democratic,https://en.wikipedia.org/wiki/Social_democracy
free-market,https://en.wikipedia.org/wiki/Free_market
liberalized,https://en.wikipedia.org/wiki/Economic_liberalization
GDP per capita,https://en.wikipedia.org/wiki/Lists_of_countries_by_GDP_per_capita
developed,https://en.wikipedia.org/wiki/Developed_country
West Asia,https://en.wikipedia.org/wiki/West_Asia
foreign-exchange reserves,https://en.wikipedia.org/wiki/Foreign_exchange_reserves
wealth per adult,https://en.wikipedia.org/wiki/List_of_countries_by_wealth_per_adult
financial assets per capita,https://en.wikipedia.org/wiki/List_of_countries_by_financial_assets_per_capita
billionaires in the Middle East,https://en.wikipedia.org/wiki/List_of_countries_by_number_of_billionaires
The Economist,https://en.wikipedia.org/wiki/The_Economist
OECD,https://en.wikipedia.org/wiki/OECD
free trade agreements,https://en.wikipedia.org/wiki/Free_trade_agreement
European Free Trade Association,https://en.wikipedia.org/wiki/European_Free_Trade_Association
Mercosur,https://en.wikipedia.org/wiki/Mercosur
Mandate for Palestine,https://en.wikipedia.org/wiki/Mandate_for_Palestine
Dead Sea,https://en.wikipedia.org/wiki/Dead_Sea
Moshe Novomeysky,https://en.wikipedia.org/wiki/Moshe_Novomeysky
Dead Sea Works,https://en.wikipedia.org/wiki/Dead_Sea_Works
Pinhas Rutenberg,https://en.wikipedia.org/wiki/Pinhas_Rutenberg
Israel Electric Corporation,https://en.wikipedia.org/wiki/Israel_Electric_Corporation
Ata textile plant,https://en.wikipedia.org/wiki/ATA_(Israeli_company)
Kiryat Ata,https://en.wikipedia.org/wiki/Kiryat_Ata
Levant Fair,https://en.wikipedia.org/wiki/Levant_Fair
1948 Arab–Israeli War,https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War
austerity,https://en.wikipedia.org/wiki/Austerity_in_Israel
West Germany,https://en.wikipedia.org/wiki/West_Germany
agreement,https://en.wikipedia.org/wiki/Reparations_Agreement_between_Israel_and_West_Germany
marks,https://en.wikipedia.org/wiki/Deutsche_Mark
formal diplomatic relations,https://en.wikipedia.org/wiki/East_Germany%E2%80%93Israel_relations
East Germany,https://en.wikipedia.org/wiki/East_Germany
Israel Bonds,https://en.wikipedia.org/wiki/State_of_Israel_Bonds
American,https://en.wikipedia.org/wiki/American_Jews
Canadian Jews,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Canada
aid from the United States,https://en.wikipedia.org/wiki/United_States_aid_to_Israel
Hadera power plant,https://en.wikipedia.org/wiki/Orot_Rabin
Dead Sea Works,https://en.wikipedia.org/wiki/Dead_Sea_Works
National Water Carrier,https://en.wikipedia.org/wiki/National_Water_Carrier
port,https://en.wikipedia.org/wiki/Port
Haifa,https://en.wikipedia.org/wiki/Haifa
Ashdod,https://en.wikipedia.org/wiki/Ashdod
Eilat,https://en.wikipedia.org/wiki/Eilat
desalination,https://en.wikipedia.org/wiki/Desalination
Lachish,https://en.wikipedia.org/wiki/Lachish
Ashkelon,https://en.wikipedia.org/wiki/Ashkelon
Negev,https://en.wikipedia.org/wiki/Negev
Galilee,https://en.wikipedia.org/wiki/Galilee
polished,https://en.wikipedia.org/wiki/Diamond_cutting
QIZ,https://en.wikipedia.org/wiki/Qualifying_Industrial_Zone
Marks & Spencer,https://en.wikipedia.org/wiki/Marks_%26_Spencer
The Gap,https://en.wikipedia.org/wiki/Gap_(clothing_retailer)
Victoria's Secret,https://en.wikipedia.org/wiki/Victoria%27s_Secret
Walmart,https://en.wikipedia.org/wiki/Walmart
Sears,https://en.wikipedia.org/wiki/Sears
Ralph Lauren,https://en.wikipedia.org/wiki/Ralph_Lauren
Calvin Klein,https://en.wikipedia.org/wiki/Calvin_Klein
Donna Karan,https://en.wikipedia.org/wiki/Donna_Karan
Yom Kippur War,https://en.wikipedia.org/wiki/Yom_Kippur_War
Bank stock crisis,https://en.wikipedia.org/wiki/Bank_stock_crisis_(Israel_1983)
economic stabilization plan implemented in 1985,https://en.wikipedia.org/wiki/Economic_Stabilization_Plan_(Israel_1985)
Israeli new shekel,https://en.wikipedia.org/wiki/Israeli_new_shekel
Jewish immigration,https://en.wikipedia.org/wiki/Aliyah
USSR,https://en.wikipedia.org/wiki/Soviet_Union
over one million new citizens to Israel,https://en.wikipedia.org/wiki/Russian_immigration_to_Israel_in_the_1990s
peace process,https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_peace_process
Madrid conference,https://en.wikipedia.org/wiki/Madrid_Conference_of_1991
Jordan,https://en.wikipedia.org/wiki/Jordan
global dot-com bubble,https://en.wikipedia.org/wiki/Dot-com_bubble
Second Intifada,https://en.wikipedia.org/wiki/Second_Intifada
growing countries of East Asia,https://en.wikipedia.org/wiki/Economy_of_East_Asia
foreign investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
Manufacturers Association of Israel,https://en.wikipedia.org/wiki/Manufacturers_Association_of_Israel
Financial Times,https://en.wikipedia.org/wiki/Financial_Times
current account,https://en.wikipedia.org/wiki/Current_account_(balance_of_payments)
Bank of Israel,https://en.wikipedia.org/wiki/Bank_of_Israel
late-2000s recession,https://en.wikipedia.org/wiki/Late-2000s_recession
depository-,https://en.wikipedia.org/wiki/Commercial_bank
Investment banking,https://en.wikipedia.org/wiki/Investment_banking
the then-opposite trend,https://en.wikipedia.org/wiki/Decline_of_the_Glass%E2%80%93Steagall_Act
OECD,https://en.wikipedia.org/wiki/OECD
telecommunication industry,https://en.wikipedia.org/wiki/Telecommunications_in_Israel
Ultra-Orthodox Jews,https://en.wikipedia.org/wiki/Haredi
employment-to-population ratio,https://en.wikipedia.org/wiki/Employment-to-population_ratio
dependency ratio,https://en.wikipedia.org/wiki/Dependency_ratio
Bank of Israel,https://en.wikipedia.org/wiki/Bank_of_Israel
Stanley Fischer,https://en.wikipedia.org/wiki/Stanley_Fischer
