text,url
highly developed,https://en.wikipedia.org/wiki/Developed_country
social market economy,https://en.wikipedia.org/wiki/Social_market_economy
European Union,https://en.wikipedia.org/wiki/European_Union
8th-largest economy in the world by nominal GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
11th-largest by PPP-adjusted GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
Europe,https://en.wikipedia.org/wiki/Europe
7th-largest in the world,https://en.wikipedia.org/wiki/List_of_countries_by_manufacturing_output
diversified economy,https://en.wikipedia.org/wiki/Diversified_economy
tertiary service sector,https://en.wikipedia.org/wiki/Tertiary_sector_of_the_economy
great power,https://en.wikipedia.org/wiki/Great_power
founding member of the European Union,https://en.wikipedia.org/wiki/Founding_members_of_the_European_Union
eurozone,https://en.wikipedia.org/wiki/Eurozone
Schengen Area,https://en.wikipedia.org/wiki/Schengen_Area
OECD,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
G7,https://en.wikipedia.org/wiki/G7
G20,https://en.wikipedia.org/wiki/G20
eighth-largest exporter in the world,https://en.wikipedia.org/wiki/List_of_countries_by_exports
Its largest trading partners,https://en.wikipedia.org/wiki/List_of_the_largest_trading_partners_of_Italy
Germany,https://en.wikipedia.org/wiki/Germany
France,https://en.wikipedia.org/wiki/France
United States,https://en.wikipedia.org/wiki/United_States
Spain,https://en.wikipedia.org/wiki/Spain
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
Switzerland,https://en.wikipedia.org/wiki/Switzerland
World Wars,https://en.wikipedia.org/wiki/World_War
world trade and exports,https://en.wikipedia.org/wiki/International_trade
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
very high standard of living,https://en.wikipedia.org/wiki/List_of_countries_by_Human_Development_Index
The Economist,https://en.wikipedia.org/wiki/The_Economist
quality of life,https://en.wikipedia.org/wiki/Quality_of_life
gold reserve,https://en.wikipedia.org/wiki/Gold_reserve
budget of the European Union,https://en.wikipedia.org/wiki/Budget_of_the_European_Union
private wealth,https://en.wikipedia.org/wiki/National_wealth
Hong Kong,https://en.wikipedia.org/wiki/Hong_Kong
private wealth to GDP ratio,https://en.wikipedia.org/wiki/List_of_countries_by_total_wealth
OECD,https://en.wikipedia.org/wiki/OECD
social security system,https://en.wikipedia.org/wiki/Italian_welfare_state
roughly 24.4% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
seventh-largest manufacturing country,https://en.wikipedia.org/wiki/List_of_countries_by_manufacturing_output
small and medium-sized enterprises,https://en.wikipedia.org/wiki/Small_and_medium-sized_enterprises
industrial districts,https://en.wikipedia.org/wiki/Industrial_district
machinery,https://en.wikipedia.org/wiki/Machinery
vehicles,https://en.wikipedia.org/wiki/Vehicles
pharmaceuticals,https://en.wikipedia.org/wiki/Pharmaceuticals
trade surplus,https://en.wikipedia.org/wiki/Trade_surplus
manufacturers,https://en.wikipedia.org/wiki/Manufacturer
designed,https://en.wikipedia.org/wiki/Industrial_design
automobiles,https://en.wikipedia.org/wiki/Automobile
ships,https://en.wikipedia.org/wiki/Ship
home appliances,https://en.wikipedia.org/wiki/Home_appliance
designer clothing,https://en.wikipedia.org/wiki/Designer_clothing
luxury goods,https://en.wikipedia.org/wiki/Luxury_goods
cooperative,https://en.wikipedia.org/wiki/Cooperative
Annual growth rates,https://en.wikipedia.org/wiki/Annual_growth_rate
late-2000s recession,https://en.wikipedia.org/wiki/Late-2000s_recession
public debt,https://en.wikipedia.org/wiki/Public_debt
Northern Italy,https://en.wikipedia.org/wiki/Northern_Italy
Southern Italy,https://en.wikipedia.org/wiki/Southern_Italy
Central Italy,https://en.wikipedia.org/wiki/Central_Italy
informal jobs,https://en.wikipedia.org/wiki/Informal_sector
labour force,https://en.wikipedia.org/wiki/Labour_force
unemployment rates,https://en.wikipedia.org/wiki/Unemployment_rates
shadow economy,https://en.wikipedia.org/wiki/Shadow_economy
Barsanti-Matteucci engine,https://en.wikipedia.org/wiki/Barsanti-Matteucci_engine
Venice,https://en.wikipedia.org/wiki/Venice
Genoa,https://en.wikipedia.org/wiki/Genoa
maritime republics,https://en.wikipedia.org/wiki/Maritime_republics
Milan,https://en.wikipedia.org/wiki/Milan
Florence,https://en.wikipedia.org/wiki/Florence
Venice,https://en.wikipedia.org/wiki/Venice
international financial center,https://en.wikipedia.org/wiki/International_financial_center
bonds,https://en.wikipedia.org/wiki/Bond_(finance)
Italian city-states,https://en.wikipedia.org/wiki/Italian_city-states
Genoa,https://en.wikipedia.org/wiki/Genoa
medieval,https://en.wikipedia.org/wiki/Medieval
Renaissance,https://en.wikipedia.org/wiki/Renaissance
Great Depression,https://en.wikipedia.org/wiki/Great_Depression
Terni,https://en.wikipedia.org/wiki/Terni
Piedmont-Sardinia,https://en.wikipedia.org/wiki/Piedmont-Sardinia
Count of Cavour,https://en.wikipedia.org/wiki/Count_of_Cavour
Alessandro Cruto,https://en.wikipedia.org/wiki/Alessandro_Cruto
light bulb,https://en.wikipedia.org/wiki/Light_Bulb
birth of the unified Kingdom of Italy,https://en.wikipedia.org/wiki/Proclamation_of_the_Kingdom_of_Italy
farm crisis,https://en.wikipedia.org/wiki/Italian_farm_crisis
Po valley,https://en.wikipedia.org/wiki/Po_valley
protectionist,https://en.wikipedia.org/wiki/Protectionist
hydropower,https://en.wikipedia.org/wiki/Hydropower
Turin,https://en.wikipedia.org/wiki/Turin
Milan,https://en.wikipedia.org/wiki/Milan
Genoa,https://en.wikipedia.org/wiki/Genoa
shipbuilding,https://en.wikipedia.org/wiki/Shipbuilding
South,https://en.wikipedia.org/wiki/Southern_Italy
Italian diaspora,https://en.wikipedia.org/wiki/Italian_diaspora
Great War,https://en.wikipedia.org/wiki/World_War_I
lira,https://en.wikipedia.org/wiki/Italian_lira
Benito Mussolini,https://en.wikipedia.org/wiki/Benito_Mussolini
Fiat,https://en.wikipedia.org/wiki/Fiat
Lingotto,https://en.wikipedia.org/wiki/Lingotto
World War I,https://en.wikipedia.org/wiki/World_War_I
National Fascist Party,https://en.wikipedia.org/wiki/National_Fascist_Party
Benito Mussolini,https://en.wikipedia.org/wiki/Benito_Mussolini
protectionism,https://en.wikipedia.org/wiki/Protectionism
Great Depression,https://en.wikipedia.org/wiki/Great_Depression
Istituto per la Ricostruzione Industriale,https://en.wikipedia.org/wiki/Istituto_per_la_Ricostruzione_Industriale
corporatism,https://en.wikipedia.org/wiki/Corporatism
Ethiopia,https://en.wikipedia.org/wiki/Second_Italo-Abyssinian_War
Franco,https://en.wikipedia.org/wiki/Francisco_Franco
Spanish Civil War,https://en.wikipedia.org/wiki/Spanish_Civil_War
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
World War II,https://en.wikipedia.org/wiki/World_War_II
Axis powers,https://en.wikipedia.org/wiki/Axis_powers
war economy,https://en.wikipedia.org/wiki/War_economy
Allied invasion of Italy,https://en.wikipedia.org/wiki/Allied_invasion_of_Italy
Fiat 500,https://en.wikipedia.org/wiki/Fiat_500
Programma 101,https://en.wikipedia.org/wiki/Programma_101
Olivetti,https://en.wikipedia.org/wiki/Olivetti
programmable calculators,https://en.wikipedia.org/wiki/Programmable_calculator
Cold War,https://en.wikipedia.org/wiki/Cold_War
Mediterranean,https://en.wikipedia.org/wiki/Mediterranean
NATO,https://en.wikipedia.org/wiki/NATO
Iron Curtain,https://en.wikipedia.org/wiki/Iron_Curtain
Communist party,https://en.wikipedia.org/wiki/Italian_Communist_Party
Free World,https://en.wikipedia.org/wiki/Free_World
Marshall Plan,https://en.wikipedia.org/wiki/Marshall_Plan
Korean War,https://en.wikipedia.org/wiki/Korean_War
European Common Market,https://en.wikipedia.org/wiki/European_Common_Market
Hot Autumn,https://en.wikipedia.org/wiki/Hot_Autumn
1973 oil crisis,https://en.wikipedia.org/wiki/1973_oil_crisis
West German,https://en.wikipedia.org/wiki/West_Germany
OEEC,https://en.wikipedia.org/wiki/OEEC
Giulio Andreotti,https://en.wikipedia.org/wiki/Giulio_Andreotti
G7,https://en.wikipedia.org/wiki/G7
Bonn,https://en.wikipedia.org/wiki/Bonn
Years of lead,https://en.wikipedia.org/wiki/Years_of_Lead_(Italy)
Lire,https://en.wikipedia.org/wiki/Italian_lira
Bank of Italy,https://en.wikipedia.org/wiki/Banca_d%27Italia
small and medium-sized enterprises,https://en.wikipedia.org/wiki/Small_and_medium-sized_enterprises
il sorpasso,https://en.wikipedia.org/wiki/Il_sorpasso_(economics)
West Germany,https://en.wikipedia.org/wiki/West_Germany
Milan stock exchange,https://en.wikipedia.org/wiki/Milan_stock_exchange
Maastricht criteria,https://en.wikipedia.org/wiki/Maastricht_criteria
global recession,https://en.wikipedia.org/wiki/Early_1990s_recession
red tape,https://en.wikipedia.org/wiki/Red_tape
European debt crisis,https://en.wikipedia.org/wiki/European_debt_crisis
negative interest rates,https://en.wikipedia.org/wiki/Negative_interest_on_excess_reserves
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
European debt crisis,https://en.wikipedia.org/wiki/European_debt_crisis
Eurostat,https://en.wikipedia.org/wiki/Eurostat
Italian government debt,https://en.wikipedia.org/wiki/Italian_government_debt
Greece,https://en.wikipedia.org/wiki/Greece
national unity government,https://en.wikipedia.org/wiki/National_unity_government
Mario Monti,https://en.wikipedia.org/wiki/Monti_Cabinet
austerity measures,https://en.wikipedia.org/wiki/Austerity_measures
double-dip recession,https://en.wikipedia.org/wiki/Double-dip_recession
Great Recession,https://en.wikipedia.org/wiki/Great_Recession
Euro area,https://en.wikipedia.org/wiki/Euro_area
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
lockdown,https://en.wikipedia.org/wiki/COVID-19_pandemic_lockdown_in_Italy
E.U. response to the outbreak,https://en.wikipedia.org/wiki/European_Union_response_to_the_COVID-19_pandemic
European Council,https://en.wikipedia.org/wiki/European_Council
Next Generation EU,https://en.wikipedia.org/wiki/Next_Generation_EU
Ferrari Portofino,https://en.wikipedia.org/wiki/Ferrari_Portofino
Made in Italy,https://en.wikipedia.org/wiki/Made_in_Italy
brands,https://en.wikipedia.org/wiki/List_of_Italian_brands
global energy crisis of 2021-2023,https://en.wikipedia.org/wiki/Global_energy_crisis_(2021%E2%80%932023)
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
European Union sanctions,https://en.wikipedia.org/wiki/International_sanctions_during_the_Russian_invasion_of_Ukraine#EU_sanctions
rose in Europe,https://en.wikipedia.org/wiki/2021%E2%80%932023_inflation_surge#Europe
European Central Bank,https://en.wikipedia.org/wiki/European_Central_Bank
European Union,https://en.wikipedia.org/wiki/European_Union
energy crisis and damage to supply chains,https://en.wikipedia.org/wiki/Economic_impact_of_the_Russian_invasion_of_Ukraine
United States banking crisis,https://en.wikipedia.org/wiki/2023_United_States_banking_crisis
Credit Suisse,https://en.wikipedia.org/wiki/Credit_Suisse
Switzerland,https://en.wikipedia.org/wiki/Switzerland
European Central Bank,https://en.wikipedia.org/wiki/European_Central_Bank
conflict in the Middle East,https://en.wikipedia.org/wiki/Gaza_war
defense sector,https://en.wikipedia.org/wiki/Defense_Sector
artificial intelligence,https://en.wikipedia.org/wiki/Artificial_intelligence
artificial intelligence in industry,https://en.wikipedia.org/wiki/Artificial_intelligence_in_industry
trade protectionism,https://en.wikipedia.org/wiki/Trade_protectionism
