text,url
Jamaica,https://en.wikipedia.org/wiki/Jamaica
Free trade zones have stimulated investment,https://en.wikipedia.org/wiki/Jamaican_Free_Zones
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
hurricanes,https://en.wikipedia.org/wiki/Hurricane
praedial larceny,https://en.wikipedia.org/wiki/Praedial_larceny
bagasse,https://en.wikipedia.org/wiki/Bagasse
Banana,https://en.wikipedia.org/wiki/Banana
Blue Mountains,https://en.wikipedia.org/wiki/Blue_Mountains_(Jamaica)
Jamaican Blue Mountain Coffee,https://en.wikipedia.org/wiki/Jamaican_Blue_Mountain_Coffee
Kingston,"https://en.wikipedia.org/wiki/Kingston,_Jamaica"
Cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
Citrus fruit,https://en.wikipedia.org/wiki/Citrus_fruit
Bog Walk,https://en.wikipedia.org/wiki/Bog_Walk
marmalade,https://en.wikipedia.org/wiki/Marmalade
Coconuts,https://en.wikipedia.org/wiki/Coconut
copra,https://en.wikipedia.org/wiki/Copra
margarine,https://en.wikipedia.org/wiki/Margarine
lard,https://en.wikipedia.org/wiki/Lard
Vanilla,https://en.wikipedia.org/wiki/Vanilla
pimento,https://en.wikipedia.org/wiki/Pimento
ginger,https://en.wikipedia.org/wiki/Ginger
sisal,https://en.wikipedia.org/wiki/Sisal
packaged food,https://en.wikipedia.org/wiki/Convenience_food
condensed milk,https://en.wikipedia.org/wiki/Condensed_milk
powdered milk,https://en.wikipedia.org/wiki/Powdered_milk
fishing industry,https://en.wikipedia.org/wiki/Fishing_industry
Pedro Cays,https://en.wikipedia.org/wiki/Pedro_Bank
carp,https://en.wikipedia.org/wiki/Carp
barbel,https://en.wikipedia.org/wiki/Barbel_(fish)
pines,https://en.wikipedia.org/wiki/Pine
mahogany,https://en.wikipedia.org/wiki/Mahogany
bauxite,https://en.wikipedia.org/wiki/Bauxite
alumina,https://en.wikipedia.org/wiki/Alumina
gypsum,https://en.wikipedia.org/wiki/Gypsum
marble,https://en.wikipedia.org/wiki/Marble
limestone,https://en.wikipedia.org/wiki/Limestone
silica,https://en.wikipedia.org/wiki/Silica
ores,https://en.wikipedia.org/wiki/Ore
zinc,https://en.wikipedia.org/wiki/Zinc
manganese,https://en.wikipedia.org/wiki/Manganese
oil refining,https://en.wikipedia.org/wiki/Oil_refining
chemicals,https://en.wikipedia.org/wiki/Chemical
paints,https://en.wikipedia.org/wiki/Paint
pharmaceuticals,https://en.wikipedia.org/wiki/Pharmaceutical
cartons,https://en.wikipedia.org/wiki/Carton
electronics,https://en.wikipedia.org/wiki/Electronics
apparel,https://en.wikipedia.org/wiki/Apparel
Venezuela,https://en.wikipedia.org/wiki/Venezuela
Montego Bay,https://en.wikipedia.org/wiki/Montego_Bay
Ocho Rios,https://en.wikipedia.org/wiki/Ocho_Rios
Port Antonio,https://en.wikipedia.org/wiki/Port_Antonio
Negril,https://en.wikipedia.org/wiki/Negril
Green Grotto Caves,https://en.wikipedia.org/wiki/Green_Grotto_Caves
Dunn's River Falls,https://en.wikipedia.org/wiki/Dunn%27s_River_Falls
Kingston,"https://en.wikipedia.org/wiki/Kingston,_Jamaica"
Rotterdam,https://en.wikipedia.org/wiki/Rotterdam
Dubai,https://en.wikipedia.org/wiki/Dubai
debt-to-GDP ratio,https://en.wikipedia.org/wiki/Debt-to-GDP_ratio
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Center for Economic and Policy Research,https://en.wikipedia.org/wiki/Center_for_Economic_and_Policy_Research
