text,url
highly developed,https://en.wikipedia.org/wiki/Developed_country
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
East Asian model,https://en.wikipedia.org/wiki/East_Asian_model
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
by nominal GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
by purchasing power parity,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
per capita GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_capita
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
Japan,https://en.wikipedia.org/wiki/Japan
G7,https://en.wikipedia.org/wiki/G7
OECD,https://en.wikipedia.org/wiki/OECD
developed country,https://en.wikipedia.org/wiki/Developed_country
as an importer,https://en.wikipedia.org/wiki/List_of_countries_by_imports
as an exporter,https://en.wikipedia.org/wiki/List_of_countries_by_exports
fourth-largest consumer market,https://en.wikipedia.org/wiki/List_of_largest_consumer_markets
trade surplus,https://en.wikipedia.org/wiki/Balance_of_trade
Fukushima nuclear accident,https://en.wikipedia.org/wiki/Fukushima_nuclear_accident
creditor,https://en.wikipedia.org/wiki/Creditor
second-largest,https://en.wikipedia.org/wiki/List_of_countries_by_foreign-exchange_reserves
third-largest financial assets in the world,https://en.wikipedia.org/wiki/List_of_sovereign_states_by_financial_assets
social security system,https://en.wikipedia.org/wiki/Welfare_in_Japan
roughly 23.5% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
Tokyo Stock Exchange,https://en.wikipedia.org/wiki/Tokyo_Stock_Exchange
third-largest stock exchange,https://en.wikipedia.org/wiki/List_of_stock_exchanges
market capitalisation,https://en.wikipedia.org/wiki/Market_capitalisation
country's automobile industry,https://en.wikipedia.org/wiki/Automotive_industry_in_Japan
Toyota,https://en.wikipedia.org/wiki/Toyota
Fortune Global 500,https://en.wikipedia.org/wiki/Fortune_Global_500
Meiji Restoration,https://en.wikipedia.org/wiki/Meiji_Restoration
textile industry,https://en.wikipedia.org/wiki/Textile_industry
its colonial empire,https://en.wikipedia.org/wiki/Empire_of_Japan
third most powerful navy,https://en.wikipedia.org/wiki/Imperial_Japanese_Navy
Second World War,https://en.wikipedia.org/wiki/World_War_II
the second largest economy in the world,https://en.wikipedia.org/wiki/List_of_regions_by_past_GDP_(PPP)
Japanese asset price bubble,https://en.wikipedia.org/wiki/Japanese_asset_price_bubble
Lost Decades,https://en.wikipedia.org/wiki/Lost_Decades
Bank of Japan,https://en.wikipedia.org/wiki/Bank_of_Japan
quantitative easing,https://en.wikipedia.org/wiki/Quantitative_easing
deflationary pressure,https://en.wikipedia.org/wiki/Deflation
negative interest policy,https://en.wikipedia.org/wiki/Negative_interest_rate
public debt,https://en.wikipedia.org/wiki/National_debt_of_Japan
ageing and declining population,https://en.wikipedia.org/wiki/Aging_of_Japan
Tokugawa shogunate,https://en.wikipedia.org/wiki/Tokugawa_shogunate
Edo,https://en.wikipedia.org/wiki/Edo_(Tokyo)
Meiji Restoration,https://en.wikipedia.org/wiki/Meiji_Restoration
Japan's defeat in World War II,https://en.wikipedia.org/wiki/Surrender_of_Japan
Lost Decades,https://en.wikipedia.org/wiki/Lost_Decades
ukiyo-e,https://en.wikipedia.org/wiki/Ukiyo-e
Mitsukoshi,https://en.wikipedia.org/wiki/Mitsukoshi
Edo period,https://en.wikipedia.org/wiki/Edo_period
Nanban trade period,https://en.wikipedia.org/wiki/Nanban_trade
San Juan Bautista,https://en.wikipedia.org/wiki/San_Juan_Bautista_(ship)
Red Seal Ships,https://en.wikipedia.org/wiki/Red_seal_ships
Yamada Nagamasa,https://en.wikipedia.org/wiki/Yamada_Nagamasa
