text,url
Jordan,https://en.wikipedia.org/wiki/Jordan
Geography,https://en.wikipedia.org/wiki/Geography_of_Jordan
Climate,https://en.wikipedia.org/wiki/Climate_of_Jordan
Governorates,https://en.wikipedia.org/wiki/Governorates_of_Jordan
Nahias,https://en.wikipedia.org/wiki/Nahias_of_Jordan
Cities,https://en.wikipedia.org/wiki/List_of_cities_in_Jordan
Mediterranean,https://en.wikipedia.org/wiki/Mediterranean_Sea
Jordan River,https://en.wikipedia.org/wiki/Jordan_River
Nature reserves,https://en.wikipedia.org/wiki/Nature_reserves_in_Jordan
Extreme points,https://en.wikipedia.org/wiki/List_of_extreme_points_of_Jordan
History,https://en.wikipedia.org/wiki/History_of_Jordan
Timeline,https://en.wikipedia.org/wiki/Timeline_of_the_Hashemite_Kingdom_of_Jordan
Syria (region),https://en.wikipedia.org/wiki/Syria_(region)
Ammon,https://en.wikipedia.org/wiki/Ammon
Moab,https://en.wikipedia.org/wiki/Moab
Edom,https://en.wikipedia.org/wiki/Edom
Nabataeans,https://en.wikipedia.org/wiki/Nabataeans
Ghassanids,https://en.wikipedia.org/wiki/Ghassanids
Islamic Empire,https://en.wikipedia.org/wiki/Caliphate
Oultrejordain,https://en.wikipedia.org/wiki/Oultrejordain
Arab Kingdom of Syria,https://en.wikipedia.org/wiki/Arab_Kingdom_of_Syria
Ottoman Empire,https://en.wikipedia.org/wiki/Ottoman_Empire
Hashemites,https://en.wikipedia.org/wiki/Hashemites
Arab Revolt,https://en.wikipedia.org/wiki/Arab_Revolt
Sykes–Picot,https://en.wikipedia.org/wiki/Sykes%E2%80%93Picot_Agreement
Transjordan memo,https://en.wikipedia.org/wiki/Transjordan_memorandum
British Mandate,https://en.wikipedia.org/wiki/Mandate_for_Palestine
Emirate of Transjordan,https://en.wikipedia.org/wiki/Emirate_of_Transjordan
Kura Rebellion,https://en.wikipedia.org/wiki/Kura_Rebellion
Adwan Rebellion,https://en.wikipedia.org/wiki/Adwan_Rebellion
Ikhwan raids,https://en.wikipedia.org/wiki/Ikhwan_raids_on_Transjordan
1948 War,https://en.wikipedia.org/wiki/1948_Arab%E2%80%93Israeli_War
1967 War,https://en.wikipedia.org/wiki/Six-Day_War
Black September,https://en.wikipedia.org/wiki/Black_September_in_Jordan
Israel–Jordan peace treaty,https://en.wikipedia.org/wiki/Israel%E2%80%93Jordan_peace_treaty
2011 protests,https://en.wikipedia.org/wiki/Jordanian_protests_(2011%E2%80%93present)
International rankings,https://en.wikipedia.org/wiki/International_rankings_of_Jordan
Globalization,https://en.wikipedia.org/wiki/Jordan#Globalization
Agriculture,https://en.wikipedia.org/wiki/Agriculture_in_Jordan
