text,url
Central Asia,https://en.wikipedia.org/wiki/Central_Asia
Kazakhstan,https://en.wikipedia.org/wiki/Kazakhstan
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
steppe,https://en.wikipedia.org/wiki/Steppe
apples,https://en.wikipedia.org/wiki/Apple
walnuts,https://en.wikipedia.org/wiki/Walnut
dissolution of the Soviet Union,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union
heavy industry,https://en.wikipedia.org/wiki/Heavy_industry
European Union,https://en.wikipedia.org/wiki/European_Union
Caspian Pipeline Consortium,https://en.wikipedia.org/wiki/Caspian_Pipeline_Consortium
Tengiz Field,https://en.wikipedia.org/wiki/Tengiz_Field
Russia,https://en.wikipedia.org/wiki/Russia
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
2022 Russian invasion of Ukraine,https://en.wikipedia.org/wiki/2022_Russian_invasion_of_Ukraine
Kassym-Jomart Tokayev,https://en.wikipedia.org/wiki/Kassym-Jomart_Tokayev
August financial crisis,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis
Russia,https://en.wikipedia.org/wiki/Russia
petroleum,https://en.wikipedia.org/wiki/Petroleum
tenge,https://en.wikipedia.org/wiki/Tenge
Commonwealth of Independent States,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States
Russo-Ukrainian War,https://en.wikipedia.org/wiki/Russo-Ukrainian_War
World Bank,https://en.wikipedia.org/wiki/World_Bank
Astana,https://en.wikipedia.org/wiki/Astana
Global Innovation Index,https://en.wikipedia.org/wiki/Global_Innovation_Index
World Intellectual Property Organization,https://en.wikipedia.org/wiki/World_Intellectual_Property_Organization
OCCRP,https://en.wikipedia.org/wiki/Organized_Crime_and_Corruption_Reporting_Project
The Heritage Foundation,https://en.wikipedia.org/wiki/The_Heritage_Foundation
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
tenge,https://en.wikipedia.org/wiki/Kazakhstani_tenge
Russo-Ukrainian War,https://en.wikipedia.org/wiki/Russo-Ukrainian_War
IBRD,https://en.wikipedia.org/wiki/IBRD
IFC,https://en.wikipedia.org/wiki/International_Finance_Corporation
MIGA,https://en.wikipedia.org/wiki/MIGA
sustainable development,https://en.wikipedia.org/wiki/Sustainable_development
uranium,https://en.wikipedia.org/wiki/Uranium
Australia,https://en.wikipedia.org/wiki/Australia
TengizChevroil,https://en.wikipedia.org/wiki/TengizChevroil
ChevronTexaco,https://en.wikipedia.org/wiki/ChevronTexaco
ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil
KazMunaiGas,https://en.wikipedia.org/wiki/KazMunaiGas
LukArco,https://en.wikipedia.org/wiki/LukArco
Karachaganak natural gas and gas condensate field,https://en.wikipedia.org/wiki/Karachaganak_Field
BG,https://en.wikipedia.org/wiki/BG_Group
Agip,https://en.wikipedia.org/wiki/Agip
Lukoil,https://en.wikipedia.org/wiki/Lukoil
Agip,https://en.wikipedia.org/wiki/Agip
Kashagan oil field,https://en.wikipedia.org/wiki/Kashagan_Field
salt,https://en.wikipedia.org/wiki/Salt
uranium,https://en.wikipedia.org/wiki/Uranium
ferrochrome,https://en.wikipedia.org/wiki/Ferrochrome
titanium sponge,https://en.wikipedia.org/wiki/Titanium_sponge
cadmium,https://en.wikipedia.org/wiki/Cadmium
potash,https://en.wikipedia.org/wiki/Potash
magnesium,https://en.wikipedia.org/wiki/Magnesium
rhenium,https://en.wikipedia.org/wiki/Rhenium
copper,https://en.wikipedia.org/wiki/Copper
bauxite,https://en.wikipedia.org/wiki/Bauxite
gallium,https://en.wikipedia.org/wiki/Gallium
zinc,https://en.wikipedia.org/wiki/Zinc
uranium,https://en.wikipedia.org/wiki/Uranium
gold,https://en.wikipedia.org/wiki/Gold
copper,https://en.wikipedia.org/wiki/Copper
chromium,https://en.wikipedia.org/wiki/Chromium
bauxite,https://en.wikipedia.org/wiki/Bauxite
zinc,https://en.wikipedia.org/wiki/Zinc
antimony,https://en.wikipedia.org/wiki/Antimony
iron ore,https://en.wikipedia.org/wiki/Iron_ore
lead,https://en.wikipedia.org/wiki/Lead
manganese,https://en.wikipedia.org/wiki/Manganese
phosphate,https://en.wikipedia.org/wiki/Phosphate
bismuth,https://en.wikipedia.org/wiki/Bismuth
