text,url
Republic of Kiribati,https://en.wikipedia.org/wiki/Kiribati
Gross National Product,https://en.wikipedia.org/wiki/Measures_of_national_income_and_output
Banaba Island,https://en.wikipedia.org/wiki/Banaba_Island
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
sea level rise,https://en.wikipedia.org/wiki/Sea_level_rise
phosphate,https://en.wikipedia.org/wiki/Phosphate
GDP,https://en.wikipedia.org/wiki/Gross_Domestic_Product
sovereign wealth fund,https://en.wikipedia.org/wiki/Sovereign_wealth_fund
Revenue Equalization Reserve Fund,https://en.wikipedia.org/wiki/Revenue_Equalization_Reserve_Fund
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
remittances,https://en.wikipedia.org/wiki/Remittance
South Korea,https://en.wikipedia.org/wiki/South_Korea
Japan,https://en.wikipedia.org/wiki/Japan
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Taiwan,https://en.wikipedia.org/wiki/Republic_of_China
United States,https://en.wikipedia.org/wiki/United_States
El Niño,https://en.wikipedia.org/wiki/El_Ni%C3%B1o
Tourism,https://en.wikipedia.org/wiki/Tourism
ecotourism,https://en.wikipedia.org/wiki/Ecotourism
Caroline Island,https://en.wikipedia.org/wiki/Caroline_Island
International Date Line,https://en.wikipedia.org/wiki/International_Date_Line
bananas,https://en.wikipedia.org/wiki/Banana
breadfruit,https://en.wikipedia.org/wiki/Breadfruit
papaya,https://en.wikipedia.org/wiki/Papaya
copra,https://en.wikipedia.org/wiki/Copra
shark fins,https://en.wikipedia.org/wiki/Shark_finning
Australia,https://en.wikipedia.org/wiki/Australia
European Union,https://en.wikipedia.org/wiki/European_Union
United Nations Development Program,https://en.wikipedia.org/wiki/United_Nations_Development_Program
World Health Organization,https://en.wikipedia.org/wiki/World_Health_Organization
Australia,https://en.wikipedia.org/wiki/Australia
Japan,https://en.wikipedia.org/wiki/Japan
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
Taiwan,https://en.wikipedia.org/wiki/Republic_of_China
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
Australia,https://en.wikipedia.org/wiki/Australia
Taiwan,https://en.wikipedia.org/wiki/Taiwan
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
World Bank,https://en.wikipedia.org/wiki/World_Bank
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank
AusAID,https://en.wikipedia.org/wiki/AusAID
New Zealand,https://en.wikipedia.org/wiki/New_Zealand
NZAID,https://en.wikipedia.org/wiki/NZAID
CIA,https://en.wikipedia.org/wiki/CIA
GDP,https://en.wikipedia.org/wiki/GDP
GDP,https://en.wikipedia.org/wiki/GDP
GDP,https://en.wikipedia.org/wiki/GDP
GDP,https://en.wikipedia.org/wiki/GDP
GDP,https://en.wikipedia.org/wiki/GDP
Inflation,https://en.wikipedia.org/wiki/Inflation
copra,https://en.wikipedia.org/wiki/Copra
taro,https://en.wikipedia.org/wiki/Taro
breadfruit,https://en.wikipedia.org/wiki/Breadfruit
sweet potatoes,https://en.wikipedia.org/wiki/Sweet_potato
Australian dollar,https://en.wikipedia.org/wiki/Australian_dollar
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
CIA World Factbook,https://en.wikipedia.org/wiki/CIA_World_Factbook
CIA,https://en.wikipedia.org/wiki/CIA
