text,url
lower-middle-income,https://en.wikipedia.org/wiki/Developing_country
Kyrgyzstan,https://en.wikipedia.org/wiki/Kyrgyzstan
hydroelectric power,https://en.wikipedia.org/wiki/Hydroelectricity
gold extraction,https://en.wikipedia.org/wiki/Gold_extraction
Kumtor,https://en.wikipedia.org/wiki/Kumtor_Gold_Mine
critical raw materials,https://en.wikipedia.org/wiki/Critical_raw_materials
antimony,https://en.wikipedia.org/wiki/Antimony
China,https://en.wikipedia.org/wiki/China
sanctions on Russia,https://en.wikipedia.org/wiki/Sanctions_involving_Russia
redirected,https://en.wikipedia.org/wiki/Re-exportation
Central Asia,https://en.wikipedia.org/wiki/Central_Asia
Kambarata-1 Hydropower Plant,https://en.wikipedia.org/wiki/Kambarata-1_Dam
the Belt and Road Initiative,https://en.wikipedia.org/wiki/Belt_and_Road_Initiative
demographics,https://en.wikipedia.org/wiki/Demographics_of_Kyrgyzstan
labor migration,https://en.wikipedia.org/wiki/Migrant_worker
remittances,https://en.wikipedia.org/wiki/Remittance
exports,https://en.wikipedia.org/wiki/Export
Kumtor Gold Mine,https://en.wikipedia.org/wiki/Kumtor_Gold_Mine
Afghanistan,https://en.wikipedia.org/wiki/Afghanistan
re-exported,https://en.wikipedia.org/wiki/Re-exportation
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
Türkiye,https://en.wikipedia.org/wiki/Turkey
South Korea,https://en.wikipedia.org/wiki/South_Korea
UAE,https://en.wikipedia.org/wiki/United_Arab_Emirates
re-exported,https://en.wikipedia.org/wiki/Re-exportation
Western sanctions on Russia,https://en.wikipedia.org/wiki/Sanctions_involving_Russia
Eurasian Economic Union,https://en.wikipedia.org/wiki/Eurasian_Economic_Union
logistics,https://en.wikipedia.org/wiki/Logistics
customs brokerage,https://en.wikipedia.org/wiki/Customs_broker
Trading Company of the Kyrgyz Republic,https://en.wikipedia.org/wiki/OJSC_%22Trading_Company_of_the_Kyrgyz_Republic%22
fiscal surplus,https://en.wikipedia.org/wiki/Government_budget_balance
Government expenditures,https://en.wikipedia.org/wiki/Government_expenditures
inflationary pressures,https://en.wikipedia.org/wiki/Inflation
monetary policy,https://en.wikipedia.org/wiki/Monetary_policy
National Bank of the Kyrgyz Republic,https://en.wikipedia.org/wiki/National_Bank_of_the_Kyrgyz_Republic
capital adequacy,https://en.wikipedia.org/wiki/Capital_adequacy
liquidity,https://en.wikipedia.org/wiki/Liquidity_trap
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate_regime
gross reserves,https://en.wikipedia.org/wiki/Foreign_exchange_reserves
public debt,https://en.wikipedia.org/wiki/Government_debt
capital flight,https://en.wikipedia.org/wiki/Capital_flight
Export–Import Bank of China,https://en.wikipedia.org/wiki/Export%E2%80%93Import_Bank_of_China
Asian Development Bank,https://en.wikipedia.org/wiki/Asian_Development_Bank_Institute
World Bank,https://en.wikipedia.org/wiki/World_Bank_Group
IMF,https://en.wikipedia.org/wiki/IMF
Eurasian Development Bank,https://en.wikipedia.org/wiki/Eurasian_Development_Bank
Chuy,https://en.wikipedia.org/wiki/Chuy_River
Subsistence farming,https://en.wikipedia.org/wiki/Subsistence_farming
Grain,https://en.wikipedia.org/wiki/Grain
livestock,https://en.wikipedia.org/wiki/Livestock
cotton,https://en.wikipedia.org/wiki/Cotton
tobacco,https://en.wikipedia.org/wiki/Tobacco
dairy,https://en.wikipedia.org/wiki/Dairy
hay,https://en.wikipedia.org/wiki/Hay
potatoes,https://en.wikipedia.org/wiki/Potatoes
vegetables,https://en.wikipedia.org/wiki/Vegetables
sugar beets,https://en.wikipedia.org/wiki/Sugar_beets
Arslanbob,https://en.wikipedia.org/wiki/Arslanbob
Chatkal,https://en.wikipedia.org/wiki/Chatkal_Range
aquaculture,https://en.wikipedia.org/wiki/Aquaculture
Kumtor Gold Mine,https://en.wikipedia.org/wiki/Kumtor_Gold_Mine
Kara-Keche deposit,https://en.wikipedia.org/wiki/Karakeche
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
hydropower,https://en.wikipedia.org/wiki/Hydropower
Naryn River,https://en.wikipedia.org/wiki/Naryn_(river)
fossil fuel,https://en.wikipedia.org/wiki/Fossil_fuel
CASA-1000,https://en.wikipedia.org/wiki/CASA-1000
tourism,https://en.wikipedia.org/wiki/Tourism
