text,url
Europe,https://en.wikipedia.org/wiki/Europe
European Single Market,https://en.wikipedia.org/wiki/European_Single_Market
Latvia,https://en.wikipedia.org/wiki/Latvia
World Trade Organization (WTO),https://en.wikipedia.org/wiki/WTO
European Union,https://en.wikipedia.org/wiki/European_Union
Eurozone,https://en.wikipedia.org/wiki/Eurozone
OECD,https://en.wikipedia.org/wiki/OECD
Ease of Doing Business Index,https://en.wikipedia.org/wiki/Ease_of_Doing_Business_Index
World Bank Group,https://en.wikipedia.org/wiki/World_Bank_Group
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
wood processing,https://en.wikipedia.org/wiki/Wood_processing
Parex Bank,https://en.wikipedia.org/wiki/Parex_Bank
IMF,https://en.wikipedia.org/wiki/IMF
Hanseatic,https://en.wikipedia.org/wiki/Hanseatic_League
World War I,https://en.wikipedia.org/wiki/World_War_I
Russian Empire,https://en.wikipedia.org/wiki/Russian_Empire
Karlis Ulmanis,https://en.wikipedia.org/wiki/K%C4%81rlis_Ulmanis
Russia,https://en.wikipedia.org/wiki/Russia
1998 Russian financial crisis,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis
Riga's,https://en.wikipedia.org/wiki/Riga
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Paul Krugman,https://en.wikipedia.org/wiki/Paul_Krugman
New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
Standard & Poor's,https://en.wikipedia.org/wiki/Standard_%26_Poor%27s
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
devaluation,https://en.wikipedia.org/wiki/Devaluation
Michael Hudson,https://en.wikipedia.org/wiki/Michael_Hudson_(economist)
internal devaluation,https://en.wikipedia.org/wiki/Internal_devaluation
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
Privatisation,https://en.wikipedia.org/wiki/Privatisation
Latvenergo,https://en.wikipedia.org/wiki/Latvenergo
Lattelecom,https://en.wikipedia.org/wiki/Lattelecom
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
OECD,https://en.wikipedia.org/wiki/OECD
European Union,https://en.wikipedia.org/wiki/European_Union
wheat,https://en.wikipedia.org/wiki/Wheat
potato,https://en.wikipedia.org/wiki/Potato
barley,https://en.wikipedia.org/wiki/Barley
rapeseed,https://en.wikipedia.org/wiki/Rapeseed
oat,https://en.wikipedia.org/wiki/Oat
rye,https://en.wikipedia.org/wiki/Rye
bean,https://en.wikipedia.org/wiki/Bean
