text,url
the Lebanese liquidity crisis,https://en.wikipedia.org/wiki/Lebanese_liquidity_crisis
sovereign default,https://en.wikipedia.org/wiki/Sovereign_default
developing,https://en.wikipedia.org/wiki/Developing_economy
nominal GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
per capita GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
Lebanese,https://en.wikipedia.org/wiki/Lebanon
war of 2006,https://en.wikipedia.org/wiki/Lebanon_war_2006
Syrian civil war,https://en.wikipedia.org/wiki/Syrian_civil_war
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
debt-to-GDP ratio,https://en.wikipedia.org/wiki/Debt-to-GDP_ratio
laissez-faire,https://en.wikipedia.org/wiki/Laissez-faire
MENA,https://en.wikipedia.org/wiki/MENA
Beirut,https://en.wikipedia.org/wiki/Beirut
Lebanese Civil War,https://en.wikipedia.org/wiki/Lebanese_Civil_War
Lebanon,https://en.wikipedia.org/wiki/Lebanon
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
Middle Eastern,https://en.wikipedia.org/wiki/Middle_East
entrepot,https://en.wikipedia.org/wiki/Entrepot
banking,https://en.wikipedia.org/wiki/Bank
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Israel,https://en.wikipedia.org/wiki/Israel
Operation Grapes of Wrath,https://en.wikipedia.org/wiki/Operation_Grapes_of_Wrath
foreign exchange reserves,https://en.wikipedia.org/wiki/Foreign_exchange_reserves
Solidere,https://en.wikipedia.org/wiki/Solidere
central business district,https://en.wikipedia.org/wiki/Beirut_Central_District
stock market,https://en.wikipedia.org/wiki/Beirut_Stock_Exchange
Market capitalization,https://en.wikipedia.org/wiki/Market_capitalization
2006 war,https://en.wikipedia.org/wiki/2006_Lebanon_War
Saudi Arabia,https://en.wikipedia.org/wiki/Saudi_Arabia
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Moody's,https://en.wikipedia.org/wiki/Moody%27s
Beirut stock market,https://en.wikipedia.org/wiki/Beirut_Stock_Exchange
MSCI,https://en.wikipedia.org/wiki/MSCI
Syrian crisis,https://en.wikipedia.org/wiki/Syrian_civil_war
Lebanon,https://en.wikipedia.org/wiki/Lebanon
Beirut,https://en.wikipedia.org/wiki/Beirut
Saad al-Hariri,https://en.wikipedia.org/wiki/Saad_al-Hariri
Voice over Internet Protocol,https://en.wikipedia.org/wiki/Voice_over_IP
WhatsApp,https://en.wikipedia.org/wiki/WhatsApp
Facebook,https://en.wikipedia.org/wiki/Facebook
Mohamad Chatah,https://en.wikipedia.org/wiki/Mohamad_Chatah
Daily Star,https://en.wikipedia.org/wiki/Daily_Star_(Lebanon)
central bank (BdL) defaulted,https://en.wikipedia.org/wiki/History_of_Lebanon#2020_meltdown_of_central_bank
"explosion of 2,750 tons ammonium nitrate",https://en.wikipedia.org/wiki/2020_Beirut_explosion
Beirut,https://en.wikipedia.org/wiki/Beirut
Emmanuel Macron,https://en.wikipedia.org/wiki/Emmanuel_Macron
Hassan Diab,https://en.wikipedia.org/wiki/Hassan_Diab
IMF,https://en.wikipedia.org/wiki/International_Monetary_Fund
Kristalina Georgieva,https://en.wikipedia.org/wiki/Kristalina_Georgieva
United Nations Office for the Coordination of Humanitarian Affairs,https://en.wikipedia.org/wiki/United_Nations_Office_for_the_Coordination_of_Humanitarian_Affairs
World Bank,https://en.wikipedia.org/wiki/World_Bank
USD,https://en.wikipedia.org/wiki/USD
£L,https://en.wikipedia.org/wiki/Lebanese_pound
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Solidere,https://en.wikipedia.org/wiki/Solidere
failed state,https://en.wikipedia.org/wiki/Failed_state
2020 Beirut explosion,https://en.wikipedia.org/wiki/2020_Beirut_explosion
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic
Greece,https://en.wikipedia.org/wiki/Greece
Japan,https://en.wikipedia.org/wiki/Japan
external bond,https://en.wikipedia.org/wiki/Eurobond_(external_bond)
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
central bank,https://en.wikipedia.org/wiki/Central_bank
a devastating explosion in Beirut,https://en.wikipedia.org/wiki/2020_Beirut_explosion
Hassan Diab,https://en.wikipedia.org/wiki/Hassan_Diab
Saad al-Hariri,https://en.wikipedia.org/wiki/Saad_Hariri
below the poverty line,https://en.wikipedia.org/wiki/Poverty_in_Lebanon
free market,https://en.wikipedia.org/wiki/Free_market
laissez-faire,https://en.wikipedia.org/wiki/Laissez-faire
World Bank,https://en.wikipedia.org/wiki/World_Bank
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Russia,https://en.wikipedia.org/wiki/Russia
food security,https://en.wikipedia.org/wiki/Food_security
UNESCWA,https://en.wikipedia.org/wiki/UNESCWA
World Food Programme,https://en.wikipedia.org/wiki/World_Food_Programme
Ministry of Economy and Trade,https://en.wikipedia.org/wiki/Ministry_of_Economy_and_Trade_(Lebanon)
Council of Ministers,https://en.wikipedia.org/wiki/Council_of_Ministers_of_Lebanon
Lebanese bread,https://en.wikipedia.org/wiki/Lebanese_bread
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
Corruption Perceptions Index,https://en.wikipedia.org/wiki/Corruption_Perceptions_Index
Riad Salamé,https://en.wikipedia.org/wiki/Riad_Salam%C3%A9
Banque du Liban,https://en.wikipedia.org/wiki/Banque_du_Liban
huge explosion,https://en.wikipedia.org/wiki/2020_Beirut_explosion
Financial Secrecy Index,https://en.wikipedia.org/wiki/Financial_Secrecy_Index
banking secrecy,https://en.wikipedia.org/wiki/Bank_secrecy
money laundering,https://en.wikipedia.org/wiki/Money_laundering
tax evasion,https://en.wikipedia.org/wiki/Tax_evasion
FATCA,https://en.wikipedia.org/wiki/Foreign_Account_Tax_Compliance_Act
Global Forum on Transparency and Exchange of Information for Tax Purposes,https://en.wikipedia.org/wiki/Global_Forum_on_Transparency_and_Exchange_of_Information_for_Tax_Purposes
Ali Hassan Khalil,https://en.wikipedia.org/wiki/Ali_Hassan_Khalil
Israeli,https://en.wikipedia.org/wiki/Israel
Hezbollah,https://en.wikipedia.org/wiki/Hezbollah
The Wall Street Journal,https://en.wikipedia.org/wiki/The_Wall_Street_Journal
Bloomberg,https://en.wikipedia.org/wiki/Bloomberg_News
diaspora,https://en.wikipedia.org/wiki/Lebanese_diaspora
remittances,https://en.wikipedia.org/wiki/Remittances
Byblos Bank,https://en.wikipedia.org/wiki/Byblos_Bank
market capitalization,https://en.wikipedia.org/wiki/Market_capitalization
Israeli occupation of the south,https://en.wikipedia.org/wiki/1982_Lebanon_War
Agriculture,https://en.wikipedia.org/wiki/Agriculture_in_Lebanon
Banque du Liban,https://en.wikipedia.org/wiki/Banque_du_Liban
Beirut Stock Exchange,https://en.wikipedia.org/wiki/Beirut_Stock_Exchange
listings,https://en.wikipedia.org/wiki/List_of_companies_listed_on_the_Beirut_Stock_Exchange
Companies,https://en.wikipedia.org/wiki/List_of_companies_of_Lebanon
Labour movement,https://en.wikipedia.org/wiki/Labour_movement_in_Lebanon
Shipping,https://en.wikipedia.org/wiki/Lebanese_shipping
Tourism,https://en.wikipedia.org/wiki/Tourism_in_Lebanon
Culture,https://en.wikipedia.org/wiki/Culture_of_Lebanon
Environment,https://en.wikipedia.org/wiki/Environment_of_Lebanon
Geography,https://en.wikipedia.org/wiki/Geography_of_Lebanon
History,https://en.wikipedia.org/wiki/History_of_Lebanon
People,https://en.wikipedia.org/wiki/Lebanese_people
Politics,https://en.wikipedia.org/wiki/Politics_of_Lebanon
sustainable growth,https://en.wikipedia.org/wiki/Sustainable_growth
dollarization,https://en.wikipedia.org/wiki/Dollarization
central bank,https://en.wikipedia.org/wiki/Banque_du_Liban
Eurobonds,https://en.wikipedia.org/wiki/Eurobond_(international)
fiscal adjustment,https://en.wikipedia.org/wiki/Fiscal_adjustment
Faraya,https://en.wikipedia.org/wiki/Faraya
Lebanese economy,https://en.wikipedia.org/wiki/Lebanese_economy
Microsoft,https://en.wikipedia.org/wiki/Microsoft
American Airlines,https://en.wikipedia.org/wiki/American_Airlines
Coca-Cola,https://en.wikipedia.org/wiki/Coca-Cola
FedEx,https://en.wikipedia.org/wiki/FedEx
UPS,https://en.wikipedia.org/wiki/United_Parcel_Service
General Electric,https://en.wikipedia.org/wiki/General_Electric
Parsons Brinckerhoff,https://en.wikipedia.org/wiki/Parsons_Brinckerhoff
Cisco Systems,https://en.wikipedia.org/wiki/Cisco_Systems
Eli Lilly,https://en.wikipedia.org/wiki/Eli_Lilly_and_Company
Computer Associates,https://en.wikipedia.org/wiki/Computer_Associates
Pepsi Cola,https://en.wikipedia.org/wiki/PepsiCo
Carlos Slim,https://en.wikipedia.org/wiki/Carlos_Slim
Telmex,https://en.wikipedia.org/wiki/Telmex
Beirut Stock Exchange,https://en.wikipedia.org/wiki/Beirut_Stock_Exchange
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Financial Action Task Force,https://en.wikipedia.org/wiki/Financial_Action_Task_Force
reform,https://en.wikipedia.org/wiki/2025_Lebnese_bank_reformation
Agriculture in Lebanon,https://en.wikipedia.org/wiki/Agriculture_in_Lebanon
Beirut Stock Exchange,https://en.wikipedia.org/wiki/Beirut_Stock_Exchange
Banque de Syrie et du Liban,https://en.wikipedia.org/wiki/Banque_de_Syrie_et_du_Liban
Banque du Liban,https://en.wikipedia.org/wiki/Banque_du_Liban
Lebanese pound,https://en.wikipedia.org/wiki/Lebanese_pound
Solidere,https://en.wikipedia.org/wiki/Solidere
Tourism in Lebanon,https://en.wikipedia.org/wiki/Tourism_in_Lebanon
List of banks in Lebanon,https://en.wikipedia.org/wiki/List_of_banks_in_Lebanon
2025 Lebnese bank reformation,https://en.wikipedia.org/wiki/2025_Lebnese_bank_reformation
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
