text,url
Lesotho,https://en.wikipedia.org/wiki/Lesotho
South Africa,https://en.wikipedia.org/wiki/South_Africa
Southern African Customs Union,https://en.wikipedia.org/wiki/Southern_African_Customs_Union
tariffs,https://en.wikipedia.org/wiki/Tariffs
Botswana,https://en.wikipedia.org/wiki/Botswana
Namibia,https://en.wikipedia.org/wiki/Namibia
South Africa,https://en.wikipedia.org/wiki/South_Africa
Eswatini,https://en.wikipedia.org/wiki/Eswatini
South African rand,https://en.wikipedia.org/wiki/South_African_rand
loti,https://en.wikipedia.org/wiki/Lesotho_loti
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
Maseru,https://en.wikipedia.org/wiki/Maseru
IMF,https://en.wikipedia.org/wiki/IMF
Structural Adjustment Programs,https://en.wikipedia.org/wiki/Structural_Adjustment_Program
inflation,https://en.wikipedia.org/wiki/Inflation
trade deficit,https://en.wikipedia.org/wiki/Trade_deficit
exports,https://en.wikipedia.org/wiki/Exports
imports,https://en.wikipedia.org/wiki/Imports
economic aid,https://en.wikipedia.org/wiki/Economic_aid
United States,https://en.wikipedia.org/wiki/United_States
World Bank,https://en.wikipedia.org/wiki/World_Bank
United Kingdom,https://en.wikipedia.org/wiki/United_Kingdom
European Union,https://en.wikipedia.org/wiki/European_Union
Germany,https://en.wikipedia.org/wiki/Germany
African Growth and Opportunity Act,https://en.wikipedia.org/wiki/African_Growth_and_Opportunity_Act
Foot Locker,https://en.wikipedia.org/wiki/Foot_Locker
Gap,https://en.wikipedia.org/wiki/Gap_Inc.
JCPenney,https://en.wikipedia.org/wiki/JCPenney
Levi Strauss,https://en.wikipedia.org/wiki/Levi_Strauss_%26_Co.
Saks,https://en.wikipedia.org/wiki/Saks_Fifth_Avenue
Sears,https://en.wikipedia.org/wiki/Sears
Timberland,https://en.wikipedia.org/wiki/Timberland_(company)
Wal-Mart.,https://en.wikipedia.org/wiki/Walmart
Apparel Lesotho Alliance to Fight AIDS,https://en.wikipedia.org/wiki/Apparel_Lesotho_Alliance_to_fight_AIDS
pass law,https://en.wikipedia.org/wiki/Pass_laws
natural resources,https://en.wikipedia.org/wiki/Natural_resources
Lesotho Highlands Water Project,https://en.wikipedia.org/wiki/Lesotho_Highlands_Water_Project
Orange River,https://en.wikipedia.org/wiki/Orange_River
South Africa,https://en.wikipedia.org/wiki/South_Africa
Johannesburg,https://en.wikipedia.org/wiki/Johannesburg
industry,https://en.wikipedia.org/wiki/Manufacturing
electricity,https://en.wikipedia.org/wiki/Electricity
World Bank,https://en.wikipedia.org/wiki/World_Bank
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank
bilateral,https://en.wikipedia.org/wiki/Bilateral_trade
maize,https://en.wikipedia.org/wiki/Maize
wheat,https://en.wikipedia.org/wiki/Wheat
pulses,https://en.wikipedia.org/wiki/Pulses
sorghum,https://en.wikipedia.org/wiki/Sorghum
barley,https://en.wikipedia.org/wiki/Barley
loti,https://en.wikipedia.org/wiki/Lesotho_loti
rand,https://en.wikipedia.org/wiki/Rand_(currency)
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
Lesotho,https://en.wikipedia.org/wiki/Lesotho
List of Basotho companies,https://en.wikipedia.org/wiki/List_of_Basotho_companies
Child labour in Lesotho,https://en.wikipedia.org/wiki/Child_labour_in_Lesotho
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
S2CID,https://en.wikipedia.org/wiki/S2CID_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISSN,https://en.wikipedia.org/wiki/ISSN_(identifier)
PMC,https://en.wikipedia.org/wiki/PMC_(identifier)
PMID,https://en.wikipedia.org/wiki/PMID_(identifier)
