text,url
petroleum sector,https://en.wikipedia.org/wiki/Petroleum_industry
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
nominal per capita GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
Libya,https://en.wikipedia.org/wiki/Libya
Libyan Civil War,https://en.wikipedia.org/wiki/2011_Libyan_Civil_War
Second Libyan Civil War,https://en.wikipedia.org/wiki/Second_Libyan_Civil_War
per capita PPP GDP,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)_per_capita
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
man-hour,https://en.wikipedia.org/wiki/Man-hour
OPEC,https://en.wikipedia.org/wiki/OPEC
proven oil reserves,https://en.wikipedia.org/wiki/Proven_oil_reserves
Sirte Basin,https://en.wikipedia.org/wiki/Sirte_Basin
National Oil Corporation,https://en.wikipedia.org/wiki/National_Oil_Corporation
Waha Oil Company,https://en.wikipedia.org/wiki/Waha_Oil_Company
Agoco,https://en.wikipedia.org/wiki/Arabian_Gulf_Oil_Company
Sirte Oil Company,https://en.wikipedia.org/wiki/Sirte_Oil_Company
oil reserves,https://en.wikipedia.org/wiki/Oil_reserves
real GDP,https://en.wikipedia.org/wiki/Real_GDP
Iran and Libya Sanctions Act,https://en.wikipedia.org/wiki/Iran_and_Libya_Sanctions_Act
oil recovery,https://en.wikipedia.org/wiki/Petroleum_extraction
Oilinvest,https://en.wikipedia.org/wiki/Oilinvest
Agip,https://en.wikipedia.org/wiki/Agip
OMV,https://en.wikipedia.org/wiki/OMV
Repsol YPF,https://en.wikipedia.org/wiki/Repsol_YPF
Asian,https://en.wikipedia.org/wiki/Economy_of_Asia
South African,https://en.wikipedia.org/wiki/Economy_of_South_Africa
Repsol YPF,https://en.wikipedia.org/wiki/Repsol_YPF
Murzuq Basin,https://en.wikipedia.org/wiki/Murzuq_Basin
Norsk Hydro,https://en.wikipedia.org/wiki/Norsk_Hydro
Elephant field,https://en.wikipedia.org/wiki/Elephant_field
Lasmo,https://en.wikipedia.org/wiki/Lasmo
Amerada Hess,https://en.wikipedia.org/wiki/Amerada_Hess
refineries,https://en.wikipedia.org/wiki/Refineries
Ras Lanuf Refinery,https://en.wikipedia.org/wiki/Ras_Lanuf_Refinery
Pivot irrigation,https://en.wikipedia.org/wiki/Pivot_irrigation
Kufra,https://en.wikipedia.org/wiki/Kufra
Great Manmade River,https://en.wikipedia.org/wiki/Great_Manmade_River
agriculture,https://en.wikipedia.org/wiki/Agriculture
imports,https://en.wikipedia.org/wiki/Imports
Kufra,https://en.wikipedia.org/wiki/Kufra
Great Manmade River,https://en.wikipedia.org/wiki/Great_Manmade_River
desalinization,https://en.wikipedia.org/wiki/Desalinization
Ministry of Agriculture,https://en.wikipedia.org/wiki/Ministry_of_Agriculture
potato,https://en.wikipedia.org/wiki/Potato
watermelon,https://en.wikipedia.org/wiki/Watermelon
tomato,https://en.wikipedia.org/wiki/Tomato
olive,https://en.wikipedia.org/wiki/Olive
onion,https://en.wikipedia.org/wiki/Onion
date,https://en.wikipedia.org/wiki/Date_palm
wheat,https://en.wikipedia.org/wiki/Wheat
barley,https://en.wikipedia.org/wiki/Barley
vegetable,https://en.wikipedia.org/wiki/Vegetable
plum,https://en.wikipedia.org/wiki/Plum
orange,https://en.wikipedia.org/wiki/Orange_(fruit)
Libyan Civil War,https://en.wikipedia.org/wiki/2011_Libyan_Civil_War
urban,https://en.wikipedia.org/wiki/Urban_area
unemployment,https://en.wikipedia.org/wiki/Unemployment
labor market,https://en.wikipedia.org/wiki/Labor_market
Expatriate,https://en.wikipedia.org/wiki/Expatriate
Persian Gulf,https://en.wikipedia.org/wiki/Persian_Gulf
Maghreb,https://en.wikipedia.org/wiki/Maghreb
Chad,https://en.wikipedia.org/wiki/Chad
Sudan,https://en.wikipedia.org/wiki/Sudan
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
civil servants,https://en.wikipedia.org/wiki/Civil_servants
credit,https://en.wikipedia.org/wiki/Credit_(finance)
risk management,https://en.wikipedia.org/wiki/Risk_management
Central Bank of Libya,https://en.wikipedia.org/wiki/Central_Bank_of_Libya
interest rate,https://en.wikipedia.org/wiki/Interest_rate
liberalization,https://en.wikipedia.org/wiki/Liberalization
discount rate,https://en.wikipedia.org/wiki/Discount_window
Libyan Stock Exchange,https://en.wikipedia.org/wiki/Libyan_Stock_Exchange
Libya Oil Holdings,https://en.wikipedia.org/wiki/Libya_Oil_Holdings
Circle Oil,https://en.wikipedia.org/wiki/Circle_Oil
European Union,https://en.wikipedia.org/wiki/European_Union
Gaddafi regime,https://en.wikipedia.org/wiki/Gaddafi_regime
Cairo-Dakar Highway,https://en.wikipedia.org/wiki/Cairo-Dakar_Highway
Tripoli-Cape Town Highway,https://en.wikipedia.org/wiki/Tripoli-Cape_Town_Highway
The Economist,https://en.wikipedia.org/wiki/The_Economist
Energy Information Administration,https://en.wikipedia.org/wiki/Energy_Information_Administration
Reporters Without Borders,https://en.wikipedia.org/wiki/Reporters_Without_Borders
Transparency International,https://en.wikipedia.org/wiki/Transparency_International
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Equatorial Guinea,https://en.wikipedia.org/wiki/Equatorial_Guinea
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Energy Information Administration,https://en.wikipedia.org/wiki/Energy_Information_Administration
World Bank,https://en.wikipedia.org/wiki/World_Bank
USGS,https://en.wikipedia.org/wiki/USGS
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
Central Bank of Libya,https://en.wikipedia.org/wiki/Central_Bank_of_Libya
List of companies of Libya,https://en.wikipedia.org/wiki/List_of_companies_of_Libya
List of banks in Libya,https://en.wikipedia.org/wiki/List_of_banks_in_Libya
Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
Western Asia,https://en.wikipedia.org/wiki/United_Nations_Economic_and_Social_Commission_for_Western_Asia
