text,url
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
Mali,https://en.wikipedia.org/wiki/Mali
ten poorest nations of the world,https://en.wikipedia.org/wiki/List_of_countries_by_percentage_of_population_living_in_poverty
Heavily Indebted Poor Countries,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
World Bank,https://en.wikipedia.org/wiki/World_Bank
African Development Bank,https://en.wikipedia.org/wiki/African_Development_Bank
European Union,https://en.wikipedia.org/wiki/European_Union
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Warsaw Pact,https://en.wikipedia.org/wiki/Warsaw_Pact
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
mining,https://en.wikipedia.org/wiki/Mining
Niger River,https://en.wikipedia.org/wiki/Niger_River
Inner Niger Delta,https://en.wikipedia.org/wiki/Inner_Niger_Delta
Sikasso,https://en.wikipedia.org/wiki/Sikasso
isohyet,https://en.wikipedia.org/wiki/Isohyet
Bamako,https://en.wikipedia.org/wiki/Bamako
Mopti,https://en.wikipedia.org/wiki/Mopti
maize,https://en.wikipedia.org/wiki/Maize
rice,https://en.wikipedia.org/wiki/Rice
millet,https://en.wikipedia.org/wiki/Millet
sorghum,https://en.wikipedia.org/wiki/Sorghum
mango,https://en.wikipedia.org/wiki/Mango
cotton,https://en.wikipedia.org/wiki/Cotton
watermelon,https://en.wikipedia.org/wiki/Watermelon
onion,https://en.wikipedia.org/wiki/Onion
okra,https://en.wikipedia.org/wiki/Okra
sugar cane,https://en.wikipedia.org/wiki/Sugar_cane
peanuts,https://en.wikipedia.org/wiki/Peanut
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
potato,https://en.wikipedia.org/wiki/Potato
sheanut,https://en.wikipedia.org/wiki/Sheanut
cowpea,https://en.wikipedia.org/wiki/Cowpea
banana,https://en.wikipedia.org/wiki/Banana
cashew nuts,https://en.wikipedia.org/wiki/Cashew_nuts
beans,https://en.wikipedia.org/wiki/Beans
tomato,https://en.wikipedia.org/wiki/Tomato
pearl millet,https://en.wikipedia.org/wiki/Pearl_millet
Niger River,https://en.wikipedia.org/wiki/Niger_River
Guinea,https://en.wikipedia.org/wiki/Guinea
Ivory Coast,https://en.wikipedia.org/wiki/Ivory_Coast
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
pearl millet,https://en.wikipedia.org/wiki/Pearl_millet
maize,https://en.wikipedia.org/wiki/Maize
sorghum,https://en.wikipedia.org/wiki/Sorghum
Office du Niger,https://en.wikipedia.org/wiki/Office_du_Niger
Ségou,https://en.wikipedia.org/wiki/S%C3%A9gou
Mauritanian,https://en.wikipedia.org/wiki/Mauritania
Niger,https://en.wikipedia.org/wiki/Niger_River
Sorghum,https://en.wikipedia.org/wiki/Sorghum
cow's milk,https://en.wikipedia.org/wiki/Cow%27s_milk
camel,https://en.wikipedia.org/wiki/Camel
goat,https://en.wikipedia.org/wiki/Goat
sheep's milk,https://en.wikipedia.org/wiki/Sheep%27s_milk
beef,https://en.wikipedia.org/wiki/Beef
lamb meat,https://en.wikipedia.org/wiki/Lamb_meat
chicken meat,https://en.wikipedia.org/wiki/Chicken_meat
camels,https://en.wikipedia.org/wiki/Camel
Timbuktu,https://en.wikipedia.org/wiki/Timbuktu
pirogue,https://en.wikipedia.org/wiki/Pirogue
River Niger,https://en.wikipedia.org/wiki/River_Niger
drought,https://en.wikipedia.org/wiki/Drought
Taoudeni basin,https://en.wikipedia.org/wiki/Taoudeni_basin
Ghana,https://en.wikipedia.org/wiki/Ghana
Bambouk Mountains,https://en.wikipedia.org/wiki/Bambouk_Mountains
Kenieba Cercle,https://en.wikipedia.org/wiki/Kenieba_Cercle
Ghana Empire,https://en.wikipedia.org/wiki/Ghana_Empire
Salt mining,https://en.wikipedia.org/wiki/Salt_mining
Taoudenni,https://en.wikipedia.org/wiki/Taoudenni
Taghaza,https://en.wikipedia.org/wiki/Taghaza
Trans-Saharan trade,https://en.wikipedia.org/wiki/Trans-Saharan_trade
Roman Empire,https://en.wikipedia.org/wiki/Roman_Empire
International Development Association,https://en.wikipedia.org/wiki/International_Development_Association
gold,https://en.wikipedia.org/wiki/Gold
Ivorian Civil War,https://en.wikipedia.org/wiki/First_Ivorian_Civil_War
Sadiola,https://en.wikipedia.org/wiki/Sadiola_Gold_Mine
Yatela,https://en.wikipedia.org/wiki/Yatela_Mine
Randgold Resources,https://en.wikipedia.org/wiki/Randgold_Resources
Morila,https://en.wikipedia.org/wiki/Morila_Gold_Mine
Sadiola Gold Mine,https://en.wikipedia.org/wiki/Sadiola_Gold_Mine
Fourou,https://en.wikipedia.org/wiki/Fourou
Bamako,https://en.wikipedia.org/wiki/Bamako
U.S. Department of Labor,https://en.wikipedia.org/wiki/U.S._Department_of_Labor
