text,url
developing,https://en.wikipedia.org/wiki/Developing_country
mixed-market economy,https://en.wikipedia.org/wiki/Mixed-market_economy
13th largest in the world in nominal GDP terms,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
by purchasing power parity,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
1994 crisis,https://en.wikipedia.org/wiki/1994_economic_crisis_in_Mexico
macroeconomic fundamentals,https://en.wikipedia.org/wiki/Macroeconomics
Mexico,https://en.wikipedia.org/wiki/Mexico
2002 South American crisis,https://en.wikipedia.org/wiki/South_American_economic_crisis_of_2002
2008 recession,https://en.wikipedia.org/wiki/Late-2000s_recession
OECD,https://en.wikipedia.org/wiki/OECD
social security system,https://en.wikipedia.org/wiki/Social_welfare_in_Mexico
roughly 7.5% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
income inequality,https://en.wikipedia.org/wiki/Income_inequality
OECD,https://en.wikipedia.org/wiki/OECD
electricity generation,https://en.wikipedia.org/wiki/Electricity_sector_in_Mexico
export-oriented economy,https://en.wikipedia.org/wiki/Export-oriented_economy
free trade agreements,https://en.wikipedia.org/wiki/Free_trade_agreement
Central,https://en.wikipedia.org/wiki/Central_America
United States–Mexico–Canada Agreement,https://en.wikipedia.org/wiki/United_States%E2%80%93Mexico%E2%80%93Canada_Agreement
Congress,https://en.wikipedia.org/wiki/Congress_of_the_Union
Forbes Global 2000,https://en.wikipedia.org/wiki/Forbes_Global_2000
OECD,https://en.wikipedia.org/wiki/Organisation_for_Economic_Co-operation_and_Development
WTO,https://en.wikipedia.org/wiki/World_Trade_Organization
Porfirio Díaz,https://en.wikipedia.org/wiki/Porfirio_D%C3%ADaz
Porfiriato,https://en.wikipedia.org/wiki/Porfiriato
Porfirio Díaz,https://en.wikipedia.org/wiki/Porfirio_D%C3%ADaz
latifundios,https://en.wikipedia.org/wiki/Latifundia
haciendas,https://en.wikipedia.org/wiki/Hacienda
millions,https://en.wikipedia.org/wiki/1000000_(number)
Mexican Revolution,https://en.wikipedia.org/wiki/Mexican_Revolution
Mexican Miracle,https://en.wikipedia.org/wiki/Mexican_Miracle
import substitution industrialization,https://en.wikipedia.org/wiki/Import_substitution_industrialization
ejido,https://en.wikipedia.org/wiki/Ejido
social rights,"https://en.wikipedia.org/wiki/Economic,_social_and_cultural_rights"
1917 Constitution,https://en.wikipedia.org/wiki/Constitution_of_Mexico
labor unions,https://en.wikipedia.org/wiki/Labor_unions_in_Mexico
José López Portillo,https://en.wikipedia.org/wiki/Jos%C3%A9_L%C3%B3pez_Portillo
Luis Echeverría,https://en.wikipedia.org/wiki/Luis_Echeverr%C3%ADa
José López Portillo,https://en.wikipedia.org/wiki/Jos%C3%A9_L%C3%B3pez_Portillo
a period of oil price increases,https://en.wikipedia.org/wiki/1970s_energy_crisis
Pemex,https://en.wikipedia.org/wiki/Pemex
oil prices plunged,https://en.wikipedia.org/wiki/1980s_oil_glut
peso,https://en.wikipedia.org/wiki/Mexican_peso
Miguel de la Madrid,https://en.wikipedia.org/wiki/Miguel_de_la_Madrid
neoliberal,https://en.wikipedia.org/wiki/Neoliberalism
General Agreement on Tariffs and Trade,https://en.wikipedia.org/wiki/General_Agreement_on_Tariffs_and_Trade
Carlos Salinas de Gortari,https://en.wikipedia.org/wiki/Carlos_Salinas_de_Gortari
Telmex,https://en.wikipedia.org/wiki/Telmex
Carlos Slim,https://en.wikipedia.org/wiki/Carlos_Slim
Pemex,https://en.wikipedia.org/wiki/Pemex
North American Free Trade Agreement,https://en.wikipedia.org/wiki/North_American_Free_Trade_Agreement
Fidel Velázquez,https://en.wikipedia.org/wiki/Fidel_Vel%C3%A1zquez
Chiapas uprising,https://en.wikipedia.org/wiki/Zapatista_Army_of_National_Liberation
Luis Donaldo Colosio,https://en.wikipedia.org/wiki/Luis_Donaldo_Colosio
Attorney General,https://en.wikipedia.org/wiki/Attorney_General_(Mexico)
José Francisco Ruiz Massieu,https://en.wikipedia.org/wiki/Jos%C3%A9_Francisco_Ruiz_Massieu
economic crisis in December 1994,https://en.wikipedia.org/wiki/1994_economic_crisis_in_Mexico
international rescue package,https://en.wikipedia.org/wiki/Mexican_Debt_Disclosure_Act_of_1995
Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton
Ernesto Zedillo,https://en.wikipedia.org/wiki/Ernesto_Zedillo
Vicente Fox,https://en.wikipedia.org/wiki/Vicente_Fox
National Action Party (Mexico),https://en.wikipedia.org/wiki/National_Action_Party_(Mexico)
Institutional Revolutionary Party,https://en.wikipedia.org/wiki/Institutional_Revolutionary_Party
Telmex,https://en.wikipedia.org/wiki/Telmex
Carlos Slim,https://en.wikipedia.org/wiki/Carlos_Slim
Ferromex,https://en.wikipedia.org/wiki/Ferromex
German Larrea,https://en.wikipedia.org/wiki/Germ%C3%A1n_Larrea_Mota-Velasco
TV Azteca,https://en.wikipedia.org/wiki/TV_Azteca
port,https://en.wikipedia.org/wiki/Port
PPP,https://en.wikipedia.org/wiki/Purchasing_power_parity
PPP,https://en.wikipedia.org/wiki/Purchasing_power_parity
CPI,https://en.wikipedia.org/wiki/Consumer_price_index
Gini index,https://en.wikipedia.org/wiki/Gini_index
HDI,https://en.wikipedia.org/wiki/Human_Development_Index
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
billion,https://en.wikipedia.org/wiki/1000000000_(number)
billion,https://en.wikipedia.org/wiki/1000000000_(number)
MINT,https://en.wikipedia.org/wiki/MINT_(economics)
Gross National Income,https://en.wikipedia.org/wiki/Gross_National_Income
Brazil,https://en.wikipedia.org/wiki/Brazil
income per capita,https://en.wikipedia.org/wiki/Gross_National_Income
Mexican peso,https://en.wikipedia.org/wiki/Mexican_peso
ISO 4217,https://en.wikipedia.org/wiki/ISO_4217
1998 and 2006,https://en.wikipedia.org/wiki/Economic_history_of_Mexico#Peso.E2.80.93US_dollar_exchange_1970.E2.80.932016
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
"has devalued over %7,500 since 1910",https://en.wikipedia.org/wiki/Economic_history_of_Mexico#Peso.E2.80.93US_dollar_exchange_1970.E2.80.932016
OECD,https://en.wikipedia.org/wiki/OECD
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
