text,url
emerging,https://en.wikipedia.org/wiki/Emerging_market
Moldova,https://en.wikipedia.org/wiki/Moldova
Eastern European,https://en.wikipedia.org/wiki/Eastern_Europe
Ukraine,https://en.wikipedia.org/wiki/Ukraine
Romania,https://en.wikipedia.org/wiki/Romania
Soviet republic,https://en.wikipedia.org/wiki/Republics_of_the_Soviet_Union
candidate member,https://en.wikipedia.org/wiki/Potential_enlargement_of_the_European_Union
European Union,https://en.wikipedia.org/wiki/European_Union
market economy,https://en.wikipedia.org/wiki/Market_economy
inflation,https://en.wikipedia.org/wiki/Inflation
Moldovan leu,https://en.wikipedia.org/wiki/Moldovan_leu
Soviet rouble,https://en.wikipedia.org/wiki/Soviet_rouble
Remittances,https://en.wikipedia.org/wiki/Remittance
GDP,https://en.wikipedia.org/wiki/GDP
Black Sea,https://en.wikipedia.org/wiki/Black_Sea
Chernozem,https://en.wikipedia.org/wiki/Chernozem
wheat,https://en.wikipedia.org/wiki/Wheat
corn,https://en.wikipedia.org/wiki/Maize
barley,https://en.wikipedia.org/wiki/Barley
tobacco,https://en.wikipedia.org/wiki/Tobacco
sugar beet,https://en.wikipedia.org/wiki/Sugar_beet
soybeans,https://en.wikipedia.org/wiki/Soybean
dairy cattle,https://en.wikipedia.org/wiki/Dairy_cattle
liqueur,https://en.wikipedia.org/wiki/Liqueur
sparkling wine,https://en.wikipedia.org/wiki/Sparkling_wine
agriculture,https://en.wikipedia.org/wiki/Agriculture
GDP,https://en.wikipedia.org/wiki/GDP
wheat,https://en.wikipedia.org/wiki/Wheat
plum,https://en.wikipedia.org/wiki/Plum
potato,https://en.wikipedia.org/wiki/Potato
barley,https://en.wikipedia.org/wiki/Barley
maize,https://en.wikipedia.org/wiki/Maize
apple,https://en.wikipedia.org/wiki/Apple
sugar beet,https://en.wikipedia.org/wiki/Sugar_beet
sugar,https://en.wikipedia.org/wiki/Sugar
ethanol,https://en.wikipedia.org/wiki/Ethanol
grape,https://en.wikipedia.org/wiki/Grape
sunflower seed,https://en.wikipedia.org/wiki/Sunflower_seed
rapeseed,https://en.wikipedia.org/wiki/Rapeseed
grape,https://en.wikipedia.org/wiki/Grape
apple,https://en.wikipedia.org/wiki/Apple
plum,https://en.wikipedia.org/wiki/Plum
sunflower seed,https://en.wikipedia.org/wiki/Sunflower_seed
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
Russian rouble devaluation,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis
privatized,https://en.wikipedia.org/wiki/Privatization
stock market,https://en.wikipedia.org/wiki/Stock_market
Inflation,https://en.wikipedia.org/wiki/Inflation
Russia,https://en.wikipedia.org/wiki/Russia
National Bank of Moldova,https://en.wikipedia.org/wiki/National_Bank_of_Moldova
foreign exchange market,https://en.wikipedia.org/wiki/Foreign_exchange_market
leu,https://en.wikipedia.org/wiki/Moldovan_leu
US dollar,https://en.wikipedia.org/wiki/US_dollar
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
Eurobond,https://en.wikipedia.org/wiki/Eurobond_(international)
promissory notes,https://en.wikipedia.org/wiki/Promissory_note
Gazprom,https://en.wikipedia.org/wiki/Gazprom
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Ukraine,https://en.wikipedia.org/wiki/Ukraine
2006 Russian ban of Moldovan and Georgian wines,https://en.wikipedia.org/wiki/2006_Russian_ban_of_Moldovan_and_Georgian_wines
Investment,https://en.wikipedia.org/wiki/Investment_(macroeconomics)
FDI,https://en.wikipedia.org/wiki/Foreign_direct_investment
GDP,https://en.wikipedia.org/wiki/GDP
VAT,https://en.wikipedia.org/wiki/VAT
National Bank of Moldova,https://en.wikipedia.org/wiki/National_Bank_of_Moldova
FDI,https://en.wikipedia.org/wiki/Foreign_direct_investment
Eastern European,https://en.wikipedia.org/wiki/Eastern_Europe
Communist Party,https://en.wikipedia.org/wiki/Party_of_Communists_of_the_Republic_of_Moldova
Vladimir Voronin,https://en.wikipedia.org/wiki/Vladimir_Voronin
opposition,https://en.wikipedia.org/wiki/Opposition_(politics)
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Western,https://en.wikipedia.org/wiki/Western_world
investors,https://en.wikipedia.org/wiki/Investor
fiscal adjustment,https://en.wikipedia.org/wiki/Fiscal_adjustment
wage restraint,https://en.wikipedia.org/wiki/Incomes_policy
Transnistria,https://en.wikipedia.org/wiki/Transnistria
corruption,https://en.wikipedia.org/wiki/Political_corruption
arms,https://en.wikipedia.org/wiki/Weapon
contraband,https://en.wikipedia.org/wiki/Contraband
Index of Economic Freedom,https://en.wikipedia.org/wiki/Index_of_Economic_Freedom
Ease of Doing Business Index,https://en.wikipedia.org/wiki/Ease_of_Doing_Business_Index
Azerbaijan,https://en.wikipedia.org/wiki/Azerbaijan
Georgia,https://en.wikipedia.org/wiki/Georgia_(country)
CEFTA,https://en.wikipedia.org/wiki/CEFTA
CISFTA,https://en.wikipedia.org/wiki/Commonwealth_of_Independent_States_Free_Trade_Area
DCFTA,https://en.wikipedia.org/wiki/DCFTA
Turkey,https://en.wikipedia.org/wiki/Turkey
EFTA,https://en.wikipedia.org/wiki/EFTA
China,https://en.wikipedia.org/wiki/China
leu,https://en.wikipedia.org/wiki/Moldovan_leu
€,https://en.wikipedia.org/wiki/Euro
Chișinău,https://en.wikipedia.org/wiki/Chi%C8%99in%C4%83u
Northern Region,https://en.wikipedia.org/wiki/Northern_Development_Region
Central Region,https://en.wikipedia.org/wiki/Central_Development_Region
Southern Region,https://en.wikipedia.org/wiki/Southern_Development_Region
Gagauzia,https://en.wikipedia.org/wiki/Gagauzia
Moldova,https://en.wikipedia.org/wiki/Moldova
income tax,https://en.wikipedia.org/wiki/Income_tax
corporate tax,https://en.wikipedia.org/wiki/Corporate_tax
Air Moldova,https://en.wikipedia.org/wiki/Air_Moldova
Moldtelecom,https://en.wikipedia.org/wiki/Moldtelecom
National Bank of Moldova,https://en.wikipedia.org/wiki/National_Bank_of_Moldova
2014 Moldovan bank fraud scandal,https://en.wikipedia.org/wiki/2014_Moldovan_bank_fraud_scandal
