text,url
Monaco,https://en.wikipedia.org/wiki/Monaco
Mediterranean Sea,https://en.wikipedia.org/wiki/Mediterranean_Sea
Principality,https://en.wikipedia.org/wiki/Principality
income tax,https://en.wikipedia.org/wiki/Income_tax
tax haven,https://en.wikipedia.org/wiki/Tax_haven
monopolies,https://en.wikipedia.org/wiki/Monopoly
Monte Carlo Casino,https://en.wikipedia.org/wiki/Monte_Carlo_Casino
Monte Carlo Casino,https://en.wikipedia.org/wiki/Monte_Carlo_Casino
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
euro,https://en.wikipedia.org/wiki/Euro
Monegasque franc,https://en.wikipedia.org/wiki/Monegasque_franc
French franc,https://en.wikipedia.org/wiki/French_franc
Eurozone,https://en.wikipedia.org/wiki/Eurozone
its own euro coins,https://en.wikipedia.org/wiki/Monegasque_euro_coins
value-added tax,https://en.wikipedia.org/wiki/Value-added_tax
Oceanographic Museum,https://en.wikipedia.org/wiki/Oceanographic_Museum
Jacques-Yves Cousteau,https://en.wikipedia.org/wiki/Jacques-Yves_Cousteau
principality,https://en.wikipedia.org/wiki/Principality
Formula One,https://en.wikipedia.org/wiki/Formula_One
Arnaud Montebourg,https://en.wikipedia.org/wiki/Arnaud_Montebourg
Vincent Peillon,https://en.wikipedia.org/wiki/Vincent_Peillon
Organisation for Economic Co-operation and Development,https://en.wikipedia.org/wiki/OECD
Financial Action Task Force,https://en.wikipedia.org/wiki/Financial_Action_Task_Force
Société des bains de mer,https://en.wikipedia.org/wiki/Soci%C3%A9t%C3%A9_des_bains_de_mer_de_Monaco
UBS Monaco,https://en.wikipedia.org/wiki/UBS
auction house,https://en.wikipedia.org/wiki/Auction_house
Lagardère News,https://en.wikipedia.org/wiki/Lagard%C3%A8re_News
Department of Finance and Economy (Monaco),https://en.wikipedia.org/wiki/Department_of_Finance_and_Economy_(Monaco)
Economy of Europe,https://en.wikipedia.org/wiki/Economy_of_Europe
World Bank,https://en.wikipedia.org/wiki/World_Bank
Monaco Statistics,https://en.wikipedia.org/wiki/Monaco_Statistics
World Bank,https://en.wikipedia.org/wiki/World_Bank
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
Monaco Statistics,https://en.wikipedia.org/wiki/Monaco_Statistics
World Bank,https://en.wikipedia.org/wiki/World_Bank
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
