text,url
Mongolia,https://en.wikipedia.org/wiki/Mongolia
mineral,https://en.wikipedia.org/wiki/Mineral
copper,https://en.wikipedia.org/wiki/Copper
coal,https://en.wikipedia.org/wiki/Coal
molybdenum,https://en.wikipedia.org/wiki/Molybdenum
tin,https://en.wikipedia.org/wiki/Tin
tungsten,https://en.wikipedia.org/wiki/Tungsten
gold,https://en.wikipedia.org/wiki/Gold
Soviet,https://en.wikipedia.org/wiki/Soviet_Union
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
collapse of the Soviet Union,https://en.wikipedia.org/wiki/Collapse_of_the_Soviet_Union
recession,https://en.wikipedia.org/wiki/Recession
Economic growth,https://en.wikipedia.org/wiki/Economic_growth
natural disasters,https://en.wikipedia.org/wiki/Natural_disaster
copper,https://en.wikipedia.org/wiki/Copper
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Ulaanbaatar,https://en.wikipedia.org/wiki/Ulaanbaatar
market economy,https://en.wikipedia.org/wiki/Market_economy
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
former Soviet Union,https://en.wikipedia.org/wiki/Former_Soviet_Union
Council for Mutual Economic Assistance,https://en.wikipedia.org/wiki/Council_for_Mutual_Economic_Assistance
agriculture,https://en.wikipedia.org/wiki/Agriculture_in_Mongolia
petroleum,https://en.wikipedia.org/wiki/Petroleum
communist,https://en.wikipedia.org/wiki/Communist
Asia,https://en.wikipedia.org/wiki/Asia
the West,https://en.wikipedia.org/wiki/Western_world
tourism in Mongolia,https://en.wikipedia.org/wiki/Tourism_in_Mongolia
hard currency,https://en.wikipedia.org/wiki/Hard_currency
Privatization,https://en.wikipedia.org/wiki/Privatization
Tax reforms,https://en.wikipedia.org/wiki/Tax_reform
inflation,https://en.wikipedia.org/wiki/Inflation
unemployment,https://en.wikipedia.org/wiki/Unemployment
1997 Asian financial crisis,https://en.wikipedia.org/wiki/1997_Asian_financial_crisis
1998 Russian financial crisis,https://en.wikipedia.org/wiki/1998_Russian_financial_crisis
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
stock market,https://en.wikipedia.org/wiki/Stock_market
Zud,https://en.wikipedia.org/wiki/Zud
poverty,https://en.wikipedia.org/wiki/Poverty
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
USD,https://en.wikipedia.org/wiki/USD
Asian Wolf,https://en.wikipedia.org/wiki/Wolf_Economy
Rio Tinto,https://en.wikipedia.org/wiki/Rio_Tinto_(corporation)
Oyu Tolgoi,https://en.wikipedia.org/wiki/Oyu_Tolgoi_mine
Renaissance Capital,https://en.wikipedia.org/wiki/Renaissance_Capital_(Russian_company)
Asian tiger,https://en.wikipedia.org/wiki/Asian_tiger
Mongolian Stock Exchange,https://en.wikipedia.org/wiki/Mongolian_Stock_Exchange
Mongolian Stock Exchange,https://en.wikipedia.org/wiki/Mongolian_Stock_Exchange
Khan Bank,https://en.wikipedia.org/wiki/Khan_Bank
Golomt Bank,https://en.wikipedia.org/wiki/Golomt_Bank
Trade and Development Bank,https://en.wikipedia.org/wiki/Trade_and_Development_Bank_of_Mongolia
Internet,https://en.wikipedia.org/wiki/Internet
SMS,https://en.wikipedia.org/wiki/SMS
ING,https://en.wikipedia.org/wiki/ING
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Monet Investment Bank,https://en.wikipedia.org/wiki/Monet_Investment_Bank
BDSec,https://en.wikipedia.org/wiki/BDSec
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
urbanization,https://en.wikipedia.org/wiki/Urbanization
individual motorization,https://en.wikipedia.org/wiki/Societal_effects_of_cars
air pollution,https://en.wikipedia.org/wiki/Air_pollution
Deforestation,https://en.wikipedia.org/wiki/Deforestation
pastures,https://en.wikipedia.org/wiki/Pasture
soil erosion,https://en.wikipedia.org/wiki/Soil_erosion
Gini index,https://en.wikipedia.org/wiki/Gini_index
wheat,https://en.wikipedia.org/wiki/Wheat
barley,https://en.wikipedia.org/wiki/Barley
sheep,https://en.wikipedia.org/wiki/Sheep
goats,https://en.wikipedia.org/wiki/Goat
cattle,https://en.wikipedia.org/wiki/Cattle
camels,https://en.wikipedia.org/wiki/Camel
coal,https://en.wikipedia.org/wiki/Coal
copper,https://en.wikipedia.org/wiki/Copper
molybdenum,https://en.wikipedia.org/wiki/Molybdenum
fluorspar,https://en.wikipedia.org/wiki/Fluorspar
gold,https://en.wikipedia.org/wiki/Gold
nonferrous metals,https://en.wikipedia.org/wiki/Nonferrous_metals
sugar,https://en.wikipedia.org/wiki/Sugar
tea,https://en.wikipedia.org/wiki/Tea
tugriks,https://en.wikipedia.org/wiki/Tugrik
Mongolia and the International Monetary Fund,https://en.wikipedia.org/wiki/Mongolia_and_the_International_Monetary_Fund
Agriculture in Mongolia,https://en.wikipedia.org/wiki/Agriculture_in_Mongolia
Mining in Mongolia,https://en.wikipedia.org/wiki/Mining_in_Mongolia
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
