text,url
economy,https://en.wikipedia.org/wiki/Economy
Morocco,https://en.wikipedia.org/wiki/Morocco
market economy,https://en.wikipedia.org/wiki/Market_economy
law of supply and demand,https://en.wikipedia.org/wiki/Supply_and_demand
Morocco,https://en.wikipedia.org/wiki/Morocco
privatisation,https://en.wikipedia.org/wiki/Privatisation
African,https://en.wikipedia.org/wiki/Africa
6th largest African economy,https://en.wikipedia.org/wiki/List_of_African_countries_by_GDP_(PPP)
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
World Economic Forum,https://en.wikipedia.org/wiki/World_Economic_Forum
North Africa,https://en.wikipedia.org/wiki/North_Africa
Moroccan government,https://en.wikipedia.org/wiki/Politics_of_Morocco
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
Paris Club,https://en.wikipedia.org/wiki/Paris_Club
Moroccan dirham,https://en.wikipedia.org/wiki/Moroccan_dirham
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
tourism,https://en.wikipedia.org/wiki/Tourism_in_Morocco
Moroccan population,https://en.wikipedia.org/wiki/Demographics_of_Morocco
semi-arid climate,https://en.wikipedia.org/wiki/Semi-arid_climate
agriculture,https://en.wikipedia.org/wiki/Agriculture
phosphate minerals,https://en.wikipedia.org/wiki/Phosphate_minerals
tourism,https://en.wikipedia.org/wiki/Tourism
seafood,https://en.wikipedia.org/wiki/Seafood
Industry,https://en.wikipedia.org/wiki/Industrial_sector
United States,https://en.wikipedia.org/wiki/United_States
China,https://en.wikipedia.org/wiki/China
remittances,https://en.wikipedia.org/wiki/Remittance
independence,https://en.wikipedia.org/wiki/Independence
petroleum,https://en.wikipedia.org/wiki/Petroleum
structural unemployment,https://en.wikipedia.org/wiki/Structural_unemployment
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
Algeria,https://en.wikipedia.org/wiki/Algeria
Tunisia,https://en.wikipedia.org/wiki/Tunisia
Oxfam,https://en.wikipedia.org/wiki/Oxfam
automotive,https://en.wikipedia.org/wiki/Automotive_industry
aeronautics,https://en.wikipedia.org/wiki/Aeronautics
Bank Al-Maghrib,https://en.wikipedia.org/wiki/Bank_Al-Maghrib
current account,https://en.wikipedia.org/wiki/Transaction_account
remittances,https://en.wikipedia.org/wiki/Remittance
green hydrogen,https://en.wikipedia.org/wiki/Green_hydrogen
GDP per capita,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
History ofMorocco,https://en.wikipedia.org/wiki/History_of_Morocco
Prehistory,https://en.wikipedia.org/wiki/Prehistoric_North_Africa
Acheulean,https://en.wikipedia.org/wiki/Acheulean
Mousterian,https://en.wikipedia.org/wiki/Mousterian
Aterian,https://en.wikipedia.org/wiki/Aterian
Iberomaurusian,https://en.wikipedia.org/wiki/Iberomaurusian
Capsian,https://en.wikipedia.org/wiki/Capsian_culture
Classical to Late Antiquity(8th century BC – 7th century AD),https://en.wikipedia.org/wiki/North_Africa_during_classical_antiquity
Carthaginian,https://en.wikipedia.org/wiki/Ancient_Carthage
Roman,https://en.wikipedia.org/wiki/Ancient_Rome
Mauretania,https://en.wikipedia.org/wiki/Mauretania
Mauretania Tingitana,https://en.wikipedia.org/wiki/Mauretania_Tingitana
Exarchate of Africa,https://en.wikipedia.org/wiki/Exarchate_of_Africa
Early Islamic(8th–10th century AD),https://en.wikipedia.org/wiki/History_of_Morocco#Early_Islamic_Morocco_(c._700_–_c._743)
Muslim conquest,https://en.wikipedia.org/wiki/Muslim_conquest_of_the_Maghreb
Umayyad Caliphate,https://en.wikipedia.org/wiki/Umayyad_Caliphate
Berber Revolt,https://en.wikipedia.org/wiki/Berber_Revolt
Emirate of Nekor,https://en.wikipedia.org/wiki/Kingdom_of_Nekor
Emirate of Sijilmasa,https://en.wikipedia.org/wiki/Sijilmasa#History
Barghwata confederacy,https://en.wikipedia.org/wiki/Barghawata
Idrisid dynasty,https://en.wikipedia.org/wiki/Idrisid_dynasty
Territorial fragmentation(10th–11th century AD),"https://en.wikipedia.org/wiki/History_of_Morocco#Fatimids,_Umayyads_and_Zenata_warlords_(c._900_–_c._1060)"
Caliphate of Córdoba,https://en.wikipedia.org/wiki/Caliphate_of_C%C3%B3rdoba
Fatimid Caliphate,https://en.wikipedia.org/wiki/Fatimid_Caliphate
Ifranids,https://en.wikipedia.org/wiki/Banu_Ifran
Miknasas,https://en.wikipedia.org/wiki/Miknasa
Maghrawas,https://en.wikipedia.org/wiki/Maghrawa
Arab migrations to the Maghreb,https://en.wikipedia.org/wiki/Arab_migrations_to_the_Maghreb
Empire(beginning 11th century AD),https://en.wikipedia.org/wiki/List_of_rulers_of_Morocco
Almoravids,https://en.wikipedia.org/wiki/Almoravid_dynasty
Almohads,https://en.wikipedia.org/wiki/Almohad_Caliphate
Marinids,https://en.wikipedia.org/wiki/Marinid_dynasty
Wattasids,https://en.wikipedia.org/wiki/Wattasid_dynasty
Saadis,https://en.wikipedia.org/wiki/Saadi_dynasty
Alawis,https://en.wikipedia.org/wiki/Alawi_Sultanate
Zawiya Dila'iya,https://en.wikipedia.org/wiki/Zawiya_Dila%27iya
Principality of Debdou,https://en.wikipedia.org/wiki/Principality_of_Debdou
Republic of Salé,https://en.wikipedia.org/wiki/Republic_of_Sal%C3%A9
Decline(beginning 19th century AD),https://en.wikipedia.org/wiki/History_of_Morocco#European_influence_(c._1830_–_1956)
Franco-Moroccan War,https://en.wikipedia.org/wiki/Franco-Moroccan_War
Anglo-Moroccan Treaty of 1856,https://en.wikipedia.org/wiki/Anglo-Moroccan_Treaty_of_1856
Hispano-Moroccan War,https://en.wikipedia.org/wiki/Hispano-Moroccan_War_(1859%E2%80%9360)
Protégé system,https://en.wikipedia.org/wiki/Prot%C3%A9g%C3%A9_system
Treaty of Wad Ras,https://en.wikipedia.org/wiki/Treaty_of_Wad_Ras
Treaty of Madrid,https://en.wikipedia.org/wiki/Treaty_of_Madrid_(1880)
Tangier Crisis,https://en.wikipedia.org/wiki/First_Moroccan_Crisis
Treaty of Algeciras,https://en.wikipedia.org/wiki/Treaty_of_Algeciras
Agadir Crisis,https://en.wikipedia.org/wiki/Agadir_Crisis
Hafidiya,https://en.wikipedia.org/wiki/Hafidiya
Bombardment of Casablanca (1907),https://en.wikipedia.org/wiki/Bombardment_of_Casablanca_(1907)
French conquest of Morocco,https://en.wikipedia.org/wiki/French_conquest_of_Morocco
Protectorate(1912–1956),https://en.wikipedia.org/wiki/History_of_Morocco#French_and_Spanish_protectorate_(1912–1956)
Treaty of Fez,https://en.wikipedia.org/wiki/Treaty_of_Fez
French protectorate,https://en.wikipedia.org/wiki/French_protectorate_of_Morocco
Spanish protectorate,https://en.wikipedia.org/wiki/Spanish_protectorate_of_Morocco
French Conquest,https://en.wikipedia.org/wiki/French_conquest_of_Morocco
Zaian War,https://en.wikipedia.org/wiki/Zaian_War
Rif War,https://en.wikipedia.org/wiki/Rif_War
Tangier International Zone,https://en.wikipedia.org/wiki/Tangier_International_Zone
Emigration of Moroccan Jews,https://en.wikipedia.org/wiki/Migration_of_Moroccan_Jews_to_Israel
Opposition to European control,https://en.wikipedia.org/wiki/History_of_Morocco#Opposition_to_European_control
Revolution of the King and the People,https://en.wikipedia.org/wiki/Revolution_of_the_King_and_the_People
Modern(1956–present),https://en.wikipedia.org/wiki/History_of_Morocco#Independent_Morocco_(since_1956)
Ifni War,https://en.wikipedia.org/wiki/Ifni_War
Sand War,https://en.wikipedia.org/wiki/Sand_War
Moroccanization,https://en.wikipedia.org/wiki/Moroccanization
Coup d'état attempt in 1971,https://en.wikipedia.org/wiki/1971_Moroccan_coup_d%27%C3%A9tat_attempt
in 1972,https://en.wikipedia.org/wiki/1972_Moroccan_coup_d%27%C3%A9tat_attempt
Moulay Bouazza plot,https://en.wikipedia.org/wiki/Moulay_Bouazza_plot
Years of lead,https://en.wikipedia.org/wiki/Years_of_Lead_(Morocco)
Madrid Accords,https://en.wikipedia.org/wiki/Madrid_Accords
Green March,https://en.wikipedia.org/wiki/Green_March
Western Sahara War,https://en.wikipedia.org/wiki/Western_Sahara_War
2011–2012 protests,https://en.wikipedia.org/wiki/2011%E2%80%932012_Moroccan_protests
Hirak Rif Movement,https://en.wikipedia.org/wiki/Hirak_Rif_Movement
Abraham Accords,https://en.wikipedia.org/wiki/Abraham_Accords
Western Saharan clashes (2020–present),https://en.wikipedia.org/wiki/Western_Saharan_clashes_(2020%E2%80%93present)
Morocco in the1970s,https://en.wikipedia.org/wiki/1970s_in_Morocco
1990s,https://en.wikipedia.org/wiki/1990s_in_Morocco
2000s,https://en.wikipedia.org/wiki/2000s_in_Morocco
Jewish,https://en.wikipedia.org/wiki/History_of_the_Jews_in_Morocco
Economic,https://en.wikipedia.org/wiki/Economic_history_of_Morocco
Military,https://en.wikipedia.org/wiki/Military_history_of_Morocco
Postal,https://en.wikipedia.org/wiki/Postage_stamps_and_postal_history_of_Morocco
Imperial cities,https://en.wikipedia.org/wiki/Imperial_cities_of_Morocco
unemployment,https://en.wikipedia.org/wiki/Unemployment
Hassan II,https://en.wikipedia.org/wiki/Hassan_II
Casablanca,https://en.wikipedia.org/wiki/Casablanca
Kénitra,https://en.wikipedia.org/wiki/K%C3%A9nitra
Drought,https://en.wikipedia.org/wiki/Drought
external debt,https://en.wikipedia.org/wiki/External_debt
freer trade,https://en.wikipedia.org/wiki/Morocco_and_the_European_Union
EU,https://en.wikipedia.org/wiki/European_Union
foreign investment,https://en.wikipedia.org/wiki/Investment_in_Morocco
Macroeconomic,https://en.wikipedia.org/wiki/Macroeconomics
economic growth,https://en.wikipedia.org/wiki/Economic_growth
agricultural,https://en.wikipedia.org/wiki/Agriculture
oil,https://en.wikipedia.org/wiki/Oil_exploration
privatizations,https://en.wikipedia.org/wiki/Privatization
poverty,https://en.wikipedia.org/wiki/Poverty
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
inflation,https://en.wikipedia.org/wiki/Inflation
industrial country,https://en.wikipedia.org/wiki/Developed_country
dirham,https://en.wikipedia.org/wiki/Moroccan_dirham
Foreign exchange reserves,https://en.wikipedia.org/wiki/Foreign_exchange_reserves
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
Economic growth,https://en.wikipedia.org/wiki/Economic_growth
rainfall,https://en.wikipedia.org/wiki/Rainfall
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
population,https://en.wikipedia.org/wiki/Demographics_of_Morocco
droughts,https://en.wikipedia.org/wiki/Drought
real estate,https://en.wikipedia.org/wiki/Real_estate
Maroc Telecom,https://en.wikipedia.org/wiki/Maroc_Telecom
oil and gas exploration,https://en.wikipedia.org/wiki/Oil_and_gas_exploration
public services,https://en.wikipedia.org/wiki/Public_services
Casablanca,https://en.wikipedia.org/wiki/Casablanca
Tangier,https://en.wikipedia.org/wiki/Tangier
agriculture sector,https://en.wikipedia.org/wiki/Agriculture_in_Morocco
IMF,https://en.wikipedia.org/wiki/IMF
region,https://en.wikipedia.org/wiki/Maghreb
King Mohammed VI,https://en.wikipedia.org/wiki/King_Mohammed_VI
Central Bank,https://en.wikipedia.org/wiki/Bank_Al-Maghrib
monetary policy,https://en.wikipedia.org/wiki/Monetary_policy
GDP,https://en.wikipedia.org/wiki/GDP
drought,https://en.wikipedia.org/wiki/Drought
Inflation,https://en.wikipedia.org/wiki/Inflation
global economic,https://en.wikipedia.org/wiki/World_economy
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Bank Al-Maghrib,https://en.wikipedia.org/wiki/Bank_Al-Maghrib
Maghreb,https://en.wikipedia.org/wiki/Maghreb
Maghreb,https://en.wikipedia.org/wiki/Maghreb
Algerian GDP growth,https://en.wikipedia.org/wiki/Economy_of_Algeria
Tunisian GDP growth,https://en.wikipedia.org/wiki/Economy_of_Tunisia
King Mohammed VI,https://en.wikipedia.org/wiki/King_Mohammed_VI
agriculture sector,https://en.wikipedia.org/wiki/Agriculture_in_Morocco
agricultural campaign,https://en.wikipedia.org/wiki/Agriculture_in_Morocco
Arab Fund for Economic and Social Development,https://en.wikipedia.org/wiki/Arab_Fund_for_Economic_and_Social_Development
Eurozone,https://en.wikipedia.org/wiki/Eurozone
poverty,https://en.wikipedia.org/wiki/Poverty
unemployment,https://en.wikipedia.org/wiki/Unemployment
droughts,https://en.wikipedia.org/wiki/Drought
Agriculture,https://en.wikipedia.org/wiki/Agriculture
olives,https://en.wikipedia.org/wiki/Olives
citrus fruits,https://en.wikipedia.org/wiki/Citrus_fruits
wine grapes,https://en.wikipedia.org/wiki/Wine_grapes
Livestock,https://en.wikipedia.org/wiki/Livestock
Agadir,https://en.wikipedia.org/wiki/Agadir
Essaouira,https://en.wikipedia.org/wiki/Essaouira
El Jadida,https://en.wikipedia.org/wiki/El_Jadida
Larache,https://en.wikipedia.org/wiki/Larache
barley,https://en.wikipedia.org/wiki/Barley
wheat,https://en.wikipedia.org/wiki/Wheat
irrigation,https://en.wikipedia.org/wiki/Irrigation
wheat,https://en.wikipedia.org/wiki/Wheat
sugar beet,https://en.wikipedia.org/wiki/Sugar_beet
sugar,https://en.wikipedia.org/wiki/Sugar
ethanol,https://en.wikipedia.org/wiki/Ethanol
barley,https://en.wikipedia.org/wiki/Barley
potatoes,https://en.wikipedia.org/wiki/Potato
olives,https://en.wikipedia.org/wiki/Olive
tomatoes,https://en.wikipedia.org/wiki/Tomato
tangerines,https://en.wikipedia.org/wiki/Tangerine
oranges,https://en.wikipedia.org/wiki/Orange_(fruit)
onions,https://en.wikipedia.org/wiki/Onion
watermelons,https://en.wikipedia.org/wiki/Watermelon
apples,https://en.wikipedia.org/wiki/Apple
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
melons,https://en.wikipedia.org/wiki/Melon
carrots,https://en.wikipedia.org/wiki/Carrot
grapes,https://en.wikipedia.org/wiki/Grape
bananas,https://en.wikipedia.org/wiki/Banana
chilli peppers,https://en.wikipedia.org/wiki/Chilli_pepper
fig,https://en.wikipedia.org/wiki/Common_fig
Mediterranean climate,https://en.wikipedia.org/wiki/Mediterranean_climate
Gharb plain,https://en.wikipedia.org/wiki/Gharb_Basin
drought,https://en.wikipedia.org/wiki/Drought
cannabis,https://en.wikipedia.org/wiki/Cannabis_(drug)
hashish,https://en.wikipedia.org/wiki/Hashish
GDP,https://en.wikipedia.org/wiki/GDP
cannabis cultivation,https://en.wikipedia.org/wiki/Cannabis_cultivation
1988 UN Drug Convention,https://en.wikipedia.org/wiki/1988_UN_Drug_Convention
International Narcotics Control Board,https://en.wikipedia.org/wiki/International_Narcotics_Control_Board
Rif,https://en.wikipedia.org/wiki/Rif
Istiqlal Party,https://en.wikipedia.org/wiki/Istiqlal_Party
Authenticity and Modernity Party,https://en.wikipedia.org/wiki/Authenticity_and_Modernity_Party
largest fish market,https://en.wikipedia.org/wiki/Fishing_industry_by_country
Marrakech,https://en.wikipedia.org/wiki/Marrakech
raw materials,https://en.wikipedia.org/wiki/Raw_materials
colonial period,https://en.wikipedia.org/wiki/French_Morocco
investment,https://en.wikipedia.org/wiki/Investment_in_Morocco
fertilizers,https://en.wikipedia.org/wiki/Fertilizers
phosphoric acid,https://en.wikipedia.org/wiki/Phosphoric_acid
textiles,https://en.wikipedia.org/wiki/Textiles
petroleum refining,https://en.wikipedia.org/wiki/Petroleum_refining
Textiles,https://en.wikipedia.org/wiki/Textiles
European Union,https://en.wikipedia.org/wiki/European_Union
France,https://en.wikipedia.org/wiki/France
European Union,https://en.wikipedia.org/wiki/European_Union
United States,https://en.wikipedia.org/wiki/United_States
Turkey,https://en.wikipedia.org/wiki/Turkey
Services,https://en.wikipedia.org/wiki/Service_(economics)
military expenditures,https://en.wikipedia.org/wiki/Military_expenditure
GDP,https://en.wikipedia.org/wiki/GDP
tourism,https://en.wikipedia.org/wiki/Tourism_in_Morocco
Europe,https://en.wikipedia.org/wiki/Europe
Algeria,https://en.wikipedia.org/wiki/Algeria
United States,https://en.wikipedia.org/wiki/United_States
East Asia,https://en.wikipedia.org/wiki/East_Asia
Japan,https://en.wikipedia.org/wiki/Japan
Malabata,https://en.wikipedia.org/wiki/Malabata
Tourism,https://en.wikipedia.org/wiki/Tourism
economic output,https://en.wikipedia.org/wiki/Economic_output
current account balance,https://en.wikipedia.org/wiki/Current_account_(balance_of_payments)
Marrakech,https://en.wikipedia.org/wiki/Marrakech
Fez,"https://en.wikipedia.org/wiki/Fes,_Morocco"
France,https://en.wikipedia.org/wiki/France
Casablanca,https://en.wikipedia.org/wiki/Casablanca
Plan Azur,https://en.wikipedia.org/wiki/Plan_Azur
Mohammed VI,https://en.wikipedia.org/wiki/Mohammed_VI_of_Morocco
Atlantic coast,https://en.wikipedia.org/wiki/Atlantic_Ocean
Mediterranean,https://en.wikipedia.org/wiki/Mediterranean_Sea
offshoring sector,https://en.wikipedia.org/wiki/Offshoring
multinational companies,https://en.wikipedia.org/wiki/Multinational_corporation
Europe,https://en.wikipedia.org/wiki/European_Union
Bank Al-Maghrib,https://en.wikipedia.org/wiki/Bank_Al-Maghrib
agricultural sector,https://en.wikipedia.org/wiki/Agriculture_in_Morocco
government debt,https://en.wikipedia.org/wiki/Government_debt
credit rating agency,https://en.wikipedia.org/wiki/Credit_rating_agency
GDP,https://en.wikipedia.org/wiki/GDP
Egypt,https://en.wikipedia.org/wiki/Egypt
EU,https://en.wikipedia.org/wiki/European_Union
microwave radio,https://en.wikipedia.org/wiki/Microwave_radio
internet,https://en.wikipedia.org/wiki/Internet
Casablanca,https://en.wikipedia.org/wiki/Casablanca
Rabat,https://en.wikipedia.org/wiki/Rabat
fiber-optic,https://en.wikipedia.org/wiki/Fiber-optic
Intelsat,https://en.wikipedia.org/wiki/Intelsat
