text,url
Mozambique,https://en.wikipedia.org/wiki/Mozambique
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Mozambican Civil War,https://en.wikipedia.org/wiki/Mozambican_Civil_War
Inflation,https://en.wikipedia.org/wiki/Inflation
value-added tax,https://en.wikipedia.org/wiki/Value-added_tax
budget,https://en.wikipedia.org/wiki/Budget
Subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
Mozal,https://en.wikipedia.org/wiki/Mozal
aluminium,https://en.wikipedia.org/wiki/Aluminium
titanium,https://en.wikipedia.org/wiki/Titanium
foreign debt,https://en.wikipedia.org/wiki/Foreign_debt
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Heavily Indebted Poor Countries,https://en.wikipedia.org/wiki/Heavily_Indebted_Poor_Countries
least developed country,https://en.wikipedia.org/wiki/Least_developed_countries
United Nations,https://en.wikipedia.org/wiki/United_Nations
Portuguese,https://en.wikipedia.org/wiki/Portuguese_people
East Africa,https://en.wikipedia.org/wiki/East_Africa
hegemonic,https://en.wikipedia.org/wiki/Hegemony
Lourenço Marques,https://en.wikipedia.org/wiki/Maputo
Beira,"https://en.wikipedia.org/wiki/Beira,_Mozambique"
Vila Pery,https://en.wikipedia.org/wiki/Vila_Pery
Vila Junqueiro,https://en.wikipedia.org/wiki/Vila_Junqueiro
Vila Cabral,https://en.wikipedia.org/wiki/Vila_Cabral
Porto Amélia,https://en.wikipedia.org/wiki/Porto_Am%C3%A9lia
Quelimane,https://en.wikipedia.org/wiki/Quelimane
Nampula,https://en.wikipedia.org/wiki/Nampula
Sofala,https://en.wikipedia.org/wiki/Sofala
Mozambique Company,https://en.wikipedia.org/wiki/Mozambique_Company
Niassa Company,https://en.wikipedia.org/wiki/Niassa_Company
Lisbon,https://en.wikipedia.org/wiki/Lisbon
Portugal,https://en.wikipedia.org/wiki/Portugal
cotton,https://en.wikipedia.org/wiki/Cotton
cashews,https://en.wikipedia.org/wiki/Cashews
tea,https://en.wikipedia.org/wiki/Tea
rice,https://en.wikipedia.org/wiki/Rice
António de Oliveira Salazar,https://en.wikipedia.org/wiki/Ant%C3%B3nio_de_Oliveira_Salazar
Tanzania,https://en.wikipedia.org/wiki/Tanzania
cotton,https://en.wikipedia.org/wiki/Cotton
cashew nuts,https://en.wikipedia.org/wiki/Cashew_nut
tea,https://en.wikipedia.org/wiki/Tea
sugar,https://en.wikipedia.org/wiki/Sugar
copra,https://en.wikipedia.org/wiki/Copra
sisal,https://en.wikipedia.org/wiki/Sisal
foreign direct investment,https://en.wikipedia.org/wiki/Foreign_direct_investment
coal,https://en.wikipedia.org/wiki/Coal
Mozambique Company,https://en.wikipedia.org/wiki/Mozambique_Company
Banco Nacional Ultramarino,https://en.wikipedia.org/wiki/Banco_Nacional_Ultramarino
Barclays Bank,https://en.wikipedia.org/wiki/Barclays_Bank
Standard Bank,https://en.wikipedia.org/wiki/Standard_Bank
Banco Totta & Açores,https://en.wikipedia.org/wiki/Banco_Totta_%26_A%C3%A7ores
openness of the economy,https://en.wikipedia.org/wiki/Open_economy
mainland,https://en.wikipedia.org/wiki/Mainland_Portugal
Coca-Cola,https://en.wikipedia.org/wiki/Coca-Cola
Cahora Bassa,https://en.wikipedia.org/wiki/Cahora_Bassa
FRELIMO,https://en.wikipedia.org/wiki/FRELIMO
Mozambican War of Independence,https://en.wikipedia.org/wiki/Mozambican_War_of_Independence
left-wing government,https://en.wikipedia.org/wiki/Movimento_das_For%C3%A7as_Armadas
leftist military coup of 24 April 1974 in Portugal,https://en.wikipedia.org/wiki/Carnation_Revolution
Estado Novo,https://en.wikipedia.org/wiki/Estado_Novo_(Portugal)
colonial wars,https://en.wikipedia.org/wiki/Portuguese_Colonial_War
