text,url
centrally planned economy,https://en.wikipedia.org/wiki/Central_planning
Juche,https://en.wikipedia.org/wiki/Juche
market allocation schemes,https://en.wikipedia.org/wiki/Market_allocation_scheme
North Korea,https://en.wikipedia.org/wiki/North_Korea
planned economy,https://en.wikipedia.org/wiki/Planned_economy
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
economic liberalization,https://en.wikipedia.org/wiki/North_Korean_economic_reform
Kim Jong Un,https://en.wikipedia.org/wiki/Kim_Jong_Un
Jangmadang,https://en.wikipedia.org/wiki/Jangmadang
COVID-19 pandemic,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_North_Korea
collapse,https://en.wikipedia.org/wiki/Revolutions_of_1989
Eastern Bloc,https://en.wikipedia.org/wiki/Eastern_Bloc
Soviet Union,https://en.wikipedia.org/wiki/Soviet_Union
China,https://en.wikipedia.org/wiki/China
autarky,https://en.wikipedia.org/wiki/Autarky
international sanctions,https://en.wikipedia.org/wiki/International_sanctions_against_North_Korea
state-owned industry,https://en.wikipedia.org/wiki/State-owned_enterprise
collective farms,https://en.wikipedia.org/wiki/Collective_farming
South Korea,https://en.wikipedia.org/wiki/South_Korea
Korean War,https://en.wikipedia.org/wiki/Korean_War
GDP,https://en.wikipedia.org/wiki/Gross_domestic_product
Ministry of Unification,https://en.wikipedia.org/wiki/Ministry_of_Unification
8th Congress of the Workers' Party of Korea,https://en.wikipedia.org/wiki/8th_Congress_of_the_Workers%27_Party_of_Korea
North Korean won,https://en.wikipedia.org/wiki/North_Korean_won
Bank of Korea,https://en.wikipedia.org/wiki/Bank_of_Korea
Bank of Korea,https://en.wikipedia.org/wiki/Bank_of_Korea
Andrei Lankov,https://en.wikipedia.org/wiki/Andrei_Lankov
government budget,https://en.wikipedia.org/wiki/Government_budget
Heritage Foundation,https://en.wikipedia.org/wiki/The_Heritage_Foundation
officially annexing it,https://en.wikipedia.org/wiki/Japan%E2%80%93Korea_Treaty_of_1910
Province of Choson,https://en.wikipedia.org/wiki/Korea_under_Japanese_rule
Japanese colonial administration,https://en.wikipedia.org/wiki/Korea_under_Japanese_rule
Second World War,https://en.wikipedia.org/wiki/World_War_II
division of Korea,https://en.wikipedia.org/wiki/Division_of_Korea
Soviet,https://en.wikipedia.org/wiki/Soviet_Civil_Administration
American military,https://en.wikipedia.org/wiki/United_States_Army_Military_Government_in_Korea
Korean War,https://en.wikipedia.org/wiki/Korean_War
division of the Korean Peninsula,https://en.wikipedia.org/wiki/Division_of_Korea
heavy industry,https://en.wikipedia.org/wiki/Heavy_industry
Charles K. Armstrong,https://en.wikipedia.org/wiki/Charles_K._Armstrong
postwar,https://en.wikipedia.org/wiki/Post-war
defaulted,https://en.wikipedia.org/wiki/Default_(finance)
hard-currency,https://en.wikipedia.org/wiki/Hard_currency
Hungary,https://en.wikipedia.org/wiki/Hungary
Czech Republic,https://en.wikipedia.org/wiki/Czech_Republic
Iran,https://en.wikipedia.org/wiki/Iran
GNP,https://en.wikipedia.org/wiki/Gross_national_product
Kim Jong Il,https://en.wikipedia.org/wiki/Kim_Jong_Il
working capital,https://en.wikipedia.org/wiki/Working_capital
Central Bank,https://en.wikipedia.org/wiki/Central_Bank_of_the_Democratic_People%27s_Republic_of_Korea
Pyongyang,https://en.wikipedia.org/wiki/Pyongyang
international tourism,https://en.wikipedia.org/wiki/International_tourism
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
Thirteenth World Festival of Youth and Students,https://en.wikipedia.org/wiki/13th_World_Festival_of_Youth_and_Students
South P'yŏngan,https://en.wikipedia.org/wiki/South_Pyongan
Mao Zedong,https://en.wikipedia.org/wiki/Mao_Zedong
on-the-spot guidance,https://en.wikipedia.org/wiki/On-the-spot_guidance
bureaucratism,https://en.wikipedia.org/wiki/Bureaucracy
Workers' Party of Korea,https://en.wikipedia.org/wiki/Workers%27_Party_of_Korea
Marxist,https://en.wikipedia.org/wiki/Marxism
Kim Il Sung,https://en.wikipedia.org/wiki/Kim_Il_Sung
Onsŏng County,https://en.wikipedia.org/wiki/Onsong
industrial management system,https://en.wikipedia.org/wiki/Industrial_organization
Ch'ŏllima Movement,https://en.wikipedia.org/wiki/Chollima_Movement
Great Leap Forward,https://en.wikipedia.org/wiki/Great_Leap_Forward
socialist emulation,https://en.wikipedia.org/wiki/Socialist_emulation
