text,url
highly developed,https://en.wikipedia.org/wiki/Developed_country
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
business cycles,https://en.wikipedia.org/wiki/Business_cycle
Norway,https://en.wikipedia.org/wiki/Norway
industrial era,https://en.wikipedia.org/wiki/Industrial_Revolution
standard of living,https://en.wikipedia.org/wiki/Standard_of_living
exploitation of natural resources,https://en.wikipedia.org/wiki/Exploitation_of_natural_resources
North Sea oil,https://en.wikipedia.org/wiki/North_Sea_oil
OECD,https://en.wikipedia.org/wiki/OECD
social security system,https://en.wikipedia.org/wiki/Nordic_model
roughly 20.7% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
Viking Age,https://en.wikipedia.org/wiki/Viking_Age
Hedemarken,https://en.wikipedia.org/wiki/Hedemarken
Østfold,https://en.wikipedia.org/wiki/%C3%98stfold
barley,https://en.wikipedia.org/wiki/Barley
hunting,https://en.wikipedia.org/wiki/Hunting
Northern Norway,https://en.wikipedia.org/wiki/Northern_Norway
Sami,https://en.wikipedia.org/wiki/Sami_people
reindeer,https://en.wikipedia.org/wiki/Reindeer
herring,https://en.wikipedia.org/wiki/Herring
halibut,https://en.wikipedia.org/wiki/Halibut
west,https://en.wikipedia.org/wiki/Vestlandet
feudal system,https://en.wikipedia.org/wiki/Feudalism
knights,https://en.wikipedia.org/wiki/Knight
tenant farmers,https://en.wikipedia.org/wiki/Tenant_farmer
emigration to North America,https://en.wikipedia.org/wiki/Norwegian-Americans
Kongsberg,https://en.wikipedia.org/wiki/Kongsberg_(town)
Røros,https://en.wikipedia.org/wiki/R%C3%B8ros_(town)
Løkken,https://en.wikipedia.org/wiki/L%C3%B8kken_Verk
Norwegian Labour Party,https://en.wikipedia.org/wiki/Norwegian_Labour_Party
Einar Gerhardsen,https://en.wikipedia.org/wiki/Einar_Gerhardsen
North Sea,https://en.wikipedia.org/wiki/North_Sea
Ocean Traveler,https://en.wikipedia.org/wiki/Ocean_Traveler
Balder oil field,https://en.wikipedia.org/wiki/List_of_oil_and_gas_fields_of_the_North_Sea#Northern_North_Sea_2
Utsira High,https://en.wikipedia.org/wiki/Utsira_High
Stavanger,https://en.wikipedia.org/wiki/Stavanger
Ocean Viking,https://en.wikipedia.org/wiki/Ocean_Viking
Ekofisk,https://en.wikipedia.org/wiki/Ekofisk
natural gas,https://en.wikipedia.org/wiki/Natural_gas
Norwegian Ministry of Industry,https://en.wikipedia.org/wiki/Norwegian_Ministry_of_Industry
Ola Skjåk Bræk,https://en.wikipedia.org/wiki/Ola_Skj%C3%A5k_Br%C3%A6k
OPEC,https://en.wikipedia.org/wiki/OPEC
wisely,https://en.wikipedia.org/wiki/The_Petroleum_Fund_of_Norway
Statoil,https://en.wikipedia.org/wiki/Statoil
Norsk Hydro,https://en.wikipedia.org/wiki/Norsk_Hydro
Saga Petroleum,https://en.wikipedia.org/wiki/Saga_Petroleum
marginal rate,https://en.wikipedia.org/wiki/Tax_rate#Marginal
Stavanger,https://en.wikipedia.org/wiki/Stavanger_(city)
Oslo,https://en.wikipedia.org/wiki/Oslo
offshore drilling,https://en.wikipedia.org/wiki/Offshore_drilling
peak oil,https://en.wikipedia.org/wiki/Peak_oil
Norwegian Sea,https://en.wikipedia.org/wiki/Norwegian_Sea
Barents Sea,https://en.wikipedia.org/wiki/Barents_Sea
Snøhvit,https://en.wikipedia.org/wiki/Sn%C3%B8hvit
Norwegian parliament,https://en.wikipedia.org/wiki/Stortinget
European Economic Community,https://en.wikipedia.org/wiki/European_Economic_Community
European Free Trade Association,https://en.wikipedia.org/wiki/European_Free_Trade_Association
European Economic Area,https://en.wikipedia.org/wiki/European_Economic_Area
