text,url
Oman's,https://en.wikipedia.org/wiki/Oman
GDP per capita,https://en.wikipedia.org/wiki/GDP_per_capita
Gulf Cooperation Council,https://en.wikipedia.org/wiki/Gulf_Cooperation_Council
customs union,https://en.wikipedia.org/wiki/Customs_union
common market,https://en.wikipedia.org/wiki/Common_market
common currency,https://en.wikipedia.org/wiki/Common_currency
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Muttrah,https://en.wikipedia.org/wiki/Muttrah
liberalised,https://en.wikipedia.org/wiki/Liberalization
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
Hilda al-Hinai,https://en.wikipedia.org/wiki/Hilda_al-Hinai
US-Oman Free Trade Agreement,https://en.wikipedia.org/wiki/US-Oman_Free_Trade_Agreement
Oman,https://en.wikipedia.org/wiki/Oman
OPEC,https://en.wikipedia.org/wiki/OPEC
Sohar,https://en.wikipedia.org/wiki/Sohar
Fahud,https://en.wikipedia.org/wiki/Fahud
Petroleum Development Oman,https://en.wikipedia.org/wiki/Petroleum_Development_Oman
Royal Dutch Shell,https://en.wikipedia.org/wiki/Royal_Dutch_Shell
Compagnie Francaise des Petroles,https://en.wikipedia.org/wiki/Compagnie_Francaise_des_Petroles
Partex,https://en.wikipedia.org/wiki/Partex
declining oil prices,https://en.wikipedia.org/wiki/1980s_oil_glut
Organization of Petroleum Exporting Countries,https://en.wikipedia.org/wiki/Organization_of_Petroleum_Exporting_Countries
Natural gas,https://en.wikipedia.org/wiki/Natural_gas
Oman LNG,https://en.wikipedia.org/wiki/Oman_LNG
Vision 2040,https://en.wikipedia.org/wiki/Oman_Vision_2040
Central Bank of Oman's,https://en.wikipedia.org/wiki/Central_Bank_of_Oman
oil price,https://en.wikipedia.org/wiki/Price_of_oil
World Bank,https://en.wikipedia.org/wiki/World_Bank
Khazzan,https://en.wikipedia.org/wiki/Khazzan-Makarem_gas_field
BP,https://en.wikipedia.org/wiki/BP
market capitalisation,https://en.wikipedia.org/wiki/Market_capitalization
World Bank,https://en.wikipedia.org/wiki/World_Bank
Central Bank of Oman,https://en.wikipedia.org/wiki/Central_Bank_of_Oman
Omani rial,https://en.wikipedia.org/wiki/Omani_Rial
List of companies of Oman,https://en.wikipedia.org/wiki/List_of_companies_of_Oman
US-Oman Free Trade Agreement,https://en.wikipedia.org/wiki/US-Oman_Free_Trade_Agreement
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
The Observatory of Economic Complexity,https://en.wikipedia.org/wiki/The_Observatory_of_Economic_Complexity
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Chemical & Engineering News,https://en.wikipedia.org/wiki/Chemical_%26_Engineering_News
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
ISBN,https://en.wikipedia.org/wiki/ISBN_(identifier)
Al-Mazyunah Free Zone,https://en.wikipedia.org/wiki/Al-Mazyunah_Free_Zone
