text,url
Pakistan,https://en.wikipedia.org/wiki/Pakistan
developing economy,https://en.wikipedia.org/wiki/Developing_economy
26th-largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
purchasing power parity,https://en.wikipedia.org/wiki/Purchasing_power_parity
44th largest,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
per capita income,https://en.wikipedia.org/wiki/Per_capita_income
160th by GDP (nominal),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita
141st by GDP (PPP),https://en.wikipedia.org/wiki/List_of_countries_by_GDP_per_capita_(PPP)
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Zulfikar Ali Bhutto,https://en.wikipedia.org/wiki/Zulfikar_Ali_Bhutto
Zia-ul Haq,https://en.wikipedia.org/wiki/Zia-ul_Haq
Sharīʿah,https://en.wikipedia.org/wiki/Shar%C4%AB%CA%BFah
Indus River,https://en.wikipedia.org/wiki/Indus_River
Karachi,https://en.wikipedia.org/wiki/Economy_of_Karachi
Punjab,"https://en.wikipedia.org/wiki/Punjab,_Pakistan#Economy"
Faisalabad,https://en.wikipedia.org/wiki/Faisalabad
Lahore,https://en.wikipedia.org/wiki/Lahore
Sialkot,https://en.wikipedia.org/wiki/Sialkot
Rawalpindi,https://en.wikipedia.org/wiki/Rawalpindi
Gujranwala,https://en.wikipedia.org/wiki/Gujranwala
China-Pakistan,https://en.wikipedia.org/wiki/China%E2%80%93Pakistan_relations
underdeveloped country,https://en.wikipedia.org/wiki/Periphery_countries
privatization of all government corporations,https://en.wikipedia.org/wiki/Privatisation_in_Pakistan
East,https://en.wikipedia.org/wiki/East_Pakistan
West Pakistan,https://en.wikipedia.org/wiki/West_Pakistan
per capita income,https://en.wikipedia.org/wiki/Per_capita_income
import-substituting industrialization,https://en.wikipedia.org/wiki/Import_substitution_industrialization
Colombo Plan,https://en.wikipedia.org/wiki/Colombo_Plan
Five-Year Plans,https://en.wikipedia.org/wiki/Five-Year_Plans_of_Pakistan
Korean War,https://en.wikipedia.org/wiki/Korean_War
military coup d'état in 1958,https://en.wikipedia.org/wiki/1958_Pakistani_coup_d%27%C3%A9tat
Gross National Product,https://en.wikipedia.org/wiki/Gross_National_Product
East Pakistan,https://en.wikipedia.org/wiki/East_Pakistan
Green Revolution,https://en.wikipedia.org/wiki/Green_Revolution
Pakistan-India War of 1965,https://en.wikipedia.org/wiki/Indo-Pakistani_War_of_1965
East Pakistan's declaration of independence,https://en.wikipedia.org/wiki/Independence_of_Bangladesh
Bangladesh,https://en.wikipedia.org/wiki/Bangladesh
Pakistan People's Party,https://en.wikipedia.org/wiki/Pakistan_Peoples_Party_Parliamentarians
oil price shock in October 1973,https://en.wikipedia.org/wiki/1973_oil_crisis
global recession,https://en.wikipedia.org/wiki/1973%E2%80%931975_recession
military coup d'état of 1977,https://en.wikipedia.org/wiki/1977_Pakistani_military_coup
martial law regime,https://en.wikipedia.org/wiki/Presidency_of_Muhammad_Zia-ul-Haq
nationalization policies of the 1970s,https://en.wikipedia.org/wiki/Nationalisation_in_Pakistan
Islamic interest-free banking system,https://en.wikipedia.org/wiki/Islamic_banking_and_finance
