text,url
Papua New Guinea,https://en.wikipedia.org/wiki/Papua_New_Guinea
natural gas,https://en.wikipedia.org/wiki/Natural_gas_in_Papua_New_Guinea
Goroka,https://en.wikipedia.org/wiki/Goroka
Port Moresby,https://en.wikipedia.org/wiki/Port_Moresby
Lae,https://en.wikipedia.org/wiki/Lae
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
natural resources,https://en.wikipedia.org/wiki/Natural_resources
infrastructure,https://en.wikipedia.org/wiki/Infrastructure
Mineral,https://en.wikipedia.org/wiki/Mineral
oil,https://en.wikipedia.org/wiki/Petroleum
copper,https://en.wikipedia.org/wiki/Copper
gold,https://en.wikipedia.org/wiki/Gold
development aid,https://en.wikipedia.org/wiki/Development_aid
World Bank,https://en.wikipedia.org/wiki/World_Bank
developing economy,https://en.wikipedia.org/wiki/Developing_economy
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
natural resources,https://en.wikipedia.org/wiki/Natural_resource
minerals,https://en.wikipedia.org/wiki/Mining_in_Papua_New_Guinea
natural gas,https://en.wikipedia.org/wiki/Natural_gas_in_Papua_New_Guinea
smallholder,https://en.wikipedia.org/wiki/Smallholding
tropical timber,https://en.wikipedia.org/wiki/Tropical_timber
Oil palm,https://en.wikipedia.org/wiki/Elaeis_guineensis
palm oil,https://en.wikipedia.org/wiki/Palm_oil
cocoa,https://en.wikipedia.org/wiki/Cocoa_bean
coconut oil,https://en.wikipedia.org/wiki/Coconut_oil
copra,https://en.wikipedia.org/wiki/Copra
Gross national income,https://en.wikipedia.org/wiki/Gross_national_income
a booming mining sector,https://en.wikipedia.org/wiki/Mining_in_Papua_New_Guinea
natural gas exploration,https://en.wikipedia.org/wiki/Natural_gas_in_Papua_New_Guinea
LNG tankers,https://en.wikipedia.org/wiki/LNG_carrier
Papua New Guinean kina,https://en.wikipedia.org/wiki/Papua_New_Guinean_kina
crawling peg,https://en.wikipedia.org/wiki/Crawling_peg
Ok Tedi Mine,https://en.wikipedia.org/wiki/Ok_Tedi_Mine
gold,https://en.wikipedia.org/wiki/Gold
copper,https://en.wikipedia.org/wiki/Copper
cobalt,https://en.wikipedia.org/wiki/Cobalt
nickel,https://en.wikipedia.org/wiki/Nickel
Oil,https://en.wikipedia.org/wiki/Oil
liquified natural gas,https://en.wikipedia.org/wiki/Liquified_natural_gas
Lihir Island,https://en.wikipedia.org/wiki/Lihir_Island
Ok Tedi Mine,https://en.wikipedia.org/wiki/Ok_Tedi_Mine
Porgera Gold Mine,https://en.wikipedia.org/wiki/Porgera_Gold_Mine
gross domestic product,https://en.wikipedia.org/wiki/Gross_domestic_product
Porgera,https://en.wikipedia.org/wiki/Porgera
Ok Tedi,https://en.wikipedia.org/wiki/Ok_Tedi
Misima,https://en.wikipedia.org/wiki/Misima_Island
Lihir,https://en.wikipedia.org/wiki/Lihir_Island
Simberi,https://en.wikipedia.org/wiki/Simberi_Island
Mount Suckling,https://en.wikipedia.org/wiki/Mount_Suckling
porphyry,https://en.wikipedia.org/wiki/Porphyritic
Chevron,https://en.wikipedia.org/wiki/Chevron_Corporation
Southern Highlands Province,https://en.wikipedia.org/wiki/Southern_Highlands_Province
trillion,https://en.wikipedia.org/wiki/1000000000000_(number)
"Queensland, Australia","https://en.wikipedia.org/wiki/Queensland,_Australia"
cobalt,https://en.wikipedia.org/wiki/Cobalt
gold,https://en.wikipedia.org/wiki/Gold
silver,https://en.wikipedia.org/wiki/Silver
fold and thrust belt,https://en.wikipedia.org/wiki/Fold_and_thrust_belt
ExxonMobil,https://en.wikipedia.org/wiki/ExxonMobil
Oil Search,https://en.wikipedia.org/wiki/Oil_Search
Santos,https://en.wikipedia.org/wiki/Santos_Limited
