text,url
emerging,https://en.wikipedia.org/wiki/Emerging_economy
mixed economy,https://en.wikipedia.org/wiki/Mixed_economy
World Bank,https://en.wikipedia.org/wiki/World_Bank
Peru,https://en.wikipedia.org/wiki/Peru
human development index,https://en.wikipedia.org/wiki/Human_development_index
COVID-19 pandemic in Peru,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Peru
free trade agreements,https://en.wikipedia.org/wiki/Free_trade_agreement
China–Peru Free Trade Agreement,https://en.wikipedia.org/wiki/China%E2%80%93Peru_Free_Trade_Agreement
United States in 2006,https://en.wikipedia.org/wiki/Peru%E2%80%93United_States_Trade_Promotion_Agreement
European Union,https://en.wikipedia.org/wiki/European_Union
Lima,https://en.wikipedia.org/wiki/Lima
public sector,https://en.wikipedia.org/wiki/Public_sector
independence of Peru,https://en.wikipedia.org/wiki/Independence_of_Peru
Spanish Empire,https://en.wikipedia.org/wiki/Spanish_Empire
centralismo,https://en.wikipedia.org/wiki/Centralismo_(Peru)
serfdom,https://en.wikipedia.org/wiki/Serfdom
hacienda,https://en.wikipedia.org/wiki/Hacienda
Juan Velasco Alvarado,https://en.wikipedia.org/wiki/Juan_Velasco_Alvarado
power vacuum,https://en.wikipedia.org/wiki/Power_vacuum
communist,https://en.wikipedia.org/wiki/Communist
Shining Path,https://en.wikipedia.org/wiki/Shining_Path
early 1980s recession,https://en.wikipedia.org/wiki/Early_1980s_recession
internal conflict in Peru,https://en.wikipedia.org/wiki/Internal_conflict_in_Peru
Lost Decade,https://en.wikipedia.org/wiki/Lost_Decade_(Peru)
Alan García,https://en.wikipedia.org/wiki/Alan_Garc%C3%ADa
price controls,https://en.wikipedia.org/wiki/Price_controls
hyperinflation,https://en.wikipedia.org/wiki/Hyperinflation
armed forces of Peru,https://en.wikipedia.org/wiki/Armed_forces_of_Peru
Plan Verde,https://en.wikipedia.org/wiki/Plan_Verde
neoliberal,https://en.wikipedia.org/wiki/Neoliberal
open market,https://en.wikipedia.org/wiki/Open_market
Alberto Fujimori,https://en.wikipedia.org/wiki/Alberto_Fujimori
Hernando de Soto,https://en.wikipedia.org/wiki/Hernando_de_Soto_(economist)
2000s commodities boom,https://en.wikipedia.org/wiki/2000s_commodities_boom
Lima Consensus,https://en.wikipedia.org/wiki/Lima_Consensus
neoliberalism,https://en.wikipedia.org/wiki/Neoliberalism
deregulation,https://en.wikipedia.org/wiki/Deregulation
free market,https://en.wikipedia.org/wiki/Free_market
foreign portfolio investment,https://en.wikipedia.org/wiki/Foreign_portfolio_investment
hard currency,https://en.wikipedia.org/wiki/Hard_currency
zinc,https://en.wikipedia.org/wiki/Zinc
chemicals,https://en.wikipedia.org/wiki/Chemicals
pharmaceuticals,https://en.wikipedia.org/wiki/Pharmaceuticals
manufactures,https://en.wikipedia.org/wiki/Manufactures
machinery,https://en.wikipedia.org/wiki/Machinery
services,https://en.wikipedia.org/wiki/Service_(economics)
fish meal,https://en.wikipedia.org/wiki/Fish_meal
European Union,https://en.wikipedia.org/wiki/European_Union
distribution of income,https://en.wikipedia.org/wiki/Distribution_of_income
Services,https://en.wikipedia.org/wiki/Tertiary_sector_of_industry
terms of trade,https://en.wikipedia.org/wiki/Terms_of_trade
Inca Empire,https://en.wikipedia.org/wiki/Inca_Empire
central planning,https://en.wikipedia.org/wiki/Central_planning
