text,url
international trade,https://en.wikipedia.org/wiki/International_trade
European Union,https://en.wikipedia.org/wiki/European_Union
euro,https://en.wikipedia.org/wiki/Euro
Eurozone,https://en.wikipedia.org/wiki/Eurozone
Portugal,https://en.wikipedia.org/wiki/Portugal
central bank,https://en.wikipedia.org/wiki/Central_bank
Banco de Portugal,https://en.wikipedia.org/wiki/Banco_de_Portugal
European System of Central Banks,https://en.wikipedia.org/wiki/European_System_of_Central_Banks
stock exchange,https://en.wikipedia.org/wiki/Stock_exchange
Euronext Lisbon,https://en.wikipedia.org/wiki/Euronext_Lisbon
OECD,https://en.wikipedia.org/wiki/OECD
roughly 24.6% of GDP,https://en.wikipedia.org/wiki/Welfare_state#Effects
2008 financial crisis,https://en.wikipedia.org/wiki/2008_financial_crisis
Republic of Ireland,https://en.wikipedia.org/wiki/Republic_of_Ireland
The Navigator Company,https://en.wikipedia.org/wiki/The_Navigator_Company
Sonae Indústria,https://en.wikipedia.org/wiki/Sonae_Ind%C3%BAstria
Corticeira Amorim,https://en.wikipedia.org/wiki/Corticeira_Amorim
Conservas Ramirez,https://en.wikipedia.org/wiki/Conservas_Ramirez
Cimpor,https://en.wikipedia.org/wiki/Cimpor
EDP Renováveis,https://en.wikipedia.org/wiki/EDP_Renov%C3%A1veis
Jerónimo Martins,https://en.wikipedia.org/wiki/Jer%C3%B3nimo_Martins
TAP Air Portugal,https://en.wikipedia.org/wiki/TAP_Air_Portugal
Education in Portugal,https://en.wikipedia.org/wiki/Education_in_Portugal
Programme for International Student Assessment,https://en.wikipedia.org/wiki/Programme_for_International_Student_Assessment
OECD,https://en.wikipedia.org/wiki/OECD
Portuguese Empire,https://en.wikipedia.org/wiki/Portuguese_Empire
Carnation Revolution,https://en.wikipedia.org/wiki/Carnation_Revolution
raw materials,https://en.wikipedia.org/wiki/Raw_material
dyes,https://en.wikipedia.org/wiki/Dye
porcelain,https://en.wikipedia.org/wiki/Porcelain
ivory,https://en.wikipedia.org/wiki/Ivory
diamonds,https://en.wikipedia.org/wiki/Diamonds
sugar cane,https://en.wikipedia.org/wiki/Sugar_cane
dyes,https://en.wikipedia.org/wiki/Dye
colony of Brazil,https://en.wikipedia.org/wiki/Colony_of_Brazil
Angola,https://en.wikipedia.org/wiki/Portuguese_Angola
Mozambique,https://en.wikipedia.org/wiki/Portuguese_Mozambique
Carnation Revolution,https://en.wikipedia.org/wiki/Carnation_Revolution
capital equipment,https://en.wikipedia.org/wiki/Capital_equipment
consumer goods,https://en.wikipedia.org/wiki/Consumer_goods
corporatism,https://en.wikipedia.org/wiki/Corporatism
conglomerates,https://en.wikipedia.org/wiki/Conglomerate_(company)
South Korean,https://en.wikipedia.org/wiki/South_Korea
chaebols,https://en.wikipedia.org/wiki/Chaebol
keiretsus,https://en.wikipedia.org/wiki/Keiretsu
zaibatsus,https://en.wikipedia.org/wiki/Zaibatsu
Champalimaud,https://en.wikipedia.org/wiki/Ant%C3%B3nio_Champalimaud
Mello,https://en.wikipedia.org/wiki/Jos%C3%A9_Manuel_de_Mello
CUF group,https://en.wikipedia.org/wiki/Companhia_Uni%C3%A3o_Fabril
Amorim,https://en.wikipedia.org/wiki/Am%C3%A9rico_Amorim
Jerónimo Martins,https://en.wikipedia.org/wiki/Jer%C3%B3nimo_Martins
CUF (Companhia União Fabril),https://en.wikipedia.org/wiki/Companhia_Uni%C3%A3o_Fabril
core businesses,https://en.wikipedia.org/wiki/Core_business
chemicals,https://en.wikipedia.org/wiki/Chemicals
petrochemicals,https://en.wikipedia.org/wiki/Petrochemicals
agrochemicals,https://en.wikipedia.org/wiki/Agrochemicals
metallurgy,https://en.wikipedia.org/wiki/Metallurgy
naval engineering,https://en.wikipedia.org/wiki/Naval_engineering
electrical engineering,https://en.wikipedia.org/wiki/Electrical_engineering
mainland Portugal,https://en.wikipedia.org/wiki/Mainland_Portugal
Portuguese overseas territories,https://en.wikipedia.org/wiki/Portuguese_Empire
Angola,https://en.wikipedia.org/wiki/Angola_(Portugal)
Mozambique,https://en.wikipedia.org/wiki/Mozambique_(Portugal)
Covilhã,https://en.wikipedia.org/wiki/Covilh%C3%A3
Alcobaça,"https://en.wikipedia.org/wiki/Alcoba%C3%A7a,_Portugal"
Caldas da Rainha,https://en.wikipedia.org/wiki/Caldas_da_Rainha
Marinha Grande,https://en.wikipedia.org/wiki/Marinha_Grande
SONAE,https://en.wikipedia.org/wiki/SONAE
Porto,https://en.wikipedia.org/wiki/Porto
Algarve,https://en.wikipedia.org/wiki/Algarve
one of the oldest canned fish companies in continuous operation in the world,https://en.wikipedia.org/wiki/Conservas_Ramirez
Estoril,https://en.wikipedia.org/wiki/Estoril
Cascais,https://en.wikipedia.org/wiki/Cascais
Sintra,https://en.wikipedia.org/wiki/Sintra
Portuguese Riviera,https://en.wikipedia.org/wiki/Portuguese_Riviera
Algarve,https://en.wikipedia.org/wiki/Algarve
agribusiness,https://en.wikipedia.org/wiki/Agribusiness
Ribatejo,https://en.wikipedia.org/wiki/Ribatejo
Alentejo,https://en.wikipedia.org/wiki/Alentejo
breadbasket,https://en.wikipedia.org/wiki/Breadbasket
Mirandela,https://en.wikipedia.org/wiki/Mirandela
agrarianism,https://en.wikipedia.org/wiki/Agrarianism
Portuguese Colonial War,https://en.wikipedia.org/wiki/Portuguese_Colonial_War
counterinsurgency,https://en.wikipedia.org/wiki/Counterinsurgency
guerrilla,https://en.wikipedia.org/wiki/Guerrilla
Angola,https://en.wikipedia.org/wiki/Angola_(Portugal)
Mozambique,https://en.wikipedia.org/wiki/Mozambique_(Portugal)
minimum wage,https://en.wikipedia.org/wiki/Minimum_wage
FAO,https://en.wikipedia.org/wiki/FAO
retornados,https://en.wikipedia.org/wiki/Retornados
Carnation Revolution,https://en.wikipedia.org/wiki/Carnation_Revolution
retornados,https://en.wikipedia.org/wiki/Retornados
Carnation Revolution,https://en.wikipedia.org/wiki/Carnation_Revolution
