text,url
economy,https://en.wikipedia.org/wiki/Economy
Russia,https://en.wikipedia.org/wiki/Russia
emerging and developing,https://en.wikipedia.org/wiki/Developing_country
high-income,https://en.wikipedia.org/wiki/World_Bank_high-income_economy
mixed,https://en.wikipedia.org/wiki/Mixed_economy
market-oriented,https://en.wikipedia.org/wiki/Market_economy
eleventh-largest economy,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)
fourth-largest economy,https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(PPP)
PPP,https://en.wikipedia.org/wiki/Purchasing_power_parity
exchange rate,https://en.wikipedia.org/wiki/Exchange_rate
World Trade Organization,https://en.wikipedia.org/wiki/World_Trade_Organization
energy resources,https://en.wikipedia.org/wiki/World_energy_resources
natural gas,https://en.wikipedia.org/wiki/Natural_gas
petroleum,https://en.wikipedia.org/wiki/Oil_and_gas_reserves_and_resource_quantification
energy superpower,https://en.wikipedia.org/wiki/Energy_superpower
largest natural gas reserves,https://en.wikipedia.org/wiki/List_of_countries_by_natural_gas_proven_reserves
second-largest coal reserves,https://en.wikipedia.org/wiki/List_of_countries_by_coal_reserves
eighth-largest oil reserves,https://en.wikipedia.org/wiki/List_of_countries_by_proven_oil_reserves
oil shale reserves,https://en.wikipedia.org/wiki/Oil_shale_reserves
leading natural gas exporter,https://en.wikipedia.org/wiki/List_of_countries_by_natural_gas_exports
second-largest natural gas producer,https://en.wikipedia.org/wiki/List_of_countries_by_natural_gas_production
second-largest oil exporter,https://en.wikipedia.org/wiki/List_of_countries_by_oil_exports
producer,https://en.wikipedia.org/wiki/List_of_countries_by_oil_production
foreign exchange reserves,https://en.wikipedia.org/wiki/Foreign_exchange_reserves
fifth-largest,https://en.wikipedia.org/wiki/List_of_countries_by_foreign-exchange_reserves
eighth-largest,https://en.wikipedia.org/wiki/List_of_countries_by_labour_force
third-largest exporter of arms,https://en.wikipedia.org/wiki/Arms_industry
human development,https://en.wikipedia.org/wiki/Human_development_(economics)
ranked as,https://en.wikipedia.org/wiki/List_of_countries_by_Human_Development_Index
Human Development Index,https://en.wikipedia.org/wiki/Human_Development_Index
twelfth-largest consumer market,https://en.wikipedia.org/wiki/List_of_largest_consumer_markets
social security system,https://en.wikipedia.org/wiki/Social_security_system_in_Russia
fifth-highest number of billionaires,https://en.wikipedia.org/wiki/List_of_countries_by_number_of_billionaires
income inequality,https://en.wikipedia.org/wiki/List_of_countries_by_income_equality
federal subjects,https://en.wikipedia.org/wiki/Federal_subjects_of_Russia
levels of corruption,https://en.wikipedia.org/wiki/Corruption_in_Russia
aging,https://en.wikipedia.org/wiki/Aging_of_Russia
declining population,https://en.wikipedia.org/wiki/Demographics_of_Russia
Russian invasion of Ukraine,https://en.wikipedia.org/wiki/Russian_invasion_of_Ukraine
extensive sanctions,https://en.wikipedia.org/wiki/International_sanctions_during_the_Russian_invasion_of_Ukraine
Western world,https://en.wikipedia.org/wiki/Western_world
military expenditure,https://en.wikipedia.org/wiki/List_of_countries_with_highest_military_expenditures
household consumption,https://en.wikipedia.org/wiki/Household_final_consumption_expenditure
wages,https://en.wikipedia.org/wiki/List_of_Russian_federal_subjects_by_average_wage
unemployment,https://en.wikipedia.org/wiki/Unemployment
government spending,https://en.wikipedia.org/wiki/Government_spending
inflation,https://en.wikipedia.org/wiki/Inflation
command economy,https://en.wikipedia.org/wiki/Command_economy
socialist organizations,https://en.wikipedia.org/wiki/Socialism
capitalistic system,https://en.wikipedia.org/wiki/Capitalism
manufacturing,https://en.wikipedia.org/wiki/Manufacturing
agriculture,https://en.wikipedia.org/wiki/Agriculture
free market,https://en.wikipedia.org/wiki/Free_market
natural gas,https://en.wikipedia.org/wiki/Natural_gas
mining,https://en.wikipedia.org/wiki/Mining
service economy,https://en.wikipedia.org/wiki/Service_economy
Russian Empire,https://en.wikipedia.org/wiki/Russian_Empire
economic history,https://en.wikipedia.org/wiki/Economic_history
October Revolution,https://en.wikipedia.org/wiki/October_Revolution
industrializer,https://en.wikipedia.org/wiki/Industrialisation
