text,url
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Paul Kagame,https://en.wikipedia.org/wiki/Paul_Kagame
Singapore,https://en.wikipedia.org/wiki/Singapore
Africa,https://en.wikipedia.org/wiki/Africa
structural adjustment,https://en.wikipedia.org/wiki/Structural_adjustment
civil war,https://en.wikipedia.org/wiki/Rwandan_Civil_War
1994 genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
Enhanced Structural Adjustment Facility,https://en.wikipedia.org/wiki/Enhanced_Structural_Adjustment_Facility
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
development assistance,https://en.wikipedia.org/wiki/Development_aid
United States,https://en.wikipedia.org/wiki/United_States
Belgium,https://en.wikipedia.org/wiki/Belgium
Germany,https://en.wikipedia.org/wiki/Germany
Netherlands,https://en.wikipedia.org/wiki/Netherlands
France,https://en.wikipedia.org/wiki/France
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
UN Development Programme,https://en.wikipedia.org/wiki/UN_Development_Programme
European Development Fund,https://en.wikipedia.org/wiki/European_Development_Fund
Coffee production,https://en.wikipedia.org/wiki/Coffee_production_in_Rwanda
cassiterite,https://en.wikipedia.org/wiki/Cassiterite
tin,https://en.wikipedia.org/wiki/Tin
coltan,https://en.wikipedia.org/wiki/Coltan
cell phones,https://en.wikipedia.org/wiki/Mobile_phone
DVD players,https://en.wikipedia.org/wiki/DVD_player
video game systems,https://en.wikipedia.org/wiki/Video_game_systems
computers,https://en.wikipedia.org/wiki/Personal_computer
Uganda,https://en.wikipedia.org/wiki/Uganda
Burundi,https://en.wikipedia.org/wiki/Burundi
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
economic growth,https://en.wikipedia.org/wiki/Economic_growth
poverty,https://en.wikipedia.org/wiki/Poverty
fertility rates,https://en.wikipedia.org/wiki/Fertility_rates
Middle Income Country,https://en.wikipedia.org/wiki/Middle-income_country
High-Income Country,https://en.wikipedia.org/wiki/High-income_country
Review of African Political Economy,https://en.wikipedia.org/wiki/Review_of_African_Political_Economy
Maraba,https://en.wikipedia.org/wiki/Maraba_coffee
pyrethrum,https://en.wikipedia.org/wiki/Pyrethrum
sorghum,https://en.wikipedia.org/wiki/Sorghum
cash crops,https://en.wikipedia.org/wiki/Cash_crop
banana,https://en.wikipedia.org/wiki/Banana
sweet potato,https://en.wikipedia.org/wiki/Sweet_potato
cassava,https://en.wikipedia.org/wiki/Cassava
potato,https://en.wikipedia.org/wiki/Potato
beans,https://en.wikipedia.org/wiki/Beans
maize,https://en.wikipedia.org/wiki/Maize
pumpkin,https://en.wikipedia.org/wiki/Pumpkin
taro,https://en.wikipedia.org/wiki/Taro
sorghum,https://en.wikipedia.org/wiki/Sorghum
rice,https://en.wikipedia.org/wiki/Rice
sugarcane,https://en.wikipedia.org/wiki/Sugarcane
tomato,https://en.wikipedia.org/wiki/Tomato
pineapple,https://en.wikipedia.org/wiki/Pineapple
tea,https://en.wikipedia.org/wiki/Tea
coffee,https://en.wikipedia.org/wiki/Coffee
tobacco,https://en.wikipedia.org/wiki/Tobacco
PPP,https://en.wikipedia.org/wiki/Purchasing_power_parity
$,https://en.wikipedia.org/wiki/Geary-Khamis_dollar
National Bank of Rwanda,https://en.wikipedia.org/wiki/National_Bank_of_Rwanda
Rwandan franc,https://en.wikipedia.org/wiki/Rwandan_franc
East African shilling,https://en.wikipedia.org/wiki/East_African_shilling_(new)
subsistence agriculture,https://en.wikipedia.org/wiki/Subsistence_agriculture
cassiterite,https://en.wikipedia.org/wiki/Cassiterite
wolframite,https://en.wikipedia.org/wiki/Wolframite
sapphires,https://en.wikipedia.org/wiki/Sapphire
coltan,https://en.wikipedia.org/wiki/Coltan
methane,https://en.wikipedia.org/wiki/Methane
Lake Kivu,https://en.wikipedia.org/wiki/Lake_Kivu
Bralirwa Brewery,https://en.wikipedia.org/wiki/Bralirwa_Brewery
tungsten,https://en.wikipedia.org/wiki/Tungsten
tin,https://en.wikipedia.org/wiki/Tin
charcoal,https://en.wikipedia.org/wiki/Charcoal
hydroelectric power,https://en.wikipedia.org/wiki/Hydroelectric_power
Mountain gorillas,https://en.wikipedia.org/wiki/Mountain_gorilla
Volcanoes National Park,https://en.wikipedia.org/wiki/Volcanoes_National_Park
service sector,https://en.wikipedia.org/wiki/Service_sector
late-2000s recession,https://en.wikipedia.org/wiki/Late-2000s_recession
Tourism,https://en.wikipedia.org/wiki/Tourism_in_Rwanda
mountain gorillas,https://en.wikipedia.org/wiki/Mountain_gorilla
savanna reserve,https://en.wikipedia.org/wiki/Savanna_reserve
Volcanoes National Park,https://en.wikipedia.org/wiki/Volcanoes_National_Park
volcanoes,https://en.wikipedia.org/wiki/Volcano
mountain gorillas,https://en.wikipedia.org/wiki/Mountain_gorilla
Dian Fossey,https://en.wikipedia.org/wiki/Dian_Fossey
Akagera National Park,https://en.wikipedia.org/wiki/Akagera_National_Park
hippopotami,https://en.wikipedia.org/wiki/Hippopotamus
cape buffalo,https://en.wikipedia.org/wiki/Cape_buffalo
zebras,https://en.wikipedia.org/wiki/Zebra
elephants,https://en.wikipedia.org/wiki/Elephant
elands,https://en.wikipedia.org/wiki/Taurotragus
Birdwatching,https://en.wikipedia.org/wiki/Birdwatching
Nyungwe National Park,https://en.wikipedia.org/wiki/Nyungwe_National_Park
Rwandan genocide,https://en.wikipedia.org/wiki/Rwandan_genocide
dark tourism,https://en.wikipedia.org/wiki/Dark_tourism
Gasabo District,https://en.wikipedia.org/wiki/Gasabo_District
Murambi Technical School,https://en.wikipedia.org/wiki/Murambi_Technical_School
Kicukiro District,https://en.wikipedia.org/wiki/Kicukiro_District
Belgian,https://en.wikipedia.org/wiki/Belgium
United Nations,https://en.wikipedia.org/wiki/United_Nations
Kibungo Province,https://en.wikipedia.org/wiki/Kibungo_Province
Nyarubuye Massacre,https://en.wikipedia.org/wiki/Nyarubuye_Massacre
Roman Catholic,https://en.wikipedia.org/wiki/Roman_Catholic
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Rwanda,https://en.wikipedia.org/wiki/Rwanda
Energy in Rwanda,https://en.wikipedia.org/wiki/Energy_in_Rwanda
Telecommunications in Rwanda,https://en.wikipedia.org/wiki/Telecommunications_in_Rwanda
Transport in Rwanda,https://en.wikipedia.org/wiki/Transport_in_Rwanda
United Nations Economic Commission for Africa,https://en.wikipedia.org/wiki/United_Nations_Economic_Commission_for_Africa
Economy of Africa,https://en.wikipedia.org/wiki/Economy_of_Africa
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
World Bank,https://en.wikipedia.org/wiki/World_Bank
National Institute of Statistics of Rwanda,https://en.wikipedia.org/wiki/National_Institute_of_Statistics_of_Rwanda
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
Central Intelligence Agency,https://en.wikipedia.org/wiki/Central_Intelligence_Agency
World Bank,https://en.wikipedia.org/wiki/World_Bank
World Bank,https://en.wikipedia.org/wiki/World_Bank
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
HDRO (Human Development Report Office),https://en.wikipedia.org/wiki/Human_Development_Report
United Nations Development Programme,https://en.wikipedia.org/wiki/United_Nations_Development_Programme
World Bank,https://en.wikipedia.org/wiki/World_Bank
National Institute of Statistics of Rwanda,https://en.wikipedia.org/wiki/National_Institute_of_Statistics_of_Rwanda
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
International Monetary Fund,https://en.wikipedia.org/wiki/International_Monetary_Fund
ABC News,https://en.wikipedia.org/wiki/ABC_News_(United_States)
Department of State,https://en.wikipedia.org/wiki/United_States_Department_of_State
Food and Agriculture Organization,https://en.wikipedia.org/wiki/Food_and_Agriculture_Organization
World Food Programme,https://en.wikipedia.org/wiki/World_Food_Programme
East African Business Week,https://en.wikipedia.org/wiki/East_African_Business_Week
The New Times,https://en.wikipedia.org/wiki/The_New_Times_(Rwanda)
World Bank,https://en.wikipedia.org/wiki/World_Bank
SNV Netherlands Development Organisation,https://en.wikipedia.org/wiki/SNV_Netherlands_Development_Organisation
World Resources Institute (WRI),https://en.wikipedia.org/wiki/World_Resources_Institute
World Trade Organization (WTO),https://en.wikipedia.org/wiki/World_Trade_Organization
doi,https://en.wikipedia.org/wiki/Doi_(identifier)
Wayback Machine,https://en.wikipedia.org/wiki/Wayback_Machine
